"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M118.0651T511.3","118.065147399902","511.294","7898.14795833333","11890.2212","8465.94150819672","6808.14807692307","11706.9266545455","5800.5","13752.7243225806","17408.9678507463","19560.3282597402"
"M118.0652T639.2","118.065213533835","639.207","6455.8924214876","4432.27936168418","7214.82269565219","4010.50293246183","6158.55741463413","4539.53650426231","6166.08528571432","6528.02888888888","1274.98800000009"
"M118.0874T959","118.087379455566","958.9555","40774.0075789474","37720.6934705882","35026.7554852942","36152.7937941177","36387.923641791","35626.7883582089","45873.8977818182","38666.7574146342","31552.2184979839"
"M118.0873T165.7","118.087322392685","165.683","33631.7213043478","17857.1668217054","45390.8870606061","9099.49108232771","12330.1650923077","11903.8727848101","7950.71587524414","22750.535","14458.3568148148"
"M120.0448T511.7","120.044822711691","511.722","1304.61641379311","1579.07155555555","1178.8643","522.20998765432","1700.55253333334","450.224547008547","1879.21709731529","2208.68553623188","2317.60131147542"
"M120.0812T348.1","120.081159931321","348.134","35508.6428571429","26896.5432894737","58338.4073442623","21447.8359736842","58957.1419531249","27140.9305194805","20575.2759230769","55362.4285714286","65976.2217968749"
"M121.0287T583.8","121.028679360858","583.769","2776.20176056339","2056.63710000001","2362.6410232558","1786.3086153846","2795.07747368422","1971.95826373626","2671.10161016947","2563.57887692307","3062.65650000002"
"M121.0851T348.3","121.085098782694","348.347","3239.41397368421","2267.00917333333","4753.88126865673","1975.30580793108","4320.61744262295","2138.82704347826","1944.3439","4774.37797101449","5007.85714285714"
"M122.9247T218","122.924675621477","217.969","2317.31542307692","769.1227","3591.91035555556","529.994686351103","821.374806451613","847.688153718647","851.60238564981","1747.25061538462","1643.1398033729"
"M123.0562T231.1","123.056198120117","231.076","55877.2249","32287.754","83674.9859302326","18402.0825833333","27387.5451733333","27117.6762191781","23685.1222325581","38224.4903333333","53884.8571028037"
"M125.9874T76.5","125.987411499023","76.491","302590.333625","306727.971126761","323626.635243243","306717.684929578","318703.639726027","385616.676162791","323957.51808","457449.775882743","321554.238591549"
"M125.9874T1079.7","125.987411499023","1079.65","92742.4102564091","0","123336.368837207","0","107638.266585365","22937.4296551717","31558.6543333325","26114.1206896544","43333.3154545451"
"M131.0854T611.4","131.085401466519","611.412","4601.39916438357","2862.79759459461","4448.95573134328","1866.46463768117","3905.17852054795","2268.70824432373","4214.37064864863","4930.15792105265","5096.8469189189"
"M132.005T49.5","132.005006036096","49.491","56145.8588045977","60982.3711827957","64368.1241443299","119898.212266881","47554.977107438","61868.3673510638","122871.746882353","136611.623441417","96580.5118199052"
"M132.0779T212.7","132.077866383787","212.655","315374.295705882","118704.006849057","429120.3422","36660.000877193","75037.9285714286","48842.8141886792","16341.89715","113165.071958333","44732.9568333333"
"M133.0794T212.7","133.079383595185","212.656","10275.1317307692","3784.88096226415","14131.2496666667","1652.19350721571","2670.67709615385","2181.11359375","877.943973684211","4016.0489122807","1737.78319148936"
