"","mz","rt","intensity","metabolite_name","HMDB","Adduct"
"M871.7685T12.4",871.7685,12.4,21.36778681,"C51:0 TAG","HMDB31106*","[M+Na]+"
"M867.7424T11.9",867.7424,11.86,53.13779575,"C51:2 TAG","HMDB05362*","[M+Na]+"
"M860.7703T11.6",860.7703,11.61,37.21501163,"C51:3 TAG","HMDB11701*","[M+NH4]+"
"M885.7879T12.6",885.7879,12.61,810.5578529,"C52:0 TAG","HMDB05365","[M+Na]+"
"M883.7725T12.3",883.7725,12.31,1124.427935,"C52:1 TAG","HMDB05367","[M+Na]+"
"M876.803T12",876.803,12.04,5690.56058,"C52:2 TAG","HMDB05369*","[M+NH4]+"
"M874.7868T11.8",874.7868,11.79,6854.823916,"C52:3 TAG","HMDB05384*","[M+NH4]+"
"M872.7714T11.5",872.7714,11.54,6342.682881,"C52:4 TAG","HMDB05363*","[M+NH4]+"
"M870.7554T11.3",870.7554,11.31,1014.303633,"C52:5 TAG","HMDB05380*","[M+NH4]+"
"M868.7389T11.1",868.7389,11.07,899.8499783,"C52:6 TAG","HMDB05436*","[M+NH4]+"
"M893.7566T12",893.7566,11.97,145.7547115,"C53:3 TAG","HMDB43058*","[M+Na]+"
"M911.8053T12.7",911.8053,12.69,566.9000519,"C54:1 TAG","HMDB05395","[M+Na]+"
"M909.7905T12.4",909.7905,12.41,1812.61951,"C54:2 TAG","HMDB05403","[M+Na]+"
"M902.8167T12.2",902.8167,12.15,11187.70236,"C54:3 TAG","HMDB05405*","[M+NH4]+"
"M900.8022T11.9",900.8022,11.89,10973.51266,"C54:4 TAG","HMDB05370*","[M+NH4]+"
"M898.7863T11.6",898.7863,11.64,10735.1701,"C54:5 TAG","HMDB05385*","[M+NH4]+"
"M896.7713T11.4",896.7713,11.4,8502.452127,"C54:6 TAG","HMDB05391*","[M+NH4]+"
"M899.7093T11.2",899.7093,11.17,2201.729535,"C54:7 TAG","HMDB05447","[M+Na]+"
"M897.6962T10.9",897.6962,10.92,1028.28052,"C54:8 TAG","HMDB10518","[M+Na]+"
"M895.6798T10.7",895.6798,10.67,912.955,"C54:9 TAG","HMDB10498","[M+Na]+"
"M923.7993T12.6",923.7993,12.59,17.12116189,"C55:2 TAG","HMDB42226*","[M+Na]+"
"M921.7859T12.3",921.7859,12.32,39.3266966,"C55:3 TAG","HMDB42466*","[M+Na]+"
"M939.8346T13.1",939.8346,13.11,198.406179,"C56:1 TAG","HMDB05396","[M+Na]+"
