"","mz","rt","4","31","35","7","22","39","38","54","58","18","25","59","2","21","34","30","53","55","40","42","48","12","41","50","20","37","56","16","26","47","28","32","51","3","9","23","11","24","36","19","52","57","10","14","44","13","17","45","QC1_1","QC1_2","QC1_3","QC10_1","QC10_2","QC10_3","QC11","QC12","QC13","QC14","QC15","QC16","QC2_1","QC2_2","QC2_3","QC3","QC4","QC5","QC6","QC7","QC8","QC9_1","QC9_2","15","27","43","6","29","33","1","5","8","46","49"
"1","mz","rt","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_No inducer","EGFP_No inducer","EGFP_No inducer","EGFP_PPDA","EGFP_PPDA","EGFP_PPDA","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_No inducer","iL3PET_No inducer","iL3PET_No inducer","iL3PET_PPDA","iL3PET_PPDA","iL3PET_PPDA","PET_IPTG","PET_IPTG","PET_IPTG","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_No inducer","PET_No inducer","PET_No inducer","PET_PPDA","PET_PPDA","PET_PPDA","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","Wild_IPTG","Wild_IPTG","Wild_IPTG","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_No inducer","Wild_No inducer","Wild_No inducer","Wild_PPDA","Wild_PPDA"
"Unknown 29",NA,"34495.74","734637","439463","481646","518323","504854","494404","616206","850211","658502","610518","453657","571606","407597","368108","409228","436657","262029","378278","604606","515709","546926","638329","446143","395871","526291","600256","416192","545881","403103","518652","493479","472551","432911","589127","565605","437506","786709","702094","648702","754062","727081","677861","538461","507820","376914","552298","481151","472183","619913","473612","487756","493889","521172","452305","421057","478927","481051","461922","535601","487606","469715","406520","445392","563847","556079","580198","478651","485783","471043","502868","427010","436763","708612","398248","564559","534903","429921","526630","488796","613550","505105","357411"
"Unknown 30",NA,"34657.74","1496231","1608602","1752374","1623531","1748869","1732904","1670560","1936313","1777462","1802269","1709787","1918282","1516432","1743371","1692574","1614242","1879869","1792767","1937675","1815768","1886073","1635749","1933458","729960","1791906","1820624","1840732","1772544","1726714","1948544","1844988","1573038","1710508","1716738","1742706","1592242","1741159","1888378","1795161","1885070","2080545","2160077","1758353","1954095","1633052","1762756","1706552","1856371","1627064","1650579","1810782","1710531","1728866","1763930","1733970","1793219","1805561","1881394","1937335","1774497","1582820","1643362","1617242","1788373","1708696","1960171","1871339","1900531","1768097","1690656","1857951","1799415","1960831","1755046","1652749","1687052","1836106","1605898","1690285","1749586","1875422","1922158"
"Unknown 31",NA,"34714.74","296854","199347","291254","301416","591254","290979","197700","396462","381090","482771","537951","530795","127824","393574","157975","242837","468082","341141",NA,NA,"193825","189542",NA,NA,"538344","302062","528062","555674","526451","395621","288756",NA,"193228",NA,NA,"227881","502124","793769","383480","698565","503196","756136",NA,"175931","169832","215414","206200",NA,"138200","164954","201083","181575",NA,NA,"222925","279958","328056","398432","405457","454258","199552","222355","230384","287478","353908","432438","457942","491669","541831",NA,"165498",NA,"182903",NA,NA,"210380",NA,NA,NA,NA,NA,NA
"Malic acid, tris(trimethylsilyl) ester",NA,"34873.74","298319","223318","227459","189119","257963","179299","1738501","2733646","1926563","706770","667299","653982","496272","784084","555293","337955","506661","473691","1371382","1649979","764273","1452589","487359","878142","400771","510840","456171","287975","355890","299656","1996484","1453445","1289506","785972","473315","929308","509441","411220","485980","462303","377530","478164","543790","729166","704068","800868","728984","600699","624279","652160","660627","668152","774207","665178","655130","662596","705561","702127","668477","694736","615036","621498","647878","732497","672265","737746","664596","746458","708363","621141","643881","450420","574358","513784","535511","665795","569388","392343","410379","392912","329404","409510"
"Unknown 32",NA,"35038.74","1212896","1203234","2350812","1154346","1224129","1423344","1091314","1555924","1407601","1186959","1808389","1960877","1627715","1079575","1489280","2915244","1190640","957443","1448348","1531711","1313657","1723184","1447477","1191695","1441964","1659650","1252317","1687604","1449396","1248359","1798676","1598922","1255834","1409441","1628268","2238890","1840354","1664471","2173384","1128240","1346166","1652141","1369779","1489939","1501142","1683392","1362532","1373203","1151644","1252104","1274527","1148640","1307811","1259265","1274057","1290223","1270767","1353535","1258231","1235725","1329984","1303097","1294070","1465401","1366551","1397076","1433368","1635291","1402885","1127373","1193957","1951506","1384462","2409152","1242970","1287606","1419579","1687871","1603531","1431479","1322308","1139891"
"Aspartic acid_1553_2TMS",NA,"35182.74","246561","178229","192361",NA,"220458",NA,"250427","203565",NA,"210284","196893","150114",NA,"167258",NA,NA,"357812",NA,"101853","136074","118008","148109","78858","105740","199092","268426","197280","194554","250146","179962","162328",NA,"150749","147011","124272","144039",NA,"207807","213537","256874","197641","193985",NA,NA,"131024","174482","162409",NA,"240085","206144",NA,"170653","149036","164815","185816","164359","195433","187466","175693",NA,"191255",NA,"244196","247421",NA,NA,"185473","199055",NA,"197602",NA,"112411","104628","101118","116382",NA,"109367",NA,"94069",NA,"75635",NA
"4-aminobutyric acid_1561_3TMS",NA,"35239.74","6757933","4919406","5121402","4870533","5884272","4623398","6850269","6970751","6097636","4201417","3730559","3316319","4391741","4826728","4334476","5770932","4775895","5441252","2298136","2273977","1790050","3131455","2150152","2048876","6352153","7608122","6423677","5727978","6673542","5508791","5445210","4747556","3016154","2946368","2778131","3592141","8637617","6965075","7830778","7964638","7519859","7523467","1696401","2384940","2075659","3715649","2675324","2321266","4497853","4474646","4399451","4240430","4152791","4064587","4247756","4278484","4340040","4340609","4269650","4195536","4002241","4286008","4444002","4882978","4366190","4721245","4368829","4735185","4272999","4157004","4217054","1671941","2044898","1933453","1785107","2321843","2033814","1878445","1705780","1739423","1311085","2444483"
"L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester",NA,"35590.74","13220256","11185865","11895778","8737799","11103621","8335880","14632243","17700347","14598604","11762679","10356860","12095478","6255734","8175504","7321240","8970813","6846135","9381901","7166381","7019356","5890692","7266756","4566407","5143499","10813837","13163239","10310072","8953174","11133368","9615573","9207212","8174606","6660925","6047466","4354081","6705339","14119161","13605872","14193270","15293904","13981016","14794394","5924731","7040476","6434139","8289379","6688120","6089720","8039613","8560059","8787484","9193359","9219058","8964345","9123003","9350122","8953317","9095703","9151076","9579637","8178285","7661909","7955632","9767195","8874332","9918515","9135870","10318948","9221947","9077529","9314169","4484713","6148067","4981075","5205817","5737142","5197136","3126862","3811135","3958950","3423838","3751978"
"Unknown 33",NA,"35935.74","76326","275003","150113","209282","87035","155593","562817","619069","531546","307703","166807","269202","127032","130698","1e+05","96029","329091","128518","339737","265717","460824","238614","203971","284561","122054","170229","95667","138126","119644","119704","286919","316032","624313","604156","131141","200039","228066","219087","441234","276355","374769","304138","206022","282190","321866","283493","354934","354759","99764","146618","174680","255204","251991","239203","218465","291576","230016","347014","271827","290039","167098","171655","154342","234651","144924","248458","185172","326754","361774","234076","200880","261085","403895","231725","378882","288072","255136","152076","200142","184822","243902","332249"
"Unknown 34",NA,"36079.74","75309","112536","106814","81787","78511","85218","61714","76837","82113","65491","98317","110819","48002","67602","62139","102322","114618","86395","126333","80491","151253","70512","134920","130199","78960","87624","105978","73221","85846","101800","145610","128234","78453","124397","72853","124584","64500","88632","78817","57790","86180","98941","77562","101708","166921","93785","148154","149951","53640","52185","58758","133791","137363","124544","72372","101852","89774","155674","134361","126247","69294","98678","71964","58089","83904","120448","99196","132537","156080","90371","83653","99379","150863","135864","92213","152733","104512","71149","85239","71525","128384","176460"
"Galactofuranoside, methyl 2,3,5,6-tetrakis-O-(trimethylsilyl)-, alpha-D-",NA,"36619.74","4182855","4619957","4105819","3888712","3884553","4065955","7278766","5933228","6028168","5821866","6218459","5157606","4420586","5217435","4590707","5046973","6954416","5426539","5574197","6096148","5868271","7273705","6810169","6180553","7761865","7674851","6991163","4650701","5146366","4358201","9625817","8076730","8167256","8423516","7763740","8287093","4649338","5092825","4283245","5291689","5579419","5593638","6661383","7728916","6863323","6565365","7038008","6845870","5367027","5531545","6091664","6408228","6149026","6076400","6118353","6557890","6164079","6293654","6691104","6736021","5597372","5870973","6186992","6568062","6610534","6842160","6644052","7341938","7644873","5692199","6420053","7374521","7261129","6871045","7007722","7426190","7429945","5463702","6780358","6657586","6535369","6781791"
"Unknown 35",NA,"36709.74",NA,"127158",NA,NA,"117734","102187","212162",NA,"216392","165301","145296",NA,"99306","117145",NA,NA,"95536",NA,"175671",NA,NA,"173239",NA,NA,NA,"169476",NA,"141558",NA,"130147",NA,"170040","165325","162349",NA,"176402","172657","151989","155837",NA,NA,"181787","141564",NA,NA,"157308",NA,"159749","118020","127085","135506",NA,"154588","154859","135435","153400",NA,NA,NA,NA,"130578","140379","141379","152119","152161","158838",NA,"173651",NA,NA,"148157","142695","166859","120458","145272","146974","138645",NA,"126146","138155","132345","119694"
"Methionine_1637_2TMS",NA,"36787.74","19570033","15959366","16483657","14436009","17401861","14040444","25505555","31712653","26663972","21550092","18126710","20845305","13434550","15950807","14614640","17084909","12074444","17597324","20191281","19393235","17480893","19930450","16302025","16438766","18891501","20604963","17142084","18365964","18838335","17818192","20747687","19482941","18788852","18328121","16249985","18345307","25161168","20616907","22652971","25741920","24866257","23728708","14413942","17105708","14549263","17179900","16671175","17161626","14989198","16601721","17483219","18234504","18244031","17815915","17289325","18398915","18041181","18122703","19061474","19717067","15786812","15987995","15898101","18466948","17712001","19971254","17618426","20350898","17957076","16734562","18025115","14444494","20380929","13550017","15330988","17320090","15245709","13175233","13711488","14454758","13085828","13104287"
"Unknown 36",NA,"36847.74",NA,"370382",NA,NA,NA,NA,NA,NA,"755979",NA,NA,NA,NA,NA,NA,NA,NA,NA,"472138",NA,NA,NA,"311933",NA,NA,NA,NA,"388539",NA,NA,NA,"500844",NA,NA,NA,NA,NA,"541572","715562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396072","401131",NA,NA,NA,NA,NA,NA,NA,"233041",NA,"239500",NA,NA,NA,NA,NA,NA,"305667",NA,NA,"489265",NA,"317234","443706",NA,NA,NA,NA,NA,NA
"Unknown 37",NA,"36955.74","110742","93209","79854","86771","79916","94630",NA,"153097","119910","95491","79461","123416","79772","90433","84920","86104","84439","84660","102765","111995","124902","113958","87961","108879","92810","113902","78519","89139","101586","112736","111508","113508","115248","97099","139518","99613","125923","104288","92854","97693","109456","114375","82465","99054","114430","113789","98720","108245","107887","97702","100270","91968","95534","104484","80414","95174","120114","94381","117140","99459","76705","128053","90629","92630","106768","117337","87317","125394","109431","89371","105812","98359","93979","76270","99456","93198","92511","87262","108722","100715","96685","86312"
"2-hydroxyglutaric acid_1641_3TMS",NA,"36982.74","358678","892145","277714","349632","1020168","318166","1256743","2806394","1179000","769004","610119","679753","323797","428765","374403","304354","337799","345800","1044560","1103916","924402","1062601","558996","782806","426551","445290","373396","1014495","436529","1049052","1079149","725193","982978","615739","1239614","649489","1414638","458804","1215025","1381238","1366812","1283120","549036","592621","523143","734338","679324","600103","612601","665693","680549","578012","611391","593674","600928","622380","631476","628058","638651","622672","579449","612441","625180","700096","641517","718138","631701","715346","1004643","591024","614546","1166796","821386","529835","584940","698565","548750","598308","627440","609371","507567","582953"
"Xylose_1661_4TMS",NA,"37138.74","357186","346703","402913","251431","346501","231764","481839","1975592","1447797","313619","456141","1386982","231075","394013","311463","286861","252194","247237","485046","255052","334001","313849","484507","1007255","330591","282445","376288","126650","329529","269026","246111","379808","264543","432167","347770","468473","317224","253785","298266","331191","275879","338765","380483","742352","521385","393543","493878","581287","152037","202028","198158","371031","383078","342354","260732","378891","274733","435204","319609","395967","326014","757279","305098","261883","386941","239971","384698","219913","329815","233311","253375","337254","544625","276449","342468","499925","377717","140442","265746","269725","229454","307513"
"Unknown 38",NA,"37285.74","38770",NA,"54479","33825","99673","36053",NA,"75975","72514","112391","132098","95029","23007","88282","15963","44277","89279","62601","29119","48995","70355","66129","45269","64620","83234","31993","93542","103228","81188","45952","95403","12387","42646","31591","39505","76336","62745","128330","80952","113523","58854","113989","23796","66787","29838","57966","71031","58070","29881","54785","46103","15626","27370","24259","42894","55668","71762","97174","91705","126310","49896","52418","61177","86346","89215","119145","144092","137837","171199","17194","18144","48691","83998","63055","32829","74462","23108","18469","17548","55668","39856","59425"
"Putrescine_1687_4TMS",NA,"37705.74","5459228","4151315","4234119","3286169","5828418","3277197","9541523","12720830","9354165","4927005","3687286","4380297","4851991","6635103","5697321","5580690","3000159","6130214","11110421","10794535","9472678","12303466","5566075","7252158","7435843","10057814","8343294","6390268","8629609","6246313","11629121","10837377","9286372","6296786","5165367","8221299","11666336","6288711","10593289","9081399","10166466","10112092","7109091","9049688","8096085","13329509","9662001","10325878","7209809","7993105","8065757","7689711","7921578","7918755","7806695","7950519","7762102","7919145","8204394","8209702","7337923","7230405","7434737","8149069","7885255","8593513","7845648","8683567","7796509","7691423","7824800","7531862","14878482","8046318","9407546","11781182","9281813","7751244","8173778","8263243","7111808","9029400"
"Glutamine_1689_3TMS",NA,"37843.74","7872668","7694690","7937176","7062463","12719738","6528719","23400652","27618233","22952735","9634699","7996747","8276322","8874341","9998490","10295263","10323658","6895405","11313419","20645165","19531032","13134114","16245823","8991056","9893843","10993417","14777026","11687111","8019602","13066930","8377757","23920510","21722262","13908148","7109129","8251342","10565490","37211712","22325464","36479411","18193074","12175366","26584057","9612521","13907584","11257276","24931266","15873979","12979645","12226170","14822053","15842316","13156796","15800257","15947594","15189511","15778153","13276958","13283437","13294320","13726872","14326849","13984512","12645241","16089044","13486930","16754938","13344174","17067879","13274042","12841246","15533414","12113375","16674400","13445960","10777025","15765498","14302219","22054466","15734035","18025867","9981488","12783561"
"Unknown 39",NA,"37894.74","50789","41361",NA,NA,"73070",NA,NA,NA,NA,"28487","33810","38302","24620","32021","32228","38067","40752","46777",NA,"32586",NA,"46026","35231","29871","26171",NA,"42911",NA,"48920",NA,"42416",NA,"47506",NA,NA,NA,NA,"70861",NA,NA,NA,NA,"22136","40194","31016","45909",NA,"38332",NA,"37389","29939","40402","43824","49810","41842","38822","35624",NA,"39690","44255",NA,"23991","33173","38226","37468","33967",NA,NA,"34284","32207","39909","40456",NA,NA,"28079","50759","38918",NA,"21276","32574",NA,"23040"
"Unknown 40",NA,"37981.74","1085720","1353217","1306422","1150671","1405397","1562293","1967328","2486053","2063506","1288705","1550682","1710128","1275960","1295449","1332340","1378672","1575157","1858712","1796816","1607086","1756198","1825003","1726198","1702104","1512181","1837245","1712940","1413596","1535438","1585712","1852040","1859136","1867338","1026712","1468923","1275260","2010361","1567003","2057975","1760121","1801438","2187527","1342519","1471449","1639258","1880642","1611728","1723903",NA,"757046","1062230","1435585","1563725","1575950","1325643","1716612","1601899","1654882","1780538","1891367","896476","1033116","1242887","1314953","1655625","1548276","1637263","1585932","1535337","1495731","1443494","1501773","1379167","1665747","1111834","1691472","1498637","1088254","1069915","1487760","1593877","1615188"
"Octadecane, 1-iodo-",NA,"38035.74","439018","463295","449161","399334","530315","545465","650687","851303","599484","311244","607473","491135","491882","430732","444239","483538","573604","602726","552173","512330","538473","667844","720542","607715","500659","674340","600944","526762","597354","510807","587730","676955","790904","388419","441355","469009","599297","596302","659642","574016","588632","663200","438626","587589","462642","778765","716796","500676","535815","449383","602830","512897","574517","549715","448423","455217","537854","569095","620083","577928","498671","448978","707712","544183","562354","578662","469246","532571","511272","494919","534016","584584","514600","662639","455854","632336","530668","545878","395777","517419","539588","537037"
"Pyroglutamic acid_1731_3TMS",NA,"38623.74","42897951","36109189","35358525","33796000","41883358","33086107","57095846","64901113","58037536","50096304","41752572","46611765","30043581","38043914","34881444","36563685","34261801","40256051","50593794","50407269","46481370","48201550","38769942","40724380","42409279","47061342","39819869","42969991","45425263","39422416","53231643","49558814","47003422","43582950","35886817","43933881","62179924","51229037","58233635","56639409","53873576","57057605","40033720","44908278","38029934","49942276","44000554","43028584","41156256","43944287","46020447","43883973","45638437","43978737","44335770","45699328","45038186","46334635","47095867","47654102","43218527","42020848","43201601","48137228","45407214","49936426","45019769","49772839","47279652","43478308","44067903","41233653","54014586","42030641","42122506","48156472","42402663","44491996","41470671","45628498","37251652","39819127"
"Unknown 41",NA,"38671.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115503",NA,NA,NA,"159901","164880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"174638",NA,NA,"120054","159492","149871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150287","157280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149315","143008",NA,NA,NA
"Unknown 42",NA,"38731.74","246014","133907","160857","154768","234536","135694","402850","535966","450132","328223","215600","314060","140645","215280","144826","175796","184418","220631","355166","366666","347338","318517","199897","260419","249322","243245","210230","246046","239216","207082","444616","282290","324592","254939","186195","291324",NA,NA,"348752","407560","390912","317705","256223","347246","211628","368083","325063","299470",NA,"242382","276626","274292","308269","296120","299040","319028","290276","326526","335250","359474","282779","264415","288099","369166","362322","384809","297177","387407","373042","270106","270562","277800","564400","266307","268383","424650","280914","319981","257946","323722","246818",NA
"Unknown 43",NA,"38782.74","105519","81737",NA,NA,NA,"92996","158675","171735",NA,"139166",NA,"139937",NA,NA,NA,"116964",NA,"96962",NA,"135666",NA,NA,NA,NA,NA,NA,"106223",NA,"124015","96991","135317",NA,NA,NA,"86658","122642",NA,NA,NA,NA,"153980",NA,NA,NA,"94169","106479","98444",NA,"85229","84234","117331","113344","123166",NA,NA,NA,"116282","129106",NA,"137915",NA,"94725","105854",NA,"117441","145253",NA,"157096",NA,"107254","104164",NA,"144010",NA,"97476",NA,"95402","80782",NA,NA,"92736",NA
"Homocysteine_1730_3TMS",NA,"38854.74","143286","99405","123139","103346","115656","107950","213927","251421","231239","182457","141290","166759","98925","111501","95140","137681","109863","135935","243228","227541","197567","210023","154502","182216","162682","160622","145649","187077","164189","127711","266986","215632","203753","212460","160392","213442","202606","198773","207828","203673","179276","207182","197948","208361","183060","229504","176616","191053","159189","168503","186956","166984","199695","173597","196501","170449","169213","189397","196988","203916","169390","157118","174411","202253","174626","220759","183657","225443","224108","162926","161688","225398","261681","192703","185812","242790","187489","206506","223266","253155","208602","206550"
"Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-, D-",NA,"39058.74","60078","44640","44361","44720","55626","38381","74467","97690","79838","68355","42389","70058","30781","41328","52481","57215","40474","47897","55067","49676","63822","61181","52050","51953","50082","56345","46221","79081","61355","56571","75929","51333","64340","62291","65258","60767","88789","56608","71331","77521","64703","66409","62136","50942",NA,NA,"45768","54689",NA,"51284","51694","57708","53562","59656","73759","53327","57256","70839","46954","59518","67589","50486","56406","53682","55026","79789","43737","79282","102682","58418","47833","63719","70424","51054","57493","70557","42819",NA,"56247","67109","39936","42714"
"Octadecane",NA,"39091.74","417821","589583","300904","321147","403025","556094","528265","597107","548277","580363","420119","817481","321211","347390","393395","319382","350217","381498","370527","376287","744507","399598","462500","575659","708670","443887","382900","532230","474139","381659","350102","314613","328204","331909","408716","368256","317199","521404","361890","460372","394788","543794","342712","570125","318409","362750","347616","359789","332598","349987","391898","361972","391572","370605","397106","393994","415687","426590","433123","448666","349464","366471","344181","390907","419793","507964","520327","743097","753778","408984","407119","390256","407918","384877","337015","332067","475151","566796","291927","532419","333965","538899"
"Unknown 44",NA,"39187.74","158172","115034","110501","108868","157838","174084","364253","455139","416516","289520","169904","376168","110776","84984","81290","87387","109421","140203","146167","127966","137247","144105","139484","127273","291429","268041","185515","226963","274106","199445","157078","154709","144724","77352","87407","97473","373449","275356","372876","257301","243659","296119","146586","208219","141669","176213","178383","200282","90732","115691","130797","159242","177521","159533","155328","178125","160301","199367","168838","205477","111061","137337","121230","150885","164657","207336","192409","242766","148170","153019","155976","167578","215393","185958","148162","167621","203217","266656","145520","226827","121313","139471"
"Phenylalanine_1768_2TMS",NA,"39409.74","42853507","36418826","36622176","34379446","39618819","32844795","50795072","57602786","51996291","47541655","41656219","46706393","30443504","36423147","34401606","36972872","35625061","38950030","45315881","44174532","41429249","44583407","38476613","38362897","41057540","44700284","38876237","42233529","42451396","40937501","45707443","43366915","42933494","42150103","37459793","41101873","54161040","46711894","50439511","52974054","52630529","51262020","36989504","40537372","34593469","41799976","39953688","40239258","36807246","40588380","42726851","41519847","42581432","41613475","41195785","42357754","42315055","43077971","43360328","43357458","40613153","39922296","40436958","44211493","42036204","45189421","41579457","45728888","42063935","41229817","42055061","36023522","47653180","35319199","38310479","42246438","36942869","35760404","35714635","38319905","32850826","33204479"
"Unknown 45",NA,"39577.74",NA,NA,NA,"27073",NA,NA,NA,NA,NA,NA,NA,NA,"22852","27517","23864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45465","43835","30133",NA,NA,NA,NA,"37878",NA,NA,NA,"34592",NA,NA,NA,NA,"37777",NA,NA,NA,NA,NA,"36675",NA,NA,NA,NA,NA,NA,"33090",NA,"30812",NA,"31697",NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 46",NA,"39742.74","123631","119654","105871","98928","96510","64860","1904087","2334782","1228128","1100032","1073634","943309","101050","203298","154183","96815","89645","114560","1107861","1031326","641534","696130","921689","482663","263961","330115","1056450","120364","196323","859223","1337750","1264489","1153679","692471","553380","811475","178029","134396","147684","177069","157160","234046","986135","1146864","928444","1240305","1074346","1104867","458037","531479","788040","566497","612964","591223","1084460","598995","1034098","702622","1025978","1112111","535378","490655","528857","614104","939650","1128186","1021771","1223643","1040312","546522","553670","1100765","1147528","1027276","729713","1047781","960787","1236031","738965","793069","750890","763813"
"Unknown 47",NA,"39760.74","715476","825580","667174","739651","679822","628958","1322172",NA,"1937678","929633","628973","682033","526389","729847","603486","785763","685196","815292","779097","821798","937311","961909","413102","721824","993619","1083439","274801","1043656","976495","126087","1655414","1092131","968041","1056116","933894",NA,"1351341","1277461",NA,"1167517","982338","1290272","650777","844913","687800","1174411","768907","974299","628538","722353","923773","935751","1061655","1057694","741163","1074057","617880","1047345","560730","638834","816879","828490","850791","1077655","577450","796933","749710","724712","586432","851901","998731","673752","1219350","641172","913392","996313","706251","834343","1039882","1213975","886472","888423"
"Unknown 48",NA,"39793.74",NA,NA,NA,NA,NA,NA,"6590663","6598650","5831482","3628218","4085295","2616416","59197","2272495","1984820",NA,"163636","2412396","120867","4829176","3857821","4379582","3587357","2723434","3536809","131207","3048196","109093","1691056",NA,"10910268","100970","5215919","4392686","2627833","4810297",NA,NA,NA,NA,"1272751","2013018","4271965","5059341","4864880","9294285","5785265","4935807","2638156","3515975","3488697","4169163","4057808","4412924","4075070","4870995","4736636","4663167","4008283","5182539","3405165","3179277","3369395","3868576","3921593","4347936","4975335","5623634","4861765","4089786","4208258","4878137","5157057","4900654","4639303","7683667","5126587","5574934","4799426","5149385","4095799","5381393"
"Unknown 49",NA,"39820.74","90560","64721","77551",NA,"117264","46424","171176","235794","219750","203297","186813","122715","1744436","172495","55129","79076",NA,"129527","5668935","162550","118588","169478","107172","102413","122497","3834327","158955",NA,"88158","72121","249281","7915050","154814","117527","102188","159527",NA,NA,"95854","144754","85093","169824","83666","127197","95260","173402","135071","146284","82913","107499","140467","86540","110167","133735","138531","135437","137824","120860","122228","183645","118583","98570","92702","116063","135857","177698","162124","204945","214872","65237","78898","79149","121479","101019","84055","141230","86686","95864","76648","92822","96687","127800"
"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",NA,"39859.74","372178","482669","423390","400318","484835","450611","879834","933597","830080","610820","651476","570612","368553","365653","398042","438409","474347","442826","852874","867016","645443","776644","751599","584389","547119","695480","610832","607790","662164","618901","966053","1373807","823853","831513","513799","965968","863724","745750","836452","678592","786882","847248","601885","745678","870901","765045","1124207","897031","498485","501923","544780","737324","734419","784470","677640","735721","714414","772359","777360","766203","569220","535344","553269","636573","656271","719506","734701","867376","881136","624415","662212","668485","940999","996407","689498","834865","961324","420412","704628","451481","669901","1028540"
"Unknown 50",NA,"39943.74",NA,NA,NA,NA,NA,"78885",NA,NA,"32668","34831",NA,"31717","43040","38626","37250",NA,"16858",NA,NA,NA,NA,"40309","24552","21313","36406",NA,NA,"116221",NA,NA,NA,NA,NA,NA,NA,"30297",NA,NA,NA,NA,"132694",NA,NA,NA,NA,NA,NA,NA,"43413",NA,"45070",NA,NA,NA,"44364",NA,NA,NA,"50900",NA,"31747","53063","37512",NA,NA,"42988",NA,NA,NA,NA,"35685",NA,NA,NA,NA,"37284",NA,NA,NA,NA,"24537",NA
"Unknown 51",NA,"39982.74",NA,NA,NA,NA,NA,NA,"310075","244733","239335","150856","107496","73169","129519","77977","103956",NA,NA,NA,"350634","367732","251353","429265","195262","229541",NA,"111990","101797",NA,NA,NA,"825914","545705","404817","359129",NA,"335577",NA,NA,NA,NA,NA,NA,"373334","462879","411203","1002261","534948","375128","421079","358538","369144","216315","245431",NA,"256176","214493","230769","194829","264442","204754","311036","398363","366551","300514","326120","310041","308764",NA,"267120","219711","238866","485946","410527","402819","486516","728575","413865","647344","555269","570898","338363","531465"
"Phenylalanine_1793_1TMS",NA,"40039.74","4705974","3803730","3813777","4294248","4118762","3740803","4843939","4345458","4264787","4817175","4239239","3655727","4215413","4515841","3415652","3898949","4168949","3784337","4107906","4303001","4073244","4683881","3794292","4187832","4476550","4549971","3981621","5053350","4528082","4081376","5028410","4792854","4628768","4681390","4425288","4376942","3287336","4298001","4354366","5468759","4813357","4178819","4436439","4794726","3908615","5113954","4970294","3988594","6092155","6213060","6077412","4404740","4292776","3963772","4430562","3944992","4501777","4033329","4440369","4190363","5588388","6072537","5629035","5223284","5271982","4916776","4840748","4733531","4846164","4661458","4690593","4595459","5005637","3914358","5002819","4971637","4088384","4569975","5294790","4773896","3748010","4163114"
"Unknown 52",NA,"40132.74","106059","61815",NA,NA,NA,NA,"94736","114515","99915","100442","77791","90488","57815",NA,"58009","64563","66949",NA,NA,"89190",NA,"87810",NA,"79340","74482",NA,"69064","78362","84420","74217","107914","99838","84123","79235",NA,"84217","93248","90104","89789","92340","106562",NA,NA,"68372","75544","98598","96671","85964","75787","67074","70782","78093","80042",NA,"85750",NA,"79902","85067","107624","84791","61612","65807","73290",NA,"77647","84247",NA,"89432","82057",NA,"75269","76673",NA,NA,"85402","107655","92562","57809","67395","72386",NA,NA
