"","GD_012_matrix_RPN_RRHD_B1.mzML","GD_014_matrix_RPN_RRHD_B1.mzML","GD_015_matrix_RPN_RRHD_B1.mzML","GD_017_matrix_RPN_RRHD_B1.mzML","GD_018_matrix_RPN_RRHD_B1.mzML","GD_020_matrix_RPN_RRHD_B1.mzML","GD_010_NIST_RPN_RRHD_B1.mzML","GD_011_NIST_RPN_RRHD_B1.mzML","GD_013_NIST_RPN_RRHD_B1.mzML","GD_016_NIST_RPN_RRHD_B1.mzML","GD_019_NIST_RPN_RRHD_B1.mzML"
"group","MN","MN","MN","MN","MN","MN","SN","SN","SN","SN","SN"
"M477.759T949.1621","7377.89082053726","6512.10406545009","6303.64400082784","6378.88084352114","5992.28181061982","7211.21505837331","8548.26734212247","6944.06135792898","7233.3074264527","6998.78332553445","5760.89573047816"
"M477.7848T29.1396","0","0","0","0","0","0","7730.78800258596","8073.33090788574","6554.56563358001","5616.54356631393","4458.25553792175"
"M478.0816T590.0217","8496.30835152654","7943.45497707871","7447.53790746693","6839.5474018694","6263.99410361332","5581.52355279386","23946.9536590878","22674.5442584725","19512.449985635","14854.7251509423","13924.9800045617"
"M478.1334T531.8831","0","0","0","78.4252587389606","0","0","8553.11209635524","7453.90775474642","6697.13736883545","5974.71203590839","4625.32334582613"
"M478.2762T370.18","2015.633311685","1515.94041216764","1942.542496116","1840.48128773803","1216.6906269988","1516.23375739033","2069.02140801239","1355.34687855721","1568.21281188541","1361.78616046142","1097.3123679267"
"M478.2836T475.2851","294.958837530669","102.126076540072","0","141.335456145648","237.547378255706","76.4697600095533","60987.3785420003","56736.4092587261","50535.4393195437","45047.0560346222","39687.1728784111"
"M478.293T501.9034","11439.0254218755","9670.58426927092","1072.64553472397","7963.26097383499","2360.92867445918","7649.15996166894","736011.817802124","701378.76140814","607491.459364014","528707.983614541","484911.58253963"
"M478.293T451.9398","75.0296938138083","0","0","0","80.2558928249224","0","60134.7969164085","54240.2917705314","45615.8046932351","36963.5716359615","31958.4216700991"
"M478.3241T434.4155","0","0","0","0","0","0","3298.23723688821","2975.29488298416","3023.40045779228","2485.98027469417","2762.95554154909"
"M478.397T635.4429","0","0","0","0","0","0","36117.5491876302","36788.7640732956","35235.3085906571","30140.1815745559","16242.3952238101"
"M478.7599T949.1615","16223.9666844452","15075.1480852488","14206.3478573228","15804.0725126267","15600.8212970805","13872.2221759775","17895.787362003","18432.1093929139","14683.6039282014","14921.4775008349","13141.8411414253"
"M478.795T27.3713","0","101.380070113502","194.157921079031","0","0","0","9596.16982141113","7974.20544225037","7525.29492698975","6268.58711889267","5760.60858545718"
"M478.8292T947.3451","28921.1462873929","28194.3623533186","26985.85973847","26792.0781534097","26492.0229133912","23799.4162204103","32796.5775614364","32484.7785730759","28530.8381789127","24727.4834956788","25121.3702298474"
"M478.9735T351.9945","6277.09954501088","4330.26623190525","4269.24669023436","3720.63820265784","4519.73237190954","3563.03614469064","7512.38445542297","9776.70872330685","6287.1466499304","4015.55719077587","3646.42017403941"
"M479.1933T600.3169","0","352.733058756727","466.048255257331","0","0","172.198873368225","14632.9707112884","11710.1737772943","12508.5565267592","10825.3991733814","10652.7082034969"
"M479.221T631.5064","1454.45102050779","2233.18736948239","1214.99281488545","2206.35031381752","1230.73808529774","895.36217497047","2902.65284331556","2681.50187563755","1855.74550512313","2029.57229693297","1808.62603683334"
"M479.264T379.2707","226.170753843068","0","0","0","0","212.765988882614","9467.0385962391","7238.25294091885","7044.89348904918","5208.36486404078","4270.12547833861"
"M479.2829T429.5113","0","0","0","0","0","0","130098.447623682","122964.632634125","106998.393344576","95437.9200592542","87394.4499920927"
"M479.2965T501.5173","988.279834133716","908.666910383614","0","2384.30772723198","163.483755569075","782.553930272829","185504.906668396","177918.507118156","147633.935779724","135988.663191816","122107.30475029"
"M479.319T612.4299","0","72.8921628015814","0","0","0","90.5015854106085","44873.9813243042","42320.684038992","37572.7491693954","33777.8053687653","29814.6394562866"
"M479.3727T586.3861","0","0","79.7505125044504","0","0","68.9074418116815","26226.0885049207","26941.6162176985","35091.4044073111","25227.3069253308","22355.7026671576"
"M480.1314T531.8621","0","0","0","0","0","0","5524.61143005329","4713.87356554988","3958.32026293943","3125.67250216238","2755.09392640115"
"M480.1486T558.5287","0","0","0","0","0","0","9920.12048695683","10014.8415500412","9675.28175662097","8016.67325438897","6563.46412917621"
"M480.2864T429.531","0","0","0","0","0","0","37643.339318955","33342.2087074291","29908.500390683","27268.2284780419","25084.858787275"
"M480.3082T533.093","9514.70376486452","8059.64463575227","2396.48077784453","6457.10178882151","2630.87013418083","6305.55210703686","675722.861640625","707713.937983286","564412.15457205","502465.8521991","463083.874527423"
"M480.3088T482.3649","4828.30249885266","4135.31416899065","387.983783319779","3195.80092702451","0","1427.47544750702","749741.014404931","702225.435780469","577467.125533483","464312.609854203","416546.433394232"
"M480.3215T613.0344","0","0","0","0","0","0","14975.3034634298","15065.5408284913","11830.3344609487","10210.1930213624","8640.03704813238"
"M480.7563T949.1615","22211.1338396727","19369.3839827413","21062.6640143682","19431.5253015677","17804.2317005325","19222.6399202373","23923.6647829054","22894.3961130525","19770.0603585206","19566.812323105","19011.1983309882"
"M480.8264T947.345","11141.31269945","9344.21921207433","9719.2811927813","8420.32331051304","10027.2661025724","9326.63177826736","11222.2600756429","9532.7837569428","7926.1455735823","9508.28169881668","9337.88473171666"
"M480.9693T387.743","207352.522636025","174153.558137598","169790.542623343","150968.503882642","152102.349910771","141188.886306056","269194.243327686","247905.624782462","197099.294613759","168942.117226069","139447.083760688"
"M480.9691T951.5721","322646.773396775","294949.221574632","250762.574476296","278725.390190875","231997.17563975","212390.068762495","445587.889577168","382206.556734863","290061.528135445","257334.37201006","222792.483601919"
"M481.0452T344.144","0","0","0","0","0","0","2121.86161045975","1737.51224066735","1689.36705379909","1451.98060688273","1671.44587725322"
"M481.1123T574.276","0","0","0","0","0","0","3509.57200718882","3763.89476911843","1875.9746097761","2147.31136424256","2624.23817546222"
"M481.2101T631.2045","3783.90072925446","3890.04157227172","4553.34340310128","2029.66403044729","3885.74788838156","3914.08690811263","5271.90758162495","4953.11238731297","3938.64854107903","3248.07112747802","2961.56510373231"
"M481.2076T308.483","0","89.2470854206809","0","0","0","76.6978078947536","8580.32554225365","9097.62041860352","7338.89803474425","5391.78476546199","7296.82460433823"
"M481.2436T275.6696","0","0","90.5429970000498","0","162.902379173599","0","23293.9043844382","21016.9842195106","16576.2928910828","16384.908712864","14776.5663663083"
"M481.2797T385.926","137.219900235146","135.683791990105","0","185.139211600398","0","113.884426572081","55087.6774621848","56130.3225476395","46191.1542129544","41291.4279585011","36763.578255007"
"M481.2987T552.4729","4197.0698913208","3488.8559649387","2445.97428737398","3540.83633981663","3675.96062828064","2740.82182053295","2225.70753165692","1565.0835357346","1834.5115972568","3099.96170287494","1223.05727155394"
"M481.298T424.6809","0","0","0","0","69.8370122809697","0","12195.4619852539","10913.753037887","9076.78825984953","7001.20950292968","8141.46524456024"
"M481.3006T616.0625","0","0","0","0","0","0","9964.25206372261","9050.65902065709","7976.39059451416","7478.50467248243","5560.42720827282"
"M481.3118T532.7904","2067.97611860795","2212.6663895222","607.280631463268","1140.22718916439","151.797181855534","737.973326613147","186250.899842627","180930.805459129","158375.7889763","137263.872995816","124023.327913743"
"M481.3122T482.2206","0","227.434992795244","135.167133967082","0","91.4464567548806","0","217195.873778367","183617.274443115","150509.976824112","123886.686624711","111263.116362866"
"M481.3519T519.1639","0","87.1707775880613","0","85.5335792164889","0","0","42583.6462047786","39806.8011143875","42195.8500272642","31157.93004192","27125.5619815063"
"M481.4249T739.008","5947.53829044672","5366.2860024948","4673.40885141645","4147.08725408032","5733.24565902708","4698.6850557495","2015.15266449988","1652.30105295062","1341.2701126188","1483.49928995532","1510.52695094173"
"M481.9726T387.743","22330.5211199281","17711.8550570548","18811.6728152692","14892.8024109078","16409.0845616462","14077.8207008667","29485.8553166382","25830.2042837692","22350.0074447381","18091.1448498393","15665.8083058246"
"M481.9724T951.5843","34765.1826129078","33006.4698224128","28730.1399382643","24198.1592892003","26797.226365479","22324.5214240551","49306.6141624815","40716.5203414069","33146.6900599898","26166.5099235618","22989.6358484082"
"M482.0893T229.0532","0","0","0","0","0","0","2316.17429177348","1859.14529808998","1320.22173706512","1612.59605785115","1280.72900010126"
"M482.1465T558.5311","77.5327303650833","65.4569245739417","0","0","0","67.6956719769673","6451.65670808922","5668.86431413148","5093.77386843676","4868.39215786846","1325.94868998527"
"M482.211T308.483","0","0","0","0","0","0","2693.08139551163","3067.86270282946","1627.11072376709","1374.75223431057","1953.15610351564"
"M482.231T547.0222","1711.79701766445","1238.05219292601","1139.19500435292","1282.2468225267","733.18410011041","733.814544403693","3756.32062132956","3123.83915379526","2821.279174253","1996.19997052914","1829.6114685917"
"M482.2469T276.255","0","0","0","0","0","0","6009.76482041016","5732.59058901105","4691.87765562744","4411.30177852578","3488.24107094253"
"M482.2845T386.5434","0","93.6296406200586","0","104.401869162344","74.2056943671778","0","13897.2193420491","15941.2324175632","10266.3625830994","12154.8782065489","8151.30033696287"
"M482.3195T434.982","4263.55143116432","3787.88848487982","4234.08546112058","3751.87689660646","3772.13365229906","3738.16116671756","3610.22736209903","4624.09447700229","2429.13564932593","2691.85122586543","4140.0254888423"
"M482.3149T482.2206","0","221.507781830526","0","0","0","69.1315624524929","36468.2472484465","36470.3738924057","26917.3131930114","22365.4122134883","21046.164394281"
"M482.3142T532.4869","305.39065133594","156.290140520704","0","71.1137287117696","0","181.376933004086","31672.1082335021","32749.8117696579","27720.4935119716","24139.8620122912","22492.2553168578"
"M482.6649T26.7222","0","0","0","0","0","0","17128.7492200756","14419.9624849319","12456.2398359375","9922.9185350708","8976.41221305989"
"M482.7545T949.1618","12584.7068893692","13450.1325808839","11848.5105009264","13529.5659674264","12762.0210429204","12447.0011413599","16274.5479492006","13345.4586323817","12867.3330311063","12176.6654129465","11219.5345886406"
"M482.8116T962.4851","39010.4973174082","32682.423548633","34713.3453433226","34412.3861735119","32438.6889687813","30983.1280689246","44261.5964058812","44620.1760339226","37999.6112601165","30703.6054582293","25298.5519263513"
"M482.8272T30.3402","0","0","0","0","0","142.968779623528","6622.31390716553","5602.98118434077","5081.20976330566","3485.72518581826","2892.68457215772"
"M483.0747T293.291","0","0","0","0","0","0","2545.50996345518","2972.60870271164","2071.0804647433","1611.18923585205","1466.38437872992"
"M483.1949T573.67","81.4187316894531","0","0","0","0","0","4100.53972366873","3724.95044038321","3143.19370866226","3644.97477181437","3461.76214239847"
"M483.2584T284.7623","165.574613191187","125.903547603637","71.9741570455953","0","0","0","4730.4811660906","4651.55161477088","4539.81997333404","2470.13615209453","3004.09379913839"
"M483.2719T489.723","78.6440001768418","191.142037488807","0","252.02856618911","225.947756999244","151.820692578676","14857.7992860956","13032.7495300598","11453.1644377041","9303.30737508523","10417.469172937"
"M483.299T519.4673","22473.9001121691","20807.9423327303","17753.5960910394","19588.0201615257","20328.2354231254","17119.8309649414","2534.19459796845","4518.62332321419","3569.42839812764","2800.33125426517","2901.28502833315"
