"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M211.1697T864.9","211.169703674316","864.914376849362","135515.372726076","147513.259210368","108263.093200599","89024.5513657097","82026.241523405"
"M211.4337T938.8","211.433680725098","938.848692932823","93021.0790991842","67137.9404285483","61362.5662527275","54347.606310427","33648.5286345265"
"M212.2008T623.8","212.200784301758","623.808540465626","140493.75459357","44762.2164508859","172446.069021918","94405.0380967591","71498.48326348"
"M212.8389T29.4","212.8388671875","29.4212884851113","18563.5560588811","18638.253855491","17349.2884551102","13910.4522254553","12249.2776046544"
"M212.857T651.7","212.857010219408","651.740641272504","423429.980703536","251630.744548117","208424.853172316","424553.846956274","398611.513640778"
"M212.8911T887.9","212.891078404018","887.893764112898","156473.93335791","71762.9058229474","62972.5650746572","108549.374652596","49518.0004357021"
"M212.9463T689.5","212.946250915527","689.533223406759","156111.531101224","203658.711971765","77525.2296174518","227693.206259291","190217.815621759"
"M212.9737T37.3","212.973739624023","37.2767036920408","25002.087058724","22782.5079541222","18707.3029002766","16061.9872654621","15349.8710272868"
"M212.9742T427.6","212.974210466657","427.626156619431","321889.310978483","413222.159539056","384845.578771074","242820.380801573","322154.268633062"
"M212.9994T35","212.999438476562","35.0439970671827","92377.7044772104","86700.1289587549","83836.6100479106","73619.5463215283","64495.5829295391"
"M213.0208T728.8","213.020762125651","728.775205808076","812422.737283897","775741.169476614","611139.169213084","463175.26659029","507121.003335946"
"M213.0396T425.6","213.039570617676","425.57476695047","292142.246295259","151798.763327545","69469.2885143461","183816.56925937","168094.428624643"
"M213.0921T885.8","213.092136383057","885.791335047822","381204.777839328","212525.357659347","167040.305330805","319491.806775973","306057.29439561"
"M213.1097T784.4","213.109659830729","784.418851143601","3368052.73711959","3243022.4469883","2784835.08287094","2264626.5101889","1945186.92796794"
"M213.1462T783.1","213.146220397949","783.099562868766","4727538.56766377","4281452.61629659","3428318.52910239","2982367.96880375","2319588.64524224"
"M214.0064T29.6","214.006413269043","29.5768548748008","92086.3450652592","84153.4263204356","86808.7479558155","73766.3680198411","56232.3101511499"
"M214.0327T624.4","214.032721964518","624.365140253599","989052.741160206","770731.241195393","1097031.84552119","778959.959000417","615023.07390549"
"M214.1498T823.4","214.14975530451","823.412031171007","190909.384585532","389186.053688178","362894.450404899","286077.449201912","269350.932672109"
"M215.0365T420.5","215.0365234375","420.519315944453","2435851.40638733","2275350.26501052","2028155.04688095","1642399.73925013","1461232.91378397"
"M215.0362T941.7","215.036199951172","941.7258955007","1098342.13012198","1040750.67740941","904359.413952239","792346.864205618","654461.313632319"
"M215.1251T119.1","215.125091552734","119.127524576697","169046.726601249","162080.776955357","127246.509675702","116913.782657626","70913.5437907822"
"M215.1242T550.4","215.124226379395","550.434447681706","771045.536721226","759583.288062257","1264946.14729875","539802.293837086","940050.343839195"
"M215.1254T908.7","215.125358581543","908.668722567384","4073238.75709707","3961365.60784766","3476226.08690814","2797545.25714165","2404724.69258512"
"M215.5929T354.6","215.592932128906","354.586187076558","108546.09482797","98362.7136606086","97178.7507045089","88792.6785228974","87182.5104794324"
"M215.6209T379.4","215.620938110352","379.411782210639","11062.3253359376","10170.3236631893","11160.4213900919","10882.4935029322","8997.44887452847"
"M215.789T945.6","215.789027404785","945.630903105061","5968.09602417441","5253.0657641424","8628.15417123243","9600.28080330053","8669.9172738929"
"M215.8898T838.8","215.889810180664","838.765805484136","559059.701883735","570750.522041417","492143.240751651","471671.868509428","408871.174032899"
"M216.045T754.3","216.045027160645","754.280102051859","1227981.17974393","1157797.83995598","1059286.26709197","551652.631122655","468823.065407168"
"M216.1215T370.9","216.121484375","370.8830196932","339748.372701976","155217.581467605","262787.612657911","84987.6978923727","90410.0247580867"
"M216.1283T861.6","216.128307342529","861.647386610422","337471.988170208","550189.068032922","219750.752330551","394221.158623522","315326.734980628"
"M216.872T944.6","216.871983337402","944.572730148043","126500.952663475","124177.090244302","127236.744308086","124144.939981386","127503.207896854"
