Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	X1	X10	X11	X12	X13	X14	X15	X2	X3	X4	X5	X6	X7	X8	X9	GD_050_NIST_dda_targeted1_RPP_RRHD_B1.mzML	GD_051_NIST_dda_targeted2_RPP_RRHD_B1.mzML	GD_052_NIST_dda_targeted3_RPP_RRHD_B1.mzML	GD_053_NIST_dda_targeted4_RPP_RRHD_B1.mzML	GD_054_NIST_dda_targeted5_RPP_RRHD_B1.mzML	GD_055_NIST_dda_targeted6_RPP_RRHD_B1.mzML	GD_056_NIST_dda_targeted7_RPP_RRHD_B1.mzML	GD_057_NIST_dda_targeted8_RPP_RRHD_B1.mzML	GD_058_NIST_dda_targeted9_RPP_RRHD_B1.mzML	GD_059_NIST_dda_targeted10_RPP_RRHD_B1.mzML	GD_060_NIST_dda_targeted11_RPP_RRHD_B1.mzML	GD_061_NIST_dda_targeted12_RPP_RRHD_B1.mzML	GD_062_NIST_dda_targeted13_RPP_RRHD_B1.mzML	GD_063_NIST_dda_targeted14_RPP_RRHD_B1.mzML	GD_064_NIST_dda_targeted15_RPP_RRHD_B1.mzML
FT4070	444.673781011046	444.672807703663	444.720063133101	23.7954628677368	-59.4439999523163	36.0047149658203	20	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	3513.42544254739	4013.41689832764	2919.81976355878	3297.97515843506	4277.9654230957	2495.23453156717	3303.8256245139	3968.66185013835	NA	3645.91623966078	3163.74539764404	NA	2904.60388243408	NA	3258.09024402364
FT4071	444.807788150686	444.76253718386	444.829330421856	668.853495254517	627.549003540039	776.297990478516	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5627.74550604385	10516.1524760853	11142.7633513664	11004.1599437399	3439.91303701172	7565.05263966066	10039.6433293363	13145.513208545	11907.2562092133	1619.03072930908	7285.90855146788	9290.72354230059	9901.89837332562	7858.50861320189	1932.34095303483
FT4072	444.834667769299	444.765613754821	444.931687809189	20.134	-62.1839999523163	34.8838806152344	22	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	921.349615675185	2266.11022247315	203.784686610631	2008.57920968374	556.447841333008	240.789942464193	1646.07890886434	295.211649029541	NA	1878.04647410366	NA	NA	1210.27408833196	NA	1094.71270310805
FT4073	444.87444499595	444.78823771729	444.877450608623	945.406495138168	894.562000137329	992.204990478516	14	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	NA	18700.2205361023	2015.61568423681	17955.3802757835	NA	NA	9462.11488946666	8127.26181946378	1163.81276744791	NA	1530.78524277628	NA	11319.2293354034	2101.83656810505	NA
FT4074	445.029685661955	445.013322994677	445.054950582936	463.129990478516	401.040000099182	463.828000202179	7	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	NA	NA	599.178476362616	NA	NA	553.219232714853	NA	489.817877163361	440.906432905194	NA	NA	232.308101715083	NA	NA	NA
FT4075	444.87431638235	444.87431638235	444.87431638235	793.811000549316	793.811000549316	793.811000549316	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	778.380330612186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT4076	445.119765189198	445.117883389441	445.240394667581	623.067002441406	560.057003540039	733.985990478516	31	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	914.625851867665	NA	3357.92735321514	2671.87794487766	NA	2970.69770845149	3068.05425141048	3059.35263711547	3022.26143118541	2775.63011139676	3254.66999015809	3411.53314224243	7308.70742782594	2483.21884889639	3304.33050415804
FT4077	445.036072727186	445.036072727186	445.036072727186	944.427000549316	944.427000549316	944.427000549316	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	1209.64782535706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT4078	445.060660318389	445.060660318389	445.060660318389	0.582000047683721	0.582000047683721	0.582000047683721	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	226.933997360229	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT4079	445.255229969604	445.180053648726	445.318306010165	398.368990478516	281.901999671936	455.157990478516	27	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1701.30117125321	738.419967971799	1118.13288178241	1922.5363611679	NA	1847.25985577175	1425.15196972656	885.171559570307	1547.68031583175	600.621659225462	1358.38756022643	2028.08177576638	1400.94942622071	1529.50983565848	1862.45420916747
FT4080	445.311369316518	445.256762428807	445.368391128282	648.555995254517	500.454990478516	734.782990478516	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16305.0317620983	18676.9387581228	13736.655932256	12582.1467517255	15505.1566580582	13769.8658421434	13145.8833632813	13809.5827871094	11479.503439624	12930.1590700021	13149.5497506835	12208.4284510315	2414.39881672232	10031.1980234375	25973.0370564718
FT4081	445.801327223251	445.761750869914	445.811349176877	668.853495254517	629.143003540039	744.978990478516	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14046.2812079245	528.157999584953	6211.53556982425	10632.0906485314	18511.2353913879	4915.45066779327	7580.38604818913	8645.90037675477	3301.0088009491	3191.95977696395	6230.73648779302	10008.6933123837	6565.80988537604	3890.23269821164	3220.47596799317
FT4082	445.795257821553	445.790159016954	445.795522514324	505.970999885559	498.074000137329	514.450000030517	4	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	NA	2422.3332333968	NA	NA	NA	NA	1918.5215762446	NA	NA	4220.58812515258	NA	213.025069995114	NA	NA	NA
FT4083	445.84102331414	445.837543449458	445.841660792704	28.9537944793701	24.742	31.0173873901367	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	554.464911660445	NA	NA	NA	NA	NA	NA	965.285858245849	NA	NA	NA	NA	794.94377415924	NA	NA
FT4084	445.796030308936	445.792916165384	445.799672988351	313.687	260.118041992188	368.779003540039	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	NA	NA	NA	NA	NA	213.412011562768	NA	402.031794189452	NA	NA	NA	NA	NA	NA	370.305052185051
FT4085	445.868656797567	445.743959573209	445.892421905637	966.552999797821	949.984000030518	997.698990478516	9	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	312.578215118432	1898.81458833313	182.0508753891	NA	NA	NA	1083.05461560822	1251.94895114593	NA	NA	697.757499267581	NA	NA	744.804655865486	NA
FT4086	446.120937940065	446.11937734761	446.192577152097	508.274999797821	469.648003540039	641.833003540039	21	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1989.3179502295	2397.04049561769	2735.35659123885	3170.7350708496	NA	3175.94180311157	2671.90270263966	3010.61954266496	2272.75234131111	2363.59194947815	3392.99169344939	2729.0384274757	3215.04383408794	4584.14637966922	2752.34763900757
FT4087	446.12078755399	446.119077247767	446.121700305876	681.738999797821	679.945000202179	734.782990478516	5	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	NA	NA	790.545032897952	1755.12036315918	NA	NA	NA	NA	252.641290649415	NA	NA	NA	1551.58398548126	1369.53046179201	NA
FT4088	446.223090931761	446.20253747294	446.223809021959	344.536999797821	325.449000137329	397.072990478516	5	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	NA	273.546240674972	856.879454888241	NA	NA	NA	NA	NA	NA	NA	NA	NA	685.853216235359	269.305812080383	NA
FT4089	446.305299010814	446.244747054784	446.375368702398	662.062000549316	500.204990478516	750.003002441406	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	548.830946777337	8222.34317646023	25211.994277117	6727.63765385432	20419.9723970947	22179.8112164363	26167.2488913003	25104.7311951376	22792.373017578	20800.250529297	6732.87941686504	21621.4001136154	779.233258194773	19951.8080930279	1976.07306002807
FT4090	446.299816280684	446.297925253104	446.325256033871	447.401990478516	433.207990478516	447.583999797821	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	NA	NA	712.040734629757	187.277118629455	NA	NA	NA	NA	NA	NA	NA	NA	NA	547.998940930176	NA
FT4091	446.670426677518	446.669722915584	446.715993225564	24.5869324417114	-59.1949999523163	31.8942756652832	16	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	965.41128494873	9588.20848017531	7367.30838407244	10116.0457337532	9659.7258973175	6430.13811814791	10008.8203616333	10838.2869832865	NA	8276.87117877197	8443.77562954008	NA	495.897232065837	NA	8460.5439115767
FT4092	446.798875536545	446.76197125198	446.832703596031	676.474003540039	555.465002441406	757.714990478516	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	211.8502190094	11650.7030363913	1241.08767969514	8486.87016956996	5063.27896011909	12569.501006775	13177.8094403549	15327.8453291289	11118.3067297669	11576.817734471	8933.65790024603	11629.3715275659	3220.33298654612	12189.2741723684	4949.23418944038
FT4093	446.794006648135	446.790772275567	446.816680475942	946.325000202179	930.077998657227	998.576990478516	9	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	2111.17060426728	NA	1570.0102639143	2092.62084389037	NA	NA	NA	2048.17342848425	1394.65729015894	NA	2112.2990284815	2115.05636531068	558.741801110836	NA	NA
FT4094	446.832972017415	446.812965350768	446.915911888866	21.3860881118774	-61.6859999523163	29.4988708496094	20	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	8726.97049908917	2503.27151667023	1539.28082195696	NA	1220.01026222839	1207.78085617065	555.59713949585	216.914627334595	NA	2108.96163781738	547.114378106689	NA	7795.13732086181	NA	1415.89239088658
