"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M219.1372T305.969","108601.830064087","96315.4494757205","93824.0035504127","84372.4936812879","80850.4801052667","72109.7880316934","47382.9502957536","37914.1290511833","36185.1134539571","31058.6668264143","23754.1514139488"
"M219.1742T274.483","553784.820659248","487460.676592362","447303.924591138","513966.038886785","396717.468958248","334382.001535374","593287.010696826","573847.558854371","514052.871327896","499415.455085215","352881.648465824"
"M219.1741T316.269","171055.758094209","154123.422725054","140802.973713898","166569.305867972","126863.41994256","113501.302944625","192755.822595487","203346.934137896","178467.202152199","166629.299607396","141711.819238014"
"M219.1746T476.58","247500.222487118","219057.562606959","201411.746639067","213887.474873788","179686.351719645","155448.84923724","173220.316791988","169661.592905492","150513.26623843","138389.160111071","110203.299848338"
"M219.1945T402.8795","92280.0937654183","88552.727792153","79258.2535060902","78525.8267385253","64567.6440496094","67690.0684382984","87658.551851283","78602.1568353275","66589.981298747","61985.8255418946","49518.2053530085"
"M219.2101T556.072","61904.0557222523","56761.2128324555","52799.0846617995","46974.2056444345","44896.9652102544","40201.3702957573","9315.99494016119","9930.45717711187","8586.44312667995","5440.18579046629","6543.22779579303"
"M219.7126T20.3475","40665.582197485","34714.0350236913","32195.5469814331","26669.9482741362","27589.7249743042","24366.1711082844","29135.7382368164","26742.4032711163","23150.4233344978","19487.4510776913","15096.5001261083"
"M219.8977T21.08","9850.42610806959","11075.5326897772","9042.39367764827","8209.24768721542","8700.7266460083","8403.63352339268","8888.12608272333","8423.3593278799","8441.05484476277","7334.44064941798","6556.08636765351"
"M219.9953T952.7865","80695.4877288001","70978.2468800385","72417.3944780677","63600.1796089446","63627.1435877539","62653.6689727353","97187.5439908782","90137.9795754014","82598.6447379513","69012.7865376584","66595.1256239268"
"M220.0091T26.779","25975.8368057048","25207.9642363948","24222.7814515531","19119.2010569823","20754.9067660602","16448.8829064416","17032.1358742879","16424.6166766009","15100.1509534823","12940.8955152707","11187.6653947601"
"M220.0294T25.8035","33224.4265569305","32205.0531627989","30824.6249360149","24730.4576448906","26114.7113375067","20378.5473110553","11820.3947283853","16813.9138860098","14703.6551348594","9396.4003161377","9554.07007270952"
"M220.0392T964.2955","2187321.06103638","1974386.70392401","1743149.81312988","1628202.04730216","1479778.43824789","1477923.65005478","2470702.25892924","2402213.0455671","2006828.59722872","1650398.79871813","1470401.27966547"
"M220.0507T951.5705","30337.9173011715","24587.7316229928","28696.4002076174","22261.2978518881","23535.8005527563","14396.8079677178","34302.5081046028","28148.9527387574","24079.4211163326","23800.054199219","44947.3906406313"
"M220.0675T25.568","2276.63368131429","2714.65450180227","2071.99627734398","2042.35090583153","1842.1240536794","1753.88248770257","72034.6878526452","73231.9965357971","65157.6392492618","60353.0781010367","55804.1079605484"
"M220.0773T37.682","5783.28414647674","3525.97722906582","6427.8711225984","2937.86854971809","5759.53209219365","4497.83044960729","64648.9654173642","55605.6728629875","58815.1319659668","47273.3186133629","43376.4256697273"
"M220.1048T282.965","3278.70249987088","3362.14907015251","3155.30183451462","2996.20378917853","2443.24932709361","2723.05969588036","22102.6847532553","18960.8533101654","21432.6960657523","16761.6725941658","12617.0549033837"
"M220.1181T40.709","6171.63803938866","4121.56287173054","6830.39611416869","3405.30209284087","5938.74363478058","4889.03259786765","29001.018444039","27371.4719233109","22646.8141093292","18651.3346678711","15958.3864876227"
"M220.1679T585.773","21203.9180190431","15895.7789279512","18357.6810322673","14010.0995298259","10714.2751249187","12940.1060033241","7504.1834413819","6310.15203426266","6130.77857826402","4637.44240143398","3586.45443956637"
"M220.1773T274.483","87908.9489952841","83458.2327131256","75101.8833867066","85277.5538242959","60395.8620444586","54302.7552410107","92564.8115031754","91313.3502404978","83824.9341641856","83141.4422291966","56808.8621713005"
"M220.1774T316.269","27203.3345294864","26738.9057162896","24245.4158988616","29164.6062709327","20526.8520813622","17613.7397466416","32968.74027794","34286.6066947094","29768.9172185873","27423.5669217294","19551.6544579384"
"M220.1776T476.76","37237.8775751079","35883.3286354496","33145.6478518392","34479.7351397208","22865.1593597909","22524.3211869707","26180.9213674938","26217.9731028721","23761.6288752775","22126.9909621822","20625.5937289887"
"M220.198T403.504","12560.9616014938","10134.2941033137","10197.5356957805","9211.57445996091","8596.73784874079","9288.51201280796","11256.2849614132","9245.76825016006","9433.50568170674","5437.21329317093","6588.58773548352"
"M220.2142T20.489","12613.924888003","8933.26188037199","8971.81516266632","8853.18034997558","8371.26139517805","6817.47148080826","8610.62182697391","8256.98434925088","7947.22867812485","6720.69019203186","5277.32335842132"
"M221.0314T949.151","272367.032876392","297829.707565825","311180.936589588","281985.457974149","278052.129251548","254338.550126209","423554.80613201","306089.937201956","220791.2893366","320031.806301785","260261.170933057"
"M221.0416T964.294","217169.701599954","196500.347834196","181368.949677887","174680.763532819","171121.92873344","165812.486400844","257295.080528474","245916.778718164","206548.648408832","180698.9223143","154151.808777477"
"M221.0662T954.6065","41794.4552302549","38283.253837316","24739.4635685366","25758.7434798585","29347.722828369","23189.0888614653","44467.3845466794","42140.5362802737","39879.9392624079","29151.5610949217","22605.405021127"
"M221.078T221.186","8405.9158623169","8652.09611385781","7426.14866850623","7549.54230101206","6233.63840961282","5729.64846751476","14987.4003387236","15732.5052108226","17732.1500631628","12483.9262148625","12770.3002629228"
"M221.0913T37.0735","6632.15409876175","1890.16848674427","5672.6908413082","4450.21561079848","6068.3057611499","4605.12092340793","16171.8650366699","20968.9110631371","13998.4690856104","16250.4141686179","13931.8797448716"
"M221.1744T585.1685","28630.1052921461","21534.0363598345","24642.1495675814","15687.0245481771","15928.7602687654","13702.4612586107","20699.9663839771","19084.9800779944","16558.7214903528","14258.2273720138","11906.5588329468"
"M221.1807T274.235","6084.0138058723","6126.48910992866","6303.26649772875","7200.36696982367","5410.69639084371","5594.0339298849","7307.43703035109","5975.53808567051","7529.65775861816","5807.99625795364","4275.11433638882"
"M221.9729T950.362","60213.2470527717","60075.9708760427","52891.6859113161","49088.4690361174","47885.9937328157","40436.0967662898","76085.4447911865","78524.7358209514","64219.6526071324","49092.4498273647","42007.5495506361"
"M221.9977T36.471","4159.37159518272","4380.67870630404","3720.38730652734","2941.29624642082","2962.25210273951","3665.30517461919","16145.0620098495","15002.8057497641","14234.174605957","8089.31808048248","9386.01941861794"
"M222.0213T953.393","79776.7223695308","65643.0822390953","73479.536639248","56143.9918890384","61183.2335398861","51452.9806693984","110818.198283202","98935.3338585616","79480.6368608098","75566.1656268306","64810.78830368"
"M222.0756T207.868","53809.7501990741","48260.5943316933","44222.8230172255","41821.0455423758","38900.8794131602","33362.2512091911","22731.9476631265","18873.1980895506","18593.4392760773","16758.8473298836","12233.1651877372"
"M222.146T548.219","16796.5142736053","14953.2780666026","13120.2039161605","11265.0736833287","15077.2479946289","15863.2276530315","42370.6321918648","42253.5306358242","36328.2865082262","33936.3402077854","29454.7453688958"
"M222.1479T272.67","81889.2146866281","73489.6682321027","70669.6276943574","62911.9142260775","60121.6026109523","53204.5158990423","12619.2148189826","16375.9077476081","11577.9137054157","10053.7127732375","8563.08888188805"
"M222.8628T950.366","77725.3345890712","76807.970968548","77493.6555229447","65319.9943389081","67102.6381019558","56535.0736851431","92614.5825158688","82486.8179158066","79661.9087996581","63358.3042500658","60502.3917312723"
"M222.9061T23.639","7124.7868566513","7511.47216664042","6121.68675450578","6276.53852050308","7267.38598227735","4743.95740326447","5167.54466518826","4812.28545978037","4176.51154812622","3765.55975865364","3400.41090634664"
"M223.0282T948.5425","139168.452920407","63299.0301324056","59922.4539637716","55970.0906532201","116223.166044653","54192.572596465","88442.8731615497","132084.738297214","108435.953300365","71607.290612453","73406.5445669281"
"M223.0542T229.059","10811.6009474962","12609.2431489036","12182.3257065491","9205.56271134439","10693.8140848473","8314.01130805122","19798.5760797119","17260.2123407227","14734.7363072927","12198.7398718151","10343.2028800392"
"M223.0636T349.5795","1088336.77851003","1133958.13107775","1160829.97673469","1205755.09290229","1283773.47763282","1281804.8268246","1135959.94274004","976984.042887134","865150.860406809","790308.543646474","763661.20735281"
"M223.0634T464.529","286991.451684082","297530.695690625","288913.485119979","275746.94541978","286811.350069141","261090.549617894","258639.746847058","218078.414489498","205648.700107712","176686.584359428","161490.370677562"
"M223.0638T417.428","1827835.99969677","2264006.26425839","2195355.01717866","2079270.13677912","2216479.12375863","2070912.1467695","1749459.77061574","1527820.58496305","1522771.6224602","1315174.8232228","1232148.6940137"
"M223.0632T508.2525","101068.604668796","95942.5422129822","93492.7040136521","92635.2261127302","96549.0709539594","90122.7465475758","111646.064205994","90329.511033476","88492.5642741928","74686.2607381437","69370.5207390625"
"M223.071T22.73","16669.7657162027","8374.61239765368","6664.60592191061","8068.06530385742","4168.32745986067","6934.39097445488","74148.3135238281","72983.4374264804","69502.0877412109","59219.0516842464","50212.5700212479"
"M223.0961T333.838","25942.9663597915","23204.2731523062","20011.2251285347","20758.7666814218","16266.6909243813","15768.1605592957","197500.450052962","174658.785192366","150543.559778513","122252.490748415","96068.0818891602"
"M223.1082T46.16","8137.61924238077","6167.53469650737","6172.53273130847","5082.4170752754","6096.9238243389","4667.65765637962","17473.4298895942","16997.6869039307","13177.5087263455","10556.0708582776","9534.99500319825"
"M223.133T422.875","206552.016260832","394336.947911382","254821.136903611","191876.61416026","224971.780055401","213349.792964667","150017.473367076","126729.927104688","121929.190426758","106564.407498936","88210.3628903901"
"M223.1483T958.841","84647.3939106408","73359.4986055529","71129.5667972161","63182.619778476","64314.5044432293","58655.4054678487","101197.803174405","91386.9276117146","75142.7684416662","71483.9217865288","59007.3944725079"
"M223.9166T952.787","32730.5979078517","32621.8484270815","27594.9681246255","19291.4605553165","17223.1929804742","17789.6412178106","31206.8720354461","31956.9374349721","31879.1037437205","23334.4680722708","21115.0031792451"
"M223.9687T950.3645","20791.1438820448","19544.8338547365","24434.2537440964","8539.8327201335","16525.7890310666","27691.2512480859","26509.2200539145","27219.4382876221","23499.3823994955","20604.0456642579","14522.3388186835"
"M223.9984T952.7875","54914.9452436517","49219.9922647238","37970.5507807619","28663.7346226564","33101.5893497717","39451.6605934067","53577.9825992181","48068.9097765628","45288.2425311036","31126.3168332033","33481.124358443"
"M224.0174T953.3955","23135.0552945196","25759.2904420278","49502.118690908","26175.2229768417","39083.7360508765","40633.0901221702","29018.017964895","35635.2784713748","29786.737506299","29585.1969518278","17917.442166797"
"M224.0642T349.58","200609.696782169","217627.536067677","224484.133348073","228806.955983667","239869.498146046","233052.051052663","209256.244373574","185456.336508325","165430.313795765","143210.522612152","136796.921697935"
"M224.0643T417.428","384553.239388188","476582.601144219","474274.123876846","434583.817924863","443381.155779098","417660.169098706","361546.841524596","297436.707656633","277106.852893273","239716.321859437","223581.00433473"
"M224.0955T367.142","171990.823208551","156371.555420213","145317.631305387","133085.131828745","130197.892592278","115556.373694653","16292.8249304316","12635.0217953357","12511.5943250156","10420.5290752442","7284.31503978941"
"M224.0995T333.832","115918.335135416","92645.191724658","88303.5199382088","83974.1413203478","83229.5770616358","76861.1281747967","27329.3393781251","24013.1806356658","17596.8029147462","16773.6391597291","13418.2713970753"
"M224.6261T370.172","26566.3602427334","24765.5797091351","27697.8395793629","21661.7923297578","23063.9960160838","18129.9530643216","27324.9502229847","26233.4868197784","20973.1532371021","21094.9390510654","17476.1815855955"
"M224.859T950.3625","51799.950411904","47622.1758411782","46611.5478335662","45233.208322449","49613.8376539625","29911.5002276225","43265.1377208244","53680.8980469494","50430.9830762624","45892.9703891982","40357.8705685363"
"M224.8652T22.541","6649.7385900225","8085.42390819988","8338.29715320728","7761.42244242691","10395.4665649082","4494.87631111013","19023.4194796702","17087.2885166359","16342.5042893887","13968.9846040106","12739.9007192802"
"M224.8764T31.626","7464.93160466125","7947.2427414255","7678.52074293083","6718.33455028122","7732.56216008118","5966.68498812274","15796.8803590356","15037.9660363197","15226.3509997384","14334.0549520616","10795.6261060469"
"M224.8813T20.1155","23143.8419394897","36606.8818086323","37065.4683537514","34407.0194857081","35447.2658562241","21483.3300376369","34666.3550169622","29328.725989934","29233.0373870308","31944.3080047927","28380.6267653117"
"M225.0207T950.972","111950.100400285","81046.4822574239","74361.9517989323","60294.5750954472","63057.2365280914","51721.9002380639","95261.1419307815","97179.7791329438","97451.1712568865","75906.9844038963","56875.1380850276"
"M225.0348T23.753","10422.7078139246","10398.5348315918","10359.3497557221","7674.22399214745","9540.61041579527","9886.40492692601","45682.9203091001","42597.2572603027","37478.1334519922","31276.8587428093","27422.334616012"
"M225.0424T349.58","149863.078451746","160063.020715669","158394.485976249","167411.765914023","160196.781189063","163493.192725808","157752.586377737","127062.696690332","120314.490192871","109402.2704021","97140.9958037184"
"M225.0418T464.6475","54627.5241848145","49927.8890155434","51505.4288221531","50172.6809217821","47974.8064740819","46817.7685488195","62383.1455152509","54006.2801794273","39633.9520770997","34580.1347719002","34377.7960003114"
"M225.0588T464.647","38697.3764620839","53525.6666584803","38773.7601261701","30711.0943304123","44783.7344450329","39796.5965580567","36218.3518353461","32301.7249162688","52643.7050375578","43428.241207949","23105.7869604246"
"M225.0596T349.58","144757.693136591","150582.430574462","154758.922674665","151827.661888774","171729.11620127","165988.185345162","148087.748658996","131375.230547851","116488.768349417","104254.496805193","97382.8251788196"
"M225.0595T417.428","267093.660582451","336203.036040696","322435.089739953","321034.638538777","327879.972648589","299784.328042736","257430.308254715","215365.111411531","203199.41365451","171827.272736456","162493.827494273"
"M225.196T359.27","317506.562729311","297633.466625153","267373.272304153","296513.293339691","247056.937503013","204981.772170241","256110.295798147","242570.148511555","222257.880918457","221897.65940858","162684.158429859"
"M225.6483T619.082","22051.7500862472","16767.0092465023","15562.1436409951","13738.4109801279","13689.8139579964","12831.1027423589","16500.5678215599","13508.0545681114","12953.8021455486","11308.7662383762","9336.73632639964"
"M225.8887T20.344","32098.9429522061","46319.3229138311","46034.4481564344","45502.0285874436","45306.8620565264","29742.8190372025","17559.8279632821","12117.1682014314","13976.6823326585","15459.3698555316","14831.7515951248"
"M225.9111T952.786","446690.492023063","405326.505687903","376620.83994044","347215.369002919","333604.297175242","300788.94113566","535581.150113711","488040.138285236","435711.122129182","363751.524582474","318006.882660124"
"M226.045T32.23","6510.82780161211","6045.89664230642","5789.41383287034","4785.35691695221","5275.6908494347","4301.8953672033","373716.699114793","335124.855264239","337412.677584266","291093.063258326","234417.976621857"
"M226.1798T315.058","133392.727702736","120903.135986595","110528.798892187","94805.0248489024","87916.6076545778","83794.6455793252","93796.9034666665","85766.5544934501","83163.3473944723","67793.3379704178","51310.5836352757"
"M226.1798T586.113","336348.846113548","292613.201572843","270721.245863446","232207.931832373","224139.158443474","205532.905180201","72869.2069611088","69290.4561239746","58498.2641115722","49006.2954758465","39905.075978136"
"M226.1991T359.27","47679.9174034901","43267.4968756486","39626.6241076648","45015.0258928912","33254.0443709325","30663.4760761642","36040.9029557418","36347.4595559876","30984.6516015028","32926.7254268188","23092.2621418946"
"M226.6743T626.956","51181.6115426745","51849.5666738252","47117.5149794106","42677.4392758241","43533.4273501408","36298.4093254757","33537.5764812549","32310.5572079444","32265.1946891427","31672.9695574537","23525.4353709421"
"M226.8559T949.148","25538.3790972517","27169.7279628179","24351.0726027791","23924.5240831354","25481.2302480166","22778.440993309","35088.7378910905","28711.3484718627","25591.6405739501","19734.4479763662","23372.6786033091"
"M226.9514T942.493","216514.719914491","184778.59779043","175503.002909994","160284.535653732","140453.050966638","130664.320415567","243776.292093051","225841.589840105","197203.100052847","153183.419497184","136034.716230292"
"M226.9519T21.33","4325.26394173584","2650.17334238083","2503.01211193513","2417.08978284306","2674.82828448483","2838.69428215155","2277824.02837742","2130681.73257339","1915411.61455986","1588451.35920703","1253328.57500495"
"M226.9684T107.329","8635.69785820472","6038.59979347783","6776.25626552133","6203.51698006345","4907.21372559951","4675.91558525752","17891.1260699272","17723.4443347648","16603.6818330621","14509.672901535","13122.437950393"
"M227.0223T147.899","8414.35207075197","11415.8882852246","10786.7479864462","8631.52919841947","8584.97759784578","9238.26323940392","10319.5356001681","8932.10452244351","9904.13303720239","8100.43045444336","7859.84181844711"
"M227.0397T417.411","28159.5859277342","37720.7820448137","37390.7912877687","33866.661564453","35029.5460544162","32343.3808900551","33547.3430080106","27655.3199463133","25778.892183844","17299.8323405455","17748.0231161762"
"M227.0487T32.23","17398.0208258464","16180.1695461868","16505.1323220109","12779.0823853772","14491.2534362973","13653.1249818771","38573.292359872","35578.0560876841","35698.6941502762","30404.8980728443","27138.8812579158"
"M227.0602T961.265","135261.964383653","120652.358114101","119675.487859159","104971.996125517","57367.6977262019","91337.0016213226","157397.245093754","139519.761975403","127107.284524317","103042.939079231","95680.9900718157"
"M227.0792T47.371","4245.69139188913","3873.37725062606","3918.02477764436","3760.59015995974","3419.86042487198","3299.49470706661","468371.93113833","432034.009867792","408509.020232065","338201.370430518","282024.119099464"
"M227.1253T26.779","3960.7594240036","4428.19491404075","3266.47378971423","2705.63962385871","3357.06641482296","3061.77128243718","25542.5391544702","19727.9095143917","19268.7739461921","15625.7007519684","15056.6242651607"
"M227.1272T350.352","26320.4020888345","21037.5256651949","24449.0280616291","19490.2497702443","15063.6833487749","16097.7998792388","26348.9596533804","23667.3005066265","18688.6437939643","15707.8768974115","13139.7316319086"
"M227.1755T626.956","16030.9524239909","12988.7498267416","15736.7950512492","9865.79137054303","10964.2585957844","10150.4328429543","8563.63227676396","9792.19246030309","10417.8698225709","9375.23227858306","8901.3797929763"
"M227.1749T66.144","7316.66967322287","7477.77792404393","5944.85242155762","7577.52720307433","6505.39005712143","5118.82882195918","8084.24850951416","7703.53723819228","5410.32117089844","6218.48397670808","5713.3448242852"
"M227.1831T571.238","65636.8376314605","57884.9338589596","53067.1822002908","67573.3195313417","44844.7745345876","42361.3652533974","16845.4440163948","14901.1106552291","14798.5077446053","11123.1505642579","13168.6526514253"
"M227.1828T314.474","17217.2333557893","16710.4934407777","15676.5977584433","14223.993181022","14384.6498215485","10876.5227595723","13796.4322529916","12457.4516957539","13144.7496140869","9112.43837460331","8960.96493683976"
"M227.2195T627.5605","9434.60897459555","8405.77089956247","8999.93737364754","6416.38789043683","6404.8994820518","5417.71742633053","6666.86624716425","7714.72291970552","7704.45409481206","5450.9450636644","9746.93112358011"
"M227.9549T943.093","7622.93421581745","6881.18732149222","14587.0721849352","5606.61683690501","5570.15030238664","5753.53064447376","8781.2576122185","7279.88366078611","7656.73822158416","5519.97456153528","5168.62597234377"
"M227.9552T21.33","1367.26554983956","1530.63639487734","1753.91454218814","1864.10244691648","1242.29967150238","1153.46785660222","73594.6325431824","74516.3613158831","64867.6693880653","53263.1184804586","47726.5145494079"
"M228.0333T258.7405","3157.4209411621","2665.91564821517","2090.24547348889","1912.22529787598","2152.27973913047","1620.48996303952","23426.6916325558","21321.89664093","21896.1985956533","20720.7240185058","17307.8414478964"
"M228.0448T955.8165","39018.8506863501","24883.8783713928","34247.1181712837","31730.3200805444","26773.9569834798","28359.7030075665","17869.8824608886","37042.3256652834","28358.8861582033","30784.4885077838","24641.8972572338"
"M228.0822T47.372","4463.21746923828","3817.78074509112","3873.71852160714","3132.29857939458","2876.75720679946","3201.83492921235","57509.1872983055","53083.306879715","51754.153320105","40997.1053379313","34450.3705794134"
"M228.0906T404.097","19312.7446650269","19099.3871639506","14875.6650329776","15210.0494261907","15335.2142018896","13468.281943087","14281.511945577","12946.3931222679","13718.9474576904","12180.3049267793","9779.19536805155"
"M228.1201T344.129","32964.7436682514","33754.7091081935","28711.9799241257","24750.0469940447","23911.421559239","21208.9912362793","36575.3409608623","33819.6095808967","28397.8782880211","26279.0027028118","19446.3999232328"
"M228.146T370.171","4908.68854714968","5266.59500341795","3854.85341355676","5340.35229474151","4939.80510868329","2849.91906280517","6588.52653333226","4930.09610866969","5805.70142451172","4436.09102256774","3450.55669912996"
"M228.1956T585.773","449380.220735313","392415.551389105","373345.565850292","325302.836056754","312696.774100366","283502.884911724","93740.2493686781","87597.514479039","78687.378856248","60730.1590707502","50770.4992209612"
"M228.1956T322.329","184399.760614941","156965.348328074","147397.398433676","137742.520960791","131262.69873267","124448.063811293","135780.715074103","123240.149396591","112526.671472566","97931.7245466518","76106.6663317991"
"M228.1956T570.714","389179.777434986","347134.332927504","317199.988504702","277981.904150766","273422.959726664","248982.031966203","96375.7161965559","89407.3113713524","80678.8963351271","67548.9090571688","59226.0384940087"
"M228.2319T487.056","39194.2985650491","27681.3888853828","31121.6313919632","24703.7365558087","27973.1622006712","16314.548703132","34146.8593585389","32942.5495777283","25996.1779887042","29610.6632258356","19159.8922809132"
"M228.2683T391.976","14808.3988402311","13569.3548691226","12553.4375645439","12026.476792589","10188.5208469238","10182.2963746887","10896.3244731384","10453.0138236389","8745.55228706055","8774.48799532118","4784.96127599379"
"M228.4138T20.232","2918.34537746429","7347.39859533772","4346.51162979126","4766.91604760742","5585.11520534248","3628.56890371595","2102.74673647528","1393.60979742075","1247.41818329555","2040.24223071322","1746.64551630333"
"M228.8948T20.959","30468.2023093832","39945.5185196655","36359.0652288615","31600.3386511051","35956.5065818242","27762.4634775576","5030.82952100199","4480.23343561411","4487.73471224084","5114.22840190481","4627.49195007294"
"M228.9558T21.329","1509.9492691476","1225.31602148738","1160.71027528672","839.837203710224","1350.30805656919","1132.20689881317","27410.2465402222","27336.0097273865","27168.3686611926","20549.4650629374","17109.0620594918"
"M228.9653T950.3665","46744.0682254027","37611.4253824703","38447.819288054","34041.6904533694","31038.0367375952","31766.7195570556","53699.5638284252","51936.4528439143","48753.6504302734","30947.9211424257","32904.2145637939"
"M229.0646T252.684","32548.2981111777","29779.5538579936","26833.1791610385","23080.8709854656","23722.6753639705","22900.4253295199","16646.7881821611","13858.7793111817","15048.1769630824","13237.3015270305","9822.65516068681"
"M229.0746T212.103","79488.813654012","78948.0757225189","82621.0447655028","83427.8967092569","88662.7263532448","84281.8792091978","23073.3943778229","20331.6069826171","18230.33985672","16907.5021426502","17407.1882324218"
"M229.0903T378.043","33723.8629165647","34902.5162345083","30818.9069935195","28003.782966504","25517.2441626952","24031.220669169","36231.3559867186","33950.2757628905","27945.0698968504","23786.0024574281","21122.4737312013"
"M229.1987T322.926","25336.1333379937","22426.2686202334","21262.0073934823","19744.3817590637","19343.3045490742","18799.9432484595","21468.0722735404","17178.2061813474","16669.4017450761","14642.5836038221","12556.8186350155"
"M229.1989T585.773","63057.0991133311","53911.3463067852","52954.266194887","46990.5160622546","45259.4294631124","39619.6815919907","13025.8827102983","15071.6171991708","9350.82103834283","10329.7391318427","9118.60335731652"
"M229.1987T571.2355","52233.0441133861","46400.4777263338","41977.944854601","38249.5238762236","39274.6371789522","35700.0680613055","14314.750499629","12934.9850714853","11584.1828034647","9336.19994121637","9156.19765264388"
"M229.2353T486.9965","3022.12169909668","3201.58369370815","3314.25434377731","4024.08454186554","3132.27567208039","1932.26034449206","5187.03235120296","4941.83485004259","4226.90145291138","3154.92862859832","2874.70547381401"
"M229.8933T20.959","30916.8133459576","32818.3972359009","34072.0021682739","28245.5191151069","28706.664675431","25910.1685722029","4856.49289876297","4346.89464842244","4510.73465715768","4221.12429051909","3952.5638007738"
"M230.0236T955.816","69926.2911094805","71496.9572510473","66891.1104028269","63736.810026523","57161.3125560829","57793.0185359229","91683.8671439937","83855.0736911342","69216.7968558368","64551.0597481046","52520.5548266945"
"M230.1579T26.175","10956.0122274658","9365.79657489741","7101.10802093109","6847.02965327422","7496.88323915073","7185.85825879499","88102.144995305","83605.54443088","75217.6266218402","63827.6607223122","57039.7461584473"
"M230.2478T355.0295","1403308.21654971","1308768.25869806","1189666.46442094","1062928.11380041","1071590.55500233","919189.948984601","616234.999455518","574150.496490666","499189.889306431","401185.034222995","329477.755317976"
"M230.8903T20.946","521134.390230329","638815.368278072","624132.677222371","548689.653319719","609404.320297799","456678.349605414","63644.544895275","46385.4849042938","52829.4532412514","55113.303919384","44158.4807072808"
"M230.9261T952.183","52943.1991894222","50329.3952229413","44223.3568643577","39105.0664356685","38192.5121165037","34710.2536764906","71805.5647647853","66365.0011832432","55695.9201483983","43699.9092512616","35473.9946374998"
"M230.9898T106.729","2552.84409884511","1619.6343625566","2125.91323031997","1917.22753324824","1730.58376861831","1436.6434056549","11111.9574678113","9333.0637933516","9624.6442441592","7655.55528259278","7887.02591591116"
"M231.0838T36.468","18144.2756808347","17728.6467528212","18285.9926381814","25103.8458092745","17763.7464032397","18858.0010736938","271888.773832549","240214.934101994","236095.399686589","194720.194728489","158360.382941219"
"M231.0839T35.255","26610.2620788408","24217.8558081793","24036.1948849586","31795.6051524247","24818.9342764001","24028.2705946479","307151.283454465","263955.722056503","262755.071496832","214234.570036697","177908.486711283"
"M231.0898T154.8695","11182.4084121323","11222.7738544447","8772.55297761887","11445.0301065169","10475.1836527987","9838.71910172143","7297.35321834777","5812.58526548994","5103.69486924406","4174.15562559789","3451.01483017089"
"M231.1013T332.011","14623.5534273349","13122.0112866513","12074.5639277909","11556.777500876","9057.30113794561","10171.4080983265","87107.6424996185","77573.1411584914","75563.4957954508","59267.0410957031","47362.8622935235"
"M231.2511T355.029","214565.400920688","194844.130792021","171178.200466261","154238.260501583","159193.926289759","136328.258967482","90284.5345773673","84739.4466966409","75376.9764081692","61699.1520100581","47114.1906756546"
"M231.8609T949.152","9984.289571106","12804.6434675782","10545.6938755541","13433.0711734891","11598.9421508551","10529.6854165649","8111.15768271895","12778.5911081778","12602.8673618316","11786.6466487305","12107.6284411151"
"M231.8929T20.943","28062.9267102468","32039.5147756577","33301.0175946045","30290.0093195261","32974.9986215844","24584.4202731806","3855.52294942304","2705.61389098315","2658.94840274188","3738.40508949873","2995.45538833719"
"M231.973T30.827","5677.4612899981","4686.78229704425","5831.50118179895","4542.48728084829","4617.79947589655","3586.75001316676","13441.9678437683","11281.2408360939","11668.5237292725","8070.23198682658","5993.22816886902"
"M232.0492T955.212","134427.090062221","121445.106284669","113057.891311784","99350.7753869518","94379.5672903162","85487.9323420131","142565.685572768","144642.090110189","128075.911138381","105768.082336612","109299.179628566"
"M232.075T522.1825","47839.7220444713","46702.5288750696","45837.3320126727","41843.8498829846","40553.0173248612","37603.1679420092","20325.3680912326","19933.2970675431","18283.575002211","17797.7656213485","14608.7761819963"
"M232.087T35.26","4014.96048105552","3404.75625813075","4035.15459195899","3851.93018526675","3025.47226022228","3302.97295790384","24337.2425575823","23058.8223865509","23366.4267620591","18399.7508690146","14662.4521150526"
"M232.1051T332.018","3332.0466474121","3239.46051311968","3400.81195308929","3271.2966918949","2708.86226276653","2327.06914577391","12105.4066772462","11596.4461842245","12184.9321071055","10301.5730999344","7633.84423354204"
"M232.1174T40.105","3899.42749902344","3820.78403346831","3657.88613908406","3569.50700759339","3018.2806505275","3404.63063495818","11759.8419135277","10325.9709230639","9068.20395501709","7646.76552579133","5490.35279385141"
"M232.1902T309.0045","13953.1977190959","11062.6788613928","9219.99206271515","8165.91676014539","9009.65662134304","8006.28242228977","14868.8820748099","12882.2696105774","13203.3837538603","10030.5714342238","8486.07245295346"
"M232.1903T305.373","15228.209634224","11547.4062096475","10483.2953637997","9302.68921530431","9424.90826375863","8251.06926246034","14037.2091558345","12311.5062859378","12248.0833358002","9255.26918931884","6917.39580245969"
