"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M338.9343T942.49","4837.96884117456","5145.89191540703","3334.04492596438","3776.88897142997","3344.17062381492","3659.47520199858","6653.352697168","5828.83856767575","5122.82751631675","3892.09536454938","3713.4671153056"
"M338.9673T948.547","66143.3808083796","67294.7351944124","54225.4684749102","48120.6801340445","45680.2136130565","40608.2448712611","64192.0518382062","61510.5306697652","58321.2919324524","51846.9432234745","48087.2089887725"
"M339.019T349.58","9019.32913515623","10472.1765616742","10098.2645314026","11017.3128698088","10295.2260069762","11410.7963107961","9377.84452736872","7146.15964377386","6313.53018094885","5757.10813187027","6791.22681944274"
"M339.0539T342.9175","61240.40384752","63034.6605967985","62822.8248082886","59389.0194663888","61219.691904865","54841.4764212513","53822.2526647171","30278.2442420807","50484.9778006185","44567.6317784787","29023.48903575"
"M339.1031T392.583","3494.12463510745","3758.57537005078","3519.02667180207","2906.01401789379","3078.48910553204","2511.32539627189","21284.2319723634","22742.2216943157","21491.655548523","16329.8932464981","14526.6310657226"
"M339.1108T363.509","49761.1512428312","50771.6334593583","44592.4261245606","41855.6484562284","43498.8908343395","35779.2865398631","24574.0533031654","20867.898301185","20353.0531838128","14749.8255241664","12019.6530457725"
"M339.1153T953.394","18189.681433525","18726.7804555907","22268.3860743391","15301.7680044011","16445.7760408468","14470.8891166477","30767.2000859711","18190.6015887452","24156.9937735606","16869.4051471531","17848.6882583427"
"M339.1216T38.283","694.961545966409","821.578511296878","685.608962502685","505.236722435814","1172.59809517464","396.235642831849","4823.67455338074","4783.90145688476","4112.60960327309","3904.36750924213","3459.44402740478"
"M339.1606T953.394","62585.5141560995","54349.0138118136","51925.3510395365","47747.985607094","43848.9517862891","39074.163235708","69015.0056354871","68037.1643369297","59130.7517128011","52340.1158097373","44277.4632262232"
"M339.1825T601.038","72258.4483865234","67698.8589877844","61110.9540486336","58139.3333888745","57535.3295759773","49032.4513885134","499447.189180855","493383.182651472","447091.426171145","388336.01710664","312234.980154331"
"M339.198T631.803","74341.1234213389","65239.6848977838","68806.1648462726","62427.9016632693","56072.800418589","54086.0196661005","84135.4793041819","83031.4070983451","83703.6084011291","74563.3042755734","63073.0835207953"
"M339.2503T444.597","115979.049457221","108406.269188235","95067.2640260731","86548.5874586372","83262.5301414159","72732.2498975135","31694.517483529","31476.5031867028","26746.1514920226","22778.952159213","18681.1713415395"
"M339.2588T370.1705","8767.9030436524","9654.49794333964","10558.1550558186","9203.78170474023","8489.79808948975","7420.40415935276","32522.0589051319","30494.3671155157","28883.9127632934","26527.7454365339","20619.2598861656"
"M339.2671T427.699","4711.1048611857","4219.67246053321","3646.89436972234","3931.71755773388","2693.11647848322","2891.23673100847","17853.0746398518","15966.6850288085","14446.0349302045","12773.5762453079","10640.1280792525"
"M339.266T369.569","11066.0939020857","10851.1008206544","11162.4516489815","9646.01598452707","9112.71924982233","8297.45470446725","33323.3954284717","29195.039014206","28510.4301232778","25878.8578635607","19311.0177552158"
"M339.2873T938.5525","671671.630768311","641360.013053969","613917.805255571","562765.626407888","540141.92984389","454866.41248234","952606.312210734","1039706.48812344","627851.285298654","724901.229281504","535102.003887095"
