"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M235.1698T588.8","235.169773650959","588.819","21425.4722831646","23775.5412422161","57890.2712205079"
"M267.0297T75.6","267.029734032718","75.58455","30689.9018426627","11252.6594956504","37788.8779895712"
"M269.0254T75.7","269.025373183226","75.7485","32096.0954669608","11198.3828815008","41096.841629305"
"M270.8687T379.7","270.868664221062","379.656","65408.8606114906","40258.5346562937","32588.4854061729"
"M283.2636T546.9","283.263646003289","546.932","487087.845813994","112615.33372128","67622.1397031174"
"M297.9379T246.2","297.937877262102","246.154","6842.14895828114","42350.9106355322","82098.0165230307"
"M299.9348T246","299.934834416164","245.992","20531.6423789483","47391.4483238932","87952.3855524935"
"M308.8947T296.6","308.894742269318","296.621","107474.374764417","95032.1172962782","31717.0639721355"
"M310.8927T294.6","310.892703375875","294.555","45283.5529933426","38255.5311376579","51082.9606800618"
"M320.9124T484.9","320.912382253389","484.9265","23441.4328134869","15325.7721442261","35994.6155845907"
"M322.9104T484.3","322.910413046654","484.258","22230.4868443603","35122.6741275049","80614.2816716657"
"M327.1228T282.7","327.122828941901","282.738","91777.6554503675","285525.254667546","496884.506664189"
"M328.1262T283.3","328.126241917235","283.2625","10412.8083537583","47057.2071786297","70422.9315297408"
"M329.1235T286.7","329.123490410106","286.7435","110194.953802632","123461.999282553","152436.891125325"
"M329.1386T324.7","329.138614870326","324.719","102117.56581307","53782.3321516113","134329.120395176"
"M331.1391T324.1","331.139114305548","324.078","109088.40240053","147435.392736929","96084.9860943349"
"M347.1986T551.3","347.198640140253","551.301","121779.436377594","168894.703057215","471683.733481179"
"M349.0961T92.6","349.096078880212","92.6403","132945.960336189","139707.889994785","173407.147243637"
"M352.1395T78.9","352.139485953637","78.9165","36307.5098762303","49517.8403510498","29591.7279534399"
"M361.164T270.1","361.164034012394","270.051","114857.385466322","432540.11455739","504526.134076335"
"M361.178T537.3","361.177966484552","537.326","45188.4256620954","58469.3487158001","189806.190314596"
"M361.2013T397.2","361.201305241579","397.152","35267.9975939812","90897.8779649025","24277.1368628627"
"M363.1587T273.9","363.158713989402","273.898","122345.69239792","254739.897490756","211183.029973433"
"M363.2016T474.9","363.201571461928","474.914","40427.8801322127","73963.7968223265","65262.4473910047"
"M367.9484T559.7","367.948359748356","559.718","625442.383580555","687002.523673465","751223.955217985"
"M369.2046T694.2","369.204550928755","694.183000000002","288439.485442674","786657.253514563","402477.491403093"
"M369.9454T560","369.94544029172","560.022","132922.110023368","140858.221699851","157489.007306376"
"M370.9391T560","370.9391388763","560.022","62141.2997557481","61449.0794766981","64996.4002644276"
"M371.1187T76","371.118717679244","75.9541000000002","139974.488631628","187520.923711215","153689.47168938"
"M371.1526T79","371.152552049197","78.9721000000002","77080.9404944763","98681.4799424194","70959.7457061853"
