"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M908.8193T394.8","908.819254764299","394.7685","15365.2626415292","37484.4912155762","40323.5418210782"
"M909.3322T468.1","909.33222806338","468.076","70181.336603919","81343.649146651","117860.715773748"
"M910.5762T695.6","910.576204578618","695.6235","38236.9751689434","695082.828263157","1052234.56335616"
"M915.9871T594.5","915.987139204963","594.472","4313.14499779344","18442.7325494385","30837.6693417197"
"M917.9851T594.5","917.98506479155","594.473","12566.7235504921","32503.3628997314","65847.9182717291"
"M918.8434T405.5","918.843350676403","405.523","106022.705414062","174035.130353393","54277.3123838119"
"M918.8571T393.3","918.857085545637","393.269","100784.625220703","199831.249227645","134076.072850446"
"M920.8414T404.6","920.841367489652","404.6275","537187.14435791","664601.555224668","380353.140208698"
"M921.8449T405.5","921.844928583813","405.508","173039.326311289","229094.80582693","90047.3913073817"
"M923.8428T405.2","923.842845687185","405.213","226806.731868722","366299.79397566","118718.48810104"
"M924.8374T405.2","924.837403380182","405.213","488184.831270525","813237.584779493","268410.81686837"
"M925.8409T405.2","925.840928075132","405.213","144810.561211349","197195.324558973","83534.6627656945"
"M925.8496T393.3","925.849602510088","393.269","122572.104149437","147412.479148856","86028.3570298104"
"M926.8356T404.8","926.835604140512","404.789","99451.5159318537","148659.828722268","57957.4513297286"
"M926.8523T393.5","926.852334243781","393.5275","28006.8389194489","46679.8442066866","16834.4787415772"
"M927.847T393.3","927.847035715198","393.291","511523.046221926","658380.897963025","419111.280102791"
"M928.8506T393.3","928.850634184041","393.291","150717.241583183","195898.170923539","113066.286644102"
"M930.8487T393.3","930.848662133398","393.291","213609.016780165","279358.33235903","181075.688844726"
"M932.8469T393.6","932.84694102465","393.564","143085.697964813","191176.96080209","104654.399314681"
"M932.8591T427.7","932.859063908718","427.671","105411.459850665","145323.565782249","106663.115295455"
"M933.3075T78.7","933.307497453281","78.6742000000002","16340.6306035004","33187.6610530539","56745.6704243165"
"M933.842T393.3","933.841968142408","393.291","124761.60835668","148473.247130986","105448.186258057"
"M933.8626T427.9","933.862556499122","427.923","32009.2563315796","46654.6086132812","29582.1001561351"
"M934.8445T393","934.844468780033","392.97","28848.2782155518","30679.7968538603","26333.5213645698"
"M934.8571T427.9","934.857063443023","427.923","452636.632616268","590036.652967443","438050.372255583"
"M935.3022T80.1","935.302189185296","80.0671999999998","158871.562368164","18656.7546665364","10558.7916591376"
"M935.8604T427.9","935.860414546699","427.923","144679.438474901","185007.541698159","134354.901028533"
"M937.8583T427.9","937.85828218753","427.923","212867.79955699","279911.886457083","194898.196508339"
"M938.8529T427.9","938.852892278651","427.923","442647.507957723","580464.308089582","431002.538296449"
"M939.8562T427.9","939.856171175136","427.923","124357.916369063","171514.361400213","126261.464097981"
"M940.8514T427.9","940.851415375459","427.923","108841.218023144","130395.375670561","92267.4089784744"
"M941.2584T70.9","941.258441270673","70.92255","16160.9536191744","14729.76798068","9443.17449640924"
"M941.8546T427.6","941.854626553619","427.617","29670.9693497196","34238.6010915911","30551.9576826172"
"M948.0415T593.6","948.041454815483","593.587","24734.2468912355","21164.1299514013","3224.11319519044"
"M950.04T593.6","950.040044563092","593.587","54728.1433776779","37746.8448352049","875.209389604848"
"M956.8815T394.1","956.881450959266","394.114","30197.1983373871","46068.3347002467","17314.1740406135"
"M958.8515T387","958.851524632961","387.042","248997.539858663","344545.466069899","266427.505663227"
"M958.8792T393.1","958.879198932248","393.132","21103.4961330971","21770.9999351502","16586.2004692383"
"M959.8547T387.1","959.854657607728","387.056","43024.5837368467","40173.0666390627","32971.3322885998"
"M976.8462T393.3","976.846248047349","393.291","32755.2225342882","45540.1903108865","30946.1345407365"
"M978.8449T393.3","978.84488719912","393.291","140072.548336694","203710.699458984","171247.047790576"
"M979.8482T393.6","979.848224401634","393.564","47477.4219823264","47966.5968914932","55794.4356171623"
"M980.8426T393.3","980.842588009306","393.291","213678.122310492","323522.07331604","246256.413263109"
"M981.3741T406.6","981.374087186256","406.5525","30256.9835399549","97273.7431594017","32006.9688925782"
"M981.8461T393.3","981.84605595285","393.291","60931.4216300951","100960.461599432","69684.3939568364"
"M982.788T393.1","982.788034372192","393.132","127745.787608949","53113.432609654","53925.3690633139"
"M982.8408T393.3","982.840831687778","393.291","138564.745306749","216922.807836801","173343.251888504"
"M983.8439T393.6","983.843900430831","393.564","36569.4275467985","49860.9965290846","43005.3538702104"
"M984.7851T393.3","984.785108962266","393.28","29458.1460749242","84088.6029923651","80149.3066111822"
"M984.8402T393.6","984.840216529217","393.588","23922.2613135986","32390.7634093889","32891.191418738"
"M985.4996T467.5","985.499578286239","467.469","67545.2073750943","92521.837983753","89611.4433650717"
"M986.5029T467.2","986.502866574231","467.152","30349.3373889692","49988.2487517297","52851.5193907468"
"M986.7843T393.1","986.784306011282","393.132","800.750256306108","53269.1595162966","61140.4881789438"
"M994.3731T324.7","994.373064631152","324.696","356.271563507617","27695.4538244631","28472.606756836"
"M996.8034T394.2","996.803362248841","394.1755","30580.7041805424","29329.9841333008","51929.7889151043"
"M998.8009T393.3","998.800850448108","393.28","7241.5506984605","102060.271015625","95189.0237675167"
"M1000.7989T393","1000.79889412031","392.9835","655.365810378948","42612.6237297365","59062.3039944201"
"M1008.8936T392.1","1008.89359054167","392.101","42485.2237460529","85874.0617157737","225953.305603685"
"M1010.8916T392.4","1010.89159025854","392.384","65638.1506157227","133394.898819274","321964.102146293"
"M1011.8953T392.4","1011.89534242657","392.384","19660.9054739919","38840.1964791502","117867.63577413"
"M1012.8896T392.8","1012.88963375689","392.7995","39720.2480272739","94637.008447965","229434.111901939"
"M1013.4939T393.8","1013.4939234421","393.84","55542.7284699795","116531.890548387","29659.6319406653"
"M1013.8467T386.9","1013.84671240739","386.894","26461.0298963301","50200.9299177248","23839.7759352214"
"M1013.8927T392.5","1013.89267747728","392.5375","9597.13083139062","18484.3955390626","69187.9095690919"
"M1015.4154T266.7","1015.41541479127","266.7075","784.828451812001","38052.6203634316","33333.7133698425"
"M1015.8453T387.3","1015.84527015483","387.335","45574.7456052243","68432.6688494466","45998.6414291992"
"M1016.8432T387.6","1016.84324014081","387.628","42320.7510036622","43796.9988847656","44989.5217872486"
"M1017.844T387.3","1017.84399906401","387.335","43943.0186224002","72888.3354682994","38060.9407299805"
"M1018.8393T387.1","1018.83928486665","387.056","192146.20894546","258411.339932862","231708.029185418"
"M1019.8428T387","1019.84280462599","387.042","76201.3727475739","78014.5740875245","79911.4378188851"
"M1020.8373T387","1020.83727382032","387.042","279477.396679276","394837.988270005","333044.716899414"
"M1021.8412T387.3","1021.84122367328","387.349","92525.3287099346","119712.204249496","76235.5424649003"
"M1022.8355T387.3","1022.83554454586","387.335","188895.158108984","226903.569291193","203003.81639891"
"M1023.8391T387.3","1023.83907489723","387.335","60787.5832513745","74056.2775722655","50891.4691915603"
"M1026.9597T393.6","1026.9597409369","393.576","0","27187.4561320313","17009.5611557008"
"M1029.6571T519.3","1029.65705414862","519.33","596.432084270318","97635.345759639","32517.3683671881"
"M1034.8542T380.6","1034.85422469688","380.566","329939.887698254","531128.350267435","393459.194040881"
"M1035.8577T380.6","1035.85773520312","380.566","111941.676575101","170302.416823925","140805.074148673"
"M1037.8556T380.6","1037.85562703099","380.558","466311.81375245","746022.561142177","620766.045298365"
"M1040.8144T393.5","1040.81439226983","393.527","76461.4116370739","68800.3506724328","235133.623872117"
"M1041.8518T380.6","1041.85177404667","380.566","435242.820134135","772910.774546796","578524.888390962"
"M1042.8124T393.7","1042.81241802139","393.668","121532.593888092","111800.711205688","74362.9040515948"
"M1042.8472T380.9","1042.84724234554","380.852","307578.453798009","548645.71942578","448743.210437895"
"M1043.8158T394.1","1043.81581821961","394.114","35826.3223526676","21690.7265850912","0"
"M1043.85T380.9","1043.84995360869","380.852","116546.083820075","198454.423449387","133133.221707485"
"M1044.8107T393.8","1044.81070149189","393.8175","70026.548574351","74026.1630105298","8188.78001220707"
"M1044.8528T379.5","1044.85278509924","379.4935","17168.4757234864","27410.6743371912","20286.7383437849"
"M1050.7765T387.3","1050.77650313646","387.335","24694.8825720111","79510.878781694","69776.7214978126"
"M1052.7748T387.3","1052.77484397395","387.335","41707.3497454832","120077.803763021","98449.2091887018"
"M1054.7733T387.6","1054.77332404806","387.628","27590.5538330078","67435.6615413552","73178.5276019529"
"M1058.3575T265.2","1058.35750848664","265.209","0","79671.7145631799","38678.9630269263"
"M1058.8343T380.1","1058.83430677205","380.1035","17712.5177015533","47590.8546973412","53049.2344431765"
"M1060.8323T380.6","1060.83230387401","380.566","45636.5331204033","68412.3892150426","71188.7530177847"
"M1062.8301T380.6","1062.83011579368","380.562","23852.9608695979","28571.4369079589","51893.0344450308"
"M1068.9402T393.1","1068.9402105681","393.132","1929.82063379531","58774.6182747394","43431.9610855714"
"M1070.9386T393.1","1070.93858747615","393.1305","1752.6868916221","108630.395909126","54523.5269200372"
"M1072.9094T387.6","1072.90943422965","387.643","47022.156722119","38405.8048225998","62436.1886856285"
"M1072.9371T393.4","1072.93714429117","393.4285","7636.89586998783","61358.855493497","39524.6355700815"
"M1074.9074T387.3","1074.9073847512","387.349","80169.0168587738","117845.677482422","78901.9111142578"
"M1076.906T387.3","1076.90604955109","387.349","45781.1850180134","64959.0983542608","45496.0038240752"
"M1080.8092T387","1080.80922119232","387.0405","130376.405633972","88393.7780342451","5327.91116780599"
"M1082.8075T387","1082.80747834528","387.0405","181638.605521168","148582.106086089","17763.2544431966"
"M1083.8101T387","1083.8101184473","387.0405","51571.5466196624","27575.547996989","1935.58432833059"
"M1084.8052T386.8","1084.80524184094","386.7505","130125.695666234","107242.876744141","11267.2082299805"
"M1092.4328T271.3","1092.43277346379","271.332","0","21002.6257502441","46371.0858480904"
"M1095.3903T261.2","1095.39033395988","261.2185","0","14183.324298877","16686.3543050632"
"M1112.9039T381.5","1112.90393468775","381.453","30356.7895041797","76188.902356875","72234.9341117581"
"M1114.9019T381.7","1114.90192459239","381.749","48747.906140625","131732.170104772","116432.642300001"
"M1117.4114T279.6","1117.41137560055","279.5985","660.398754800725","13775.2750641424","29266.9248941974"
"M1161.6339T456.4","1161.63393260225","456.4","73315.4034193222","134212.349679687","225014.082970565"
"M1162.6374T456.4","1162.63742812043","456.4","49080.3693328707","87583.1714242596","156097.711756541"
"M1163.6413T456.7","1163.64130852267","456.689","17848.1025549316","33769.0384775675","61305.0210513846"
"M1165.01T393.3","1165.00998147736","393.28","0","56610.4527148437","45181.1173233035"
"M1167.008T393.4","1167.00795043493","393.4275","0","41386.7878639322","32717.867348633"
"M1173.5824T402.4","1173.58242173107","402.4065","1765.59019200504","55869.6890258789","41462.678922763"
"M1173.7478T669.5","1173.74778453463","669.482500000002","118993.6329614","78966.7225287779","84078.6147791242"
"M1178.6243T456.7","1178.6243125129","456.692","36085.4180396863","26833.2742362233","40961.5186859778"
"M1187.5826T393.4","1187.5825947708","393.4285","3965.73434450726","75654.5588616073","31766.921296108"
"M1188.565T402.4","1188.56499765596","402.4065","5731.44280529874","91352.2454670087","50514.1032929176"
"M1189.5648T399.4","1189.56483070497","399.4135","3487.38129406869","62930.3343090552","28156.002344877"
"M1190.5653T396.1","1190.56532949276","396.1135","8578.60405494137","35597.8047836101","61011.1392865487"
"M1196.2451T694","1196.24506692096","694.0335","0","513320.90714047","101796.291876677"
