"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M796.74T645","796.74","645","38479.8","36840.7","16802.5","16635.1","18727.8","11367.9","4248.3","2362.6"
"M794.72T619.2","794.72","619.2","35585.4","32878","4998.4","5418.4","27081.7","5636.4","5720","6256"
"M792.71T593.4","792.71","593.4","3288.6","3626.3","4100.8","4127.7","5143","5111.7","3562.7","3588.8"
"M829.73T669.6","829.73","669.6","198189.4","183780.9","77806.5","75140","64016.9","48862","27258.7","23590.6"
"M822.75T645.6","822.75","645.6","224575.4","205708.9","76635.4","75204.4","112352.8","59634.6","28892.6","26191.2"
"M820.74T621","820.74","621","55423.7","50470","19237.9","19283.2","35017.3","6937.3","4415.3","3627.1"
"M818.72T597.6","818.72","597.6","3763.2","3434.3","2814.3","3741.1","5133.5","5295.8","3120.5","2523.9"
"M838.78T679.2","838.78","679.2","15721","14382.1","3563.9","3581.2","5772.8","3550","2668.4","3023.1"
"M841.73T657.6","841.73","657.6","66831.9","61202.1","23207","22859.9","22756.2","20812","5948.6","5828.5"
"M834.75T634.8","834.75","634.8","33947.2","28479.4","8730.5","4105.5","10438.2","3516.2","5287.6","5741.5"
"M857.76T693.6","857.76","693.6","160281.9","142891.1","67268.7","62463.7","42213.7","32821.1","15410.7","18929.3"
"M850.79T670.8","850.79","670.8","723882.8","645349.4","218671.5","203102","289078.9","166020.2","75766","62206.8"
"M848.77T647.4","848.77","647.4","355346.6","329802.1","108518.2","109463.1","179780.1","97190","44996.2","42819.3"
"M846.75T624.6","846.75","624.6","64237.7","61331.5","23425.8","21620.3","36756.9","10524.1","4376","4351.6"
"M864.8T680.4","864.8","680.4","46793","39422.9","13907.2","13033.9","12360.8","10333.9","2172","1960.8"
"M867.74T657.6","867.74","657.6","103483.4","86245.1","29933.7","28287.2","38446.7","30762.3","7897","7971"
"M860.77T637.8","860.77","637.8","37708.7","33397.8","10092","6653.6","12605.6","5970.8","7479.3","4584.5"
"M885.78T713.4","885.78","713.4","101428.2","90650.1","46209.4","45160","32322.2","23174.5","15786.6","11654.5"
"M878.82T693.6","878.82","693.6","405224.2","350791.7","131549","126347","150835.1","82919.6","44804.6","36443"
"M881.76T672","881.76","672","815094.3","717702.1","215435.8","205554.6","439467.2","207226.9","82267.4","74990.1"
