"","mz","rt","neg-Exp1-Blatt_K-1_1-B,1_01_8102","neg-Exp1-Blatt_K-2_1-B,2_01_8104","neg-Exp1-Blatt_K-3_1-B,3_01_8107","neg-Exp1-Blatt_K-4_1-B,4_01_8109","neg-Exp1-Blatt_K-5_1-B,5_01_8111","neg-Exp2-Blatt_K-1_1-D,1_01_8113","neg-Exp2-Blatt_K-2_1-D,2_01_8115","neg-Exp2-Blatt_K-3_1-D,3_01_8117","neg-Exp1-Blatt_P-1_1-C,1_01_8103","neg-Exp1-Blatt_P-2_1-C,2_01_8105","neg-Exp1-Blatt_P-3_1-C,3_01_8108","neg-Exp1-Blatt_P-4_1-C,4_01_8110","neg-Exp1-Blatt_P-5_1-C,5_01_8112","neg-Exp2-Blatt_P-1_1-E,1_01_8114","neg-Exp2-Blatt_P-2_1-E,2_01_8116","neg-Exp2-Blatt_P-3_1-E,3_01_8118","neg-Exp2-Blatt_P-4_1-E,4_01_8121","neg-Exp2-Blatt_P-5_1-E,5_01_8122"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M469.2073T297.8","469.2073","297.76982","20133.4092","16127.94","13008.39","14851.863","11197.3979","14274.66","14296.8588","14035.55","21686.6712","23928.3845","19319.5747","18321.8796","22271.7868","14889.2784","16398.9826","16559.8272","19779.9119","15677.3114"
"M470.0384T163.2","470.0384","163.21216","4291.2602","3014.9959","2413.511","4238.0543","2125.935","2609.246","4180.9573","2407.546","10501.7591","8437.55","7375.2504","10293.1178","8571.8556","6970.5338","9011.216","7786.2794","7103.2487","7877.5371"
"M470.0618T247.4","470.0618","247.44177","869.8406","1522.5029","1141.139","1198.7372","1313.1542","725.8844","1671.9358","887.2931","1192.9295","1260.441","1149.5745","822.4688","1415.1341","1662.7313","1495.2509","854.016","1620.4323","1445.2722"
"M470.0785T228.2","470.0785","228.15179","6976.6581","6834.9442","5322.124","6095.9264","5800.5319","6035.778","8141.5807","5368.838","5189.05","6322.0232","5805.4437","5575.2292","6476.1816","6322.6158","6406.2015","4999.1359","6457.9591","5927.1212"
"M470.1576T210.5","470.1576","210.47525","3845.012","3221.349","2256.745","2010.2456","2188.7496","2461.735","3211.5681","2481.496","3627.6096","2615.2349","2718.729","2252.4547","2051.9736","2339.1344","2917.663","2963.3333","2903.6503","3171.1095"
"M470.2108T297.8","470.2108","297.78732","4237.4826","3780.1918","3197.932","3798.9959","3033.7648","3923.877","3612.8891","3483.557","4881.1468","5740.1478","4918.8709","4757.4958","5557.3676","3437.1268","5050.6121","4421.3957","4260.0737","2883.629"
"M470.9042T20.5","470.9042","20.46279","1183.1479","1026.8311","1400.007","1354.2193","1088.7278","1010.46","1036.1295","1005.514","1405.9011","1458.1623","1376.9082","1377.1937","1095.0556","1105.9889","876.2503","1086.6388","1122.183","1278.7617"
"M471.0345T163.1","471.0345","163.13601","2871.9289","2104.6814","1713.42","2685.4238","1607.1736","1078.908","2532.2193","1792.014","6275.7601","5438.9556","4580.2211","6472.5154","4630.8869","3878.5741","5305.6629","4806.3483","4077.9712","4645.121"
"M471.0706T377","471.0706","376.95449","1814.4617","1642.9952","1678.019","1372.307","1831.582","1390.568","1314.5137","1637.362","1597.1877","1512.5559","1688.2493","1596.6096","1922.2741","1611.1355","1325.7972","1696.8989","1767.9024","1852.9814"
"M471.1086T325.2","471.1086","325.19877","1038.8961","837.3219","1276.381","1017.5521","1198.6248","1126.559","1226.0956","767.5216","1054.2108","1219.308","1327.8779","1246.1802","1266.6266","1249.706","1024.9594","1026.3718","1325.075","1228.3173"
"M471.1113T221.6","471.1113","221.57263","2981.0107","949.0661","726.1746","1308.8448","625.2404","1517.384","1835.2266","1321.722","5845.4984","4782.5003","8147.715","4125.1566","3932.9948","2305.379","3367.5115","2677.5131","2350.5852","3255.8281"
"M471.1888T386.7","471.1888","386.6607","6204.5042","6715.8593","4043.112","3780.6888","4625.9785","4359.538","5759.695","5721.673","3498.8326","3299.9825","2913.0192","2728.4147","3257.5858","3288.2849","3336.8212","3364.2935","4320.3277","3090.5215"
"M472.0132T339.8","472.0132","339.75072","1443.907","1266.1096","1463.288","1629.2367","1400.9468","1330.465","1366.7977","918.0196","1116.3679","1189.4961","1469.5142","1528.8682","1410.0803","1975.2359","1608.1286","1518.2304","1787.2801","1523.5923"
"M472.0326T190.6","472.0326","190.64324","1139.6706","1039.5661","1156.799","214.9028","892.3122","1202.087","919.3037","988.1182","1624.5844","2031.5585","1609.1375","1905.4454","2116.4817","2277.4554","2164.7097","2157.603","1105.7202","2294.6554"
"M472.9707T212","472.9707","211.98139","1197.0086","740.7035","1194.915","1060.0616","841.4947","1438.904","458.8272","1145.837","1644.1363","1954.0846","1965.5772","1547.4782","2167.3237","1698.7193","1950.5003","1810.8506","1743.4633","1943.0536"
"M473.0604T235.1","473.0604","235.05236","4319.8638","4845.3009","3921.507","4130.731","4161.3698","2574.164","3221.9203","2991.623","3442.945","3742.2035","3778.118","4256.9263","3087.1869","2690.7686","2242.5828","2710.1406","2396.9672","2401.4435"
"M473.7577T25.1","473.7577","25.07851","358.0279","444.2193","1051.268","464.7994","527.7951","781.8305","546.271","434.415","519.9234","531.0592","569.107","611.1259","656.8019","638.9717","569.7738","541.8508","684.1286","552.1137"
"M474.1489T276.5","474.1489","276.52847","1503.7034","1653.2925","1116.173","1371.5273","674.4753","1388.63","876.9967","1262.485","6104.5023","8748.7226","5840.8774","5307.2128","4957.7494","4459.0799","5338.5798","5930.9469","4320.2784","8141.5966"
"M474.8836T20.2","474.8836","20.18223","984.2027","717.1397","1053.217","981.6243","1063.5183","925.1905","981.1844","773.1846","1081.4375","1043.2086","1201.1695","1233.3192","1043.8344","1002.175","968.0841","832.93","1122.8342","939.4507"
"M475.1736T260.4","475.1736","260.40073","7066.963","7343.0018","5760.015","5965.64","6292.9735","4854.543","5162.373","6028.776","5820.2743","6353.2228","6928.3863","4771.9298","6534.314","5769.6045","6019.537","5588.2629","6076.6942","6713.8589"
"M475.1945T371.9","475.1945","371.86905","6383.4542","6241.9172","5224.168","5629.6659","4778.5623","5744.542","6714.3079","5443.006","6701.7858","6317.9497","6079.4026","5626.812","6104.0505","5782.8049","5995.3295","6545.29","6464.4013","5755.2646"
"M475.1821T288.2","475.1821","288.17865","1828.3662","2681.972","1240.73","1304.9276","1840.0927","1918.306","1817.9565","2131.129","1633.8095","1240.6731","1451.2775","1086.1238","1017.5689","1083.94","1565.6891","1109.888","2076.0375","1843.5189"
"M476.1103T339.5","476.1103","339.46184","889022.9715","797004.6744","572649.1","674500.4443","529437.428","610091.7","774417.8027","489173.4","764082.2381","685247.3397","582151.0097","635708.1654","570926.9461","870574.7077","989037.0447","814643.5148","794634.4408","627215.3354"
"M476.1765T260.4","476.1765","260.42326","2012.453","1589.4237","1689.357","1210.5095","1401.0335","1524.533","1895.758","1590.401","1649.3298","1360.5984","2041.4572","1758.5891","1847.5467","1342.3108","1542.7574","1572.3573","1808.54","1793.0741"
"M477.0659T250.2","477.0659","250.18664","405707.4107","326107.9041","210295.9","231374.4214","207432.9009","180409.6","288397.4338","208961.2","453633.906","316070.9938","559246.4057","501304.8331","401153.3307","327310.9001","328182.7397","230419.4641","241869.5225","320171.3436"
"M477.0657T212","477.0657","211.9708","284350.0867","253608.7363","261258.6","277541.4265","197605.9758","213112","260609.9223","186998.4","558793.1739","587700.7889","573162.8725","479459.1136","506444.1935","356054.5901","422980.1621","431677.2491","352615.7186","397217.0695"
"M477.0861T377.1","477.0861","377.08962","2659.6658","2753.7453","2999.235","2675.0035","3010.4734","2493.046","2917.9062","2397.662","2581.0706","2741.3747","2868.767","2311.7514","2917.9964","2355.8637","2868.1219","2608.7152","2439.5202","2871.6999"
"M477.1122T339.5","477.1122","339.46184","182139.9594","159550.1279","116147.1","137638.6246","109496.9467","126096.8","164805.333","102561.8","156991.7625","141961.5796","119399.0889","129843.443","118858.2522","182955.0069","209318.1481","172567.4939","164361.8945","128628.4535"
"M477.189T229.1","477.189","229.08177","1217.494","1229.2089","863.9336","1390.2777","1160.9831","1132.967","1161.5108","723.8343","1617.0445","1397.447","1852.5925","1826.47","1151.9356","1157.912","1645.4185","706.4746","1283.1981","1434.1464"
"M478.0683T250.2","478.0683","250.18664","87314.052","69795.6328","44366.98","49810.6569","44312.0365","37784.62","60640.4454","44850.7","96945.3043","65270.0514","118748.3244","105476.0124","84671.1614","69453.9774","68893.0114","50607.1242","51118.5799","73839.7758"
"M478.0681T212","478.0681","211.9708","61672.5341","52375.7303","55846.28","59344.7204","41543.9114","45166.42","56796.5015","39420.46","119607.7909","122136.0725","120840.4047","101065.3439","106879.6807","74955.4217","89603.2952","91676.0591","73191.2391","84214.1524"
"M478.0882T295.7","478.0882","295.73252","11049.5815","10585.9655","10111.11","10988.3518","10239.471","10180.75","11745.9393","9665.005","10394.6151","9182.4427","9517.8861","10221.3235","10677.7359","11052.1982","11192.0684","8707.0548","11131.6002","10554.4723"
"M478.0881T186.9","478.0881","186.85455","7885.2437","5603.2004","6191.38","6403.7908","5564.6618","6238.98","8852.8032","5911.494","5182.8134","3207.4786","3744.5507","2886.2438","4330.1265","3493.8891","4085.8757","3226.9476","3760.5573","3232.7977"
"M478.0882T141","478.0882","140.95993","48050.3362","44633.8269","37929.27","32102.6758","38007.5704","39854.77","45632.6589","34128.69","86595.8777","96551.3027","74916.3135","71560.5456","77703.6853","59276.8895","61411.0329","48797.9889","65765.3457","79945.443"
"M478.1075T339.5","478.1075","339.47102","146963.0017","133476.3173","94737.17","113624.7367","91099.0229","104573.8","130525.6411","83429.69","127543.1921","117127.7966","97534.6581","109528.1639","97275.1975","146954.8561","167819.163","137400.8997","133947.0971","104886.6172"
"M479.0638T250.2","479.0638","250.18664","53033.3325","41472.5168","27259.73","30031.0911","27381.5273","23488.96","37893.3588","27901.73","57153.5791","41908.2512","73166.7339","64789.5389","53158.1289","42366.5991","43674.8083","29999.66","31211.9899","41731.7991"
"M479.0638T212","479.0638","211.9708","36189.3146","31940.7144","33236.51","35378.8587","25113.217","28149","34265.6498","24290.37","70875.0596","74270.2874","72129.035","61574.1846","65672.2488","45531.5864","55049.3562","56284.623","45042.2011","50697.0105"
"M479.0911T141","479.0911","140.97992","9352.007","8715.6133","7409.878","6737.4275","7619.568","7816.55","9106.3204","7154.562","17783.962","19420.5497","15001.497","14060.5856","15901.6361","11386.6746","12116.2392","10284.07","12966.5832","15572.0485"
"M479.0939T186.8","479.0939","186.77545","1851.6479","1284.2918","1223.293","1270.3967","488.1394","1147.956","1856.4995","982.8245","1199.226","1066.5161","806.5515","946.7749","1161.4661","734.6909","617.5891","693.6503","636.2075","836.3822"
"M479.1094T339.5","479.1094","339.47102","26909.7596","24444.751","18045.88","21020.2448","16107.66","18967.01","24849.0495","15336.67","22927.4008","20513.5106","18151.4897","19475.3543","18328.6977","27341.424","30413.376","25185.253","24396.5409","19336.0551"
"M479.2489T405.8","479.2489","405.76443","1878.5653","1939.7136","1169.321","2131.2707","1270.8415","1028.169","891.545","310.341","1409.1127","1894.5453","2821.0161","2419.4309","1626.8387","1089.0174","914.457","1467.2934","893.922","974.5287"
"M480.0648T248.8","480.0648","248.83646","52848.5293","39254.4138","20238.51","28967.5266","28557.7104","23173.8","32283.796","25954.97","33535.2265","26238.0989","31334.9495","33267.9704","23685.3828","28777.633","26545.5392","24749.2723","29165.0565","25697.12"
"M480.0658T212","480.0658","211.97545","6532.1358","5365.0863","6346.773","6898.3673","4867.8783","5145.046","6283.5171","4477.636","12857.5805","13966.6692","13500.0953","11401.3224","12075.4949","8476.3616","9811.8349","10425.8442","8156.0275","9118.322"
"M480.0856T141","480.0856","140.95993","8181.4122","7857.4158","6815.647","5774.4303","5867.9777","7024.528","7887.5751","5461.662","15365.5275","16985.6261","12728.143","12323.7868","13191.7249","10106.2535","9999.6202","8095.5068","11461.0506","13476.6445"
"M480.0848T295.4","480.0848","295.44345","1686.1656","2026.6753","1271.385","1557.6363","1222.0157","1238.305","989.3723","1548.741","1807.1281","1803.7216","1773.0348","1438.0405","1305.3396","1991.2091","1885.1624","1691.4106","1490.5825","2182.6072"
"M480.0874T186.8","480.0874","186.78717","888.8559","1287.5419","1023.291","818.3867","778.5788","600.12","1388.6477","766.0672","665.1579","590.472","707.0312","652.9415","983.5611","907.0484","675.9031","586.6617","883.3718","543.5423"
"M480.1058T339.5","480.1058","339.48095","9623.5472","9076.0412","6428.583","8004.5842","6292.4298","7025.791","9000.7948","5316.519","9254.625","7855.3308","6852.2635","7239.9905","6210.1085","10232.8338","12334.4088","9622.809","8819.7525","6888.9283"
"M480.1855T222.8","480.1855","222.81425","1329.1819","2589.4722","4759.36","2402.0194","2821.8719","2828.747","3244.5515","2109.928","1155.382","1862.7448","2425.9517","2431.4027","2398.0234","1513.8378","2604.4713","1098.4706","2849.6753","1927.2965"
"M481.0666T248.9","481.0666","248.94926","12048.0315","8503.6802","4316.062","6941.888","6670.1204","5142.434","7841.5572","5106.792","7962.8439","6008.814","7736.3065","8093.5057","5860.47","6373.3448","6212.055","5337.1151","6147.7406","6032.348"
"M481.0619T212.5","481.0619","212.49894","4217.6707","4470.752","4281.6","4553.047","3576.1205","3741.91","4643.4031","4036.885","6407.8027","6205.5698","6684.3366","6301.6826","6312.6336","5558.9241","5373.1238","5985.7017","5426.8834","5583.3095"
"M481.0925T235","481.0925","235.00025","3879.6907","3883.9934","3768.501","4206.5655","4008.0987","2537.66","2671.6428","3047.605","3751.0372","3697.5142","2718.9901","3817.0903","3360.2278","2582.1863","2377.1186","2585.6519","1960.3321","2725.9538"
"M481.1178T220.2","481.1178","220.15385","971.152","1730.6794","990.5693","1359.5032","1593.9707","873.6984","1724.5172","2198.887","859.7741","1302.4688","949.4897","918.4481","934.4501","872.7758","873.2494","1182.2151","948.9377","922.3688"
"M481.1365T325.4","481.1365","325.43768","5653.4522","5962.6363","6567.972","5873.066","6126.5629","5464.624","5303.7342","6092.346","5203.0595","5273.0901","5629.3514","5313.9197","5398.361","5220.6158","4721.8754","4669.1823","4858.2199","5262.1208"
"M482.0635T248.8","482.0635","248.76202","6539.8888","4671.2842","1634.54","3031.9698","3376.6311","2568.337","3462.2522","3015.701","3064.8643","2489.6178","2808.2494","3454.372","2437.9581","2935.2313","2297.8979","2648.8297","3343.4705","2400.7901"
"M482.1398T325.3","482.1398","325.33268","1329.853","1274.2548","909.7272","1165.3728","1462.9064","1384.708","1235.2243","1407.43","1344.7742","816.1647","1136.9088","1147.2744","1145.8614","691.3455","811.7833","992.682","1288.8758","1300.5474"
"M482.9092T22.5","482.9092","22.48101","777.1904","1043.8199","1249.291","1111.7444","926.6644","999.1083","1011.1114","1002.659","624.0998","536.8941","567.5206","684.4514","587.1937","907.12","971.9841","756.378","652.4368","516.6463"
"M484.0757T295.4","484.0757","295.39905","7529.0104","6427.3971","5354.53","5286.493","5297.4564","4758.748","7103.6799","5210.271","5273.6942","5641.7094","5024.7801","5540.8651","5104.4526","6163.0938","6324.4408","5381.3159","6948.1078","6039.6102"
"M484.1468T161.3","484.1468","161.26092","8576.5171","9583.3019","6620.592","6027.8117","7110.5876","6582.378","5735.0056","7000.783","6668.2759","6198.8409","9119.7665","5806.992","7547.9863","6124.9308","8424.6997","8658.1636","9253.4738","9184.6893"
"M485.0793T295.4","485.0793","295.44415","1376.7266","1040.0665","867.4472","1103.1309","1016.0221","958.525","1377.0215","754.7105","926.852","1116.4911","1244.6635","1264.3611","1166.1166","1413.1807","1007.0022","889.0729","1036.2759","667.0588"
"M485.1625T467.1","485.1625","467.12933","3940.5953","6330.7762","4257.549","5662.5321","4166.7912","2715.139","2246.1494","2275.875","3367.5644","0","3049.0076","3306.561","3113.2546","1273.4896","2576.9545","3941.8488","1805.517","1354.3869"
"M485.2769T579.6","485.2769","579.59719","8135.5131","6937.3149","5009.337","4478.9072","4858.3239","5418.417","6413.8039","8488.771","14272.0891","0","9965.7136","9232.185","10617.7112","6723.7983","11088.4086","9439.2779","10221.4667","8214.0129"
"M486.1623T187.1","486.1623","187.07338","4286.2778","4420.4849","2160.796","2234.3557","2601.7202","2453.598","3387.2869","3519.655","3405.7447","3007.8591","2739.9587","1202.2901","2583.7103","2869.8141","2641.6002","2420.0574","3295.6797","4109.7712"
"M486.2803T579.4","486.2803","579.43748","1775.1281","1846.1453","1158.676","1316.3245","1281.4146","1550.603","855.9662","2213.506","3877.7054","0","2605.5693","2338.3618","2841.383","1824.9339","2929.3583","2115.4933","2677.1774","2220.2404"
"M486.8827T20.7","486.8827","20.72792","996.9047","1085.9592","1432.973","1251.4024","989.2826","1177.685","955.6677","845.4288","1265.5826","934.6751","1320.3771","1516.5582","1204.1606","1398.7282","1085.876","828.414","1485.0212","1012.7708"
"M487.0354T43","487.0354","43.00686","5298.265","2543.0506","2128.88","2374.5284","2114.6839","2125.782","2719.3542","2926.613","15510.0571","19206.3231","7159.8422","3432.5024","6277.0307","6700.758","7645.8939","7002.8966","5139.0325","8989.4293"
"M487.1253T354.3","487.1253","354.28297","9153.0235","7377.0471","4441.316","5245.8866","5017.9262","3890.505","5133.1329","4486.221","12082.0826","10427.8907","7943.1329","8165.414","8037.2452","7163.2597","8434.9512","8324.2162","7743.7391","8778.9592"
"M488.0344T131.1","488.0344","131.0885","224740.5552","211302.3475","174662.2","196566.9025","170239.8155","181170.4","206472.0006","171145.3","184375.8965","101495.3401","159392.7924","189040.6269","176262.9871","186476.6713","185390.109","186219.5681","187929.2568","161927.5501"
"M488.1288T354.1","488.1288","354.14088","2075.805","1530.1898","1420.835","967.2568","1270.4375","1036.963","1200.4834","1276.855","3359.4199","2918.125","1891.8456","2182.3709","1740.69","1665.719","2229.6051","1699.221","2134.08","2661.615"
"M489.0358T132.3","489.0358","132.29598","23184.7335","37424.9331","32027.74","16345.4467","31551.2641","32483.7","36914.1317","31814.77","33938.3169","32350.9891","28969.076","32880.2559","32902.6672","32819.117","34096.8172","34503.8074","34784.6036","29283.4752"
"M489.151T291.6","489.151","291.57364","6436.0314","5585.9544","5251.003","5365.422","3685.8842","5251.31","5128.1873","5259.034","4110.8805","4564.037","5284.849","4566.5798","6083.04","4661.631","4044.3541","4926.7446","6364.7955","4795.1484"
"M490.0466T193.5","490.0466","193.5024","4947.7156","4075.5669","2585.913","2837.993","3061.2788","3204.199","4376.5544","2937.867","4205.435","4087.4031","3853.249","3699.2219","4162.4564","3747.7481","3666.3419","3285.4132","2487.4294","3148.326"
"M490.03T131.3","490.03","131.30846","19841.883","39458.4723","31510.73","19088.141","32075.1068","33239.85","38965.6465","32802.43","33820.4883","32975.5167","29230.0924","35677.4309","31245.9847","34168.6215","33903.8662","36052.0056","34023.1515","30115.1694"
"M490.125T382.7","490.125","382.70437","1226.4371","965.5626","680.8709","1021.3811","398.2161","826.8545","618.2719","410.4154","605.2341","543.3768","735.0065","673.9947","530.932","980.1225","1466.5826","1046.7739","1135.6212","663.7575"
"M491.2128T234.8","491.2128","234.84099","1691.2785","1627.3315","838.6863","1159.7782","1084.4117","747.1942","1035.7315","858.9234","1489.2145","1450.0219","891.9419","792.7635","1210.3679","693.0008","887.7009","787.3935","1079.2522","1137.8045"
"M492.1041T227.1","492.1041","227.14436","4062.333","4429.296","2776.287","3684.4165","2480.244","3096.19","4769.0019","3045.986","4031.4417","2970.0466","2731.365","2286.8001","3106.5525","2384.3702","2782.0696","2953.7025","2621.8737","2719.9516"
"M492.1054T190.6","492.1054","190.63019","219309.2935","193279.0727","174582.8","174907.7435","154178.9865","183964.5","200905.682","135340.2","649090.1407","655549.2437","495807.113","488972.6529","488749.9195","443949.6842","519636.7037","401810.4229","443480.3173","527341.4314"
"M492.1038T340.1","492.1038","340.14319","23979.7378","24045.4312","21809.67","22356.7966","22274.7945","21930.34","22802.0718","20374.37","23864.699","21135.755","20851.2854","21400.2778","20590.0089","24392.4699","24198.4395","24106.0707","23108.9191","21156.762"
"M493.0525T376.9","493.0525","376.93156","1157.6805","953.4604","1166.824","1331.1102","1373.3942","1033.824","1186.7205","1416.669","1331.8489","1083.8455","964.1601","1181.1764","961.2225","1072.6446","1265.6264","1055.2256","1216.615","876.6824"
"M493.1072T190.6","493.1072","190.63019","46101.8953","40511.1776","37383.88","37094.2878","33184.9207","38725.18","42512.9455","29582.81","134147.1363","135751.3523","102712.9975","100484.8059","101571.4949","93092.1871","108766.5877","83355.456","91568.8064","108434.855"
"M493.222T493.4","493.222","493.38932","6090.0081","3063.9355","1595.368","991.3743","2437.8968","2108.36","2485.4877","2025.787","4744.1354","0","4185.0736","3226.8924","3714.1015","4257.4896","2896.9408","2039.9216","2142.9225","2702.7025"
"M494.0806T281.6","494.0806","281.60699","77474.5924","60782.0438","30962.49","41228.7025","40427.9347","35829.27","47102.454","41569.65","44663.0867","32551.9298","32126.796","40498.495","25559.44","34869.9199","32197.1966","33089.026","32485.2751","33554.9293"
"M494.1028T190.6","494.1028","190.62316","36599.7635","31170.9097","28911.3","29032.3846","26347.808","31000.85","35483.9758","24350.9","108559.0161","112791.273","83237.0047","82545.0198","85054.6749","76526.3066","90945.7001","67294.7869","77923.2162","90476.3081"
"M494.1666T364.1","494.1666","364.08357","4650.4778","4588.0011","4638.889","3365.0554","4093.0394","4348.773","3618.8029","3989.338","6552.8643","7608.9874","6991.4894","3838.1423","5889.667","5603.6477","6140.4817","4843.7698","6786.2065","7754.5005"
"M495.0836T281.6","495.0836","281.58878","16708.8296","12858.9143","7196.187","9806.7731","9283.4162","8113.037","10096.4871","9179.125","10506.7207","7423.3405","6881.2514","8794.9263","5573.2768","8278.7729","7461.2538","7377.5097","7476.6011","7486.4208"
"M495.1053T190.6","495.1053","190.64324","6638.537","5877.9265","5055.337","5613.472","4907.904","5391.189","6701.8471","4224.445","19985.6171","20464.227","15369.4787","15204.0402","15657.8117","13584.8896","15713.5705","12902.2793","13652.7073","16729.7576"
"M496.0797T281.6","496.0797","281.58242","10163.8958","7797.6408","3943.561","5505.6797","5468.5256","4897.571","6380.4498","5460.467","5433.8272","3581.4093","4194.6487","5048.9729","2713.9288","4590.4649","3866.2274","4400.2132","4139.8507","3915.53"
"M496.1025T190.6","496.1025","190.63019","2444.0314","1684.3235","2065.901","1591.3666","1786.3535","1710.387","2388.7068","1149.613","7690.2121","7970.9914","6030.3188","5849.8364","5788.893","5342.7803","6716.9769","4877.7094","5267.838","6524.7938"
"M498.0916T339.5","498.0916","339.45709","17187.5288","15436.4035","12977.17","15174.3159","12516.6872","13917.28","17442.2847","11698.51","15122.1934","13636.3685","12847.984","14770.8857","12559.5238","18793.2623","20156.7167","17807.3819","17130.1827","14456.6246"
"M498.1251T161.4","498.1251","161.41765","1822.8945","1400.9056","1041.159","766.7342","1198.9724","1380","856.838","1396.155","2250.2813","1651.8634","1828.9428","1224.408","1937.9685","696.6815","1588.7678","2089.1808","2177.2909","2074.7977"
"M498.1625T230.6","498.1625","230.64358","14236.0477","12848.8565","9464.484","7788.2995","8323.9185","9926.946","11448.268","9892.594","15191.0376","14584.7744","12612.0562","8298.9036","10490.3665","10953.6533","13433.5215","14189.8374","13216.4232","13508.4622"
"M498.1623T289.8","498.1623","289.78705","150572.8717","154655.1265","94742.73","78480.8334","113208.0568","79248.47","115962.6885","113560.5","110876.8195","95007.3285","90161.8549","94299.7556","82171.4729","92349.3273","85908.7832","82038.7307","92281.692","104407.7154"
"M499.0469T212.1","499.0469","212.08277","27641.8896","26121.99","27102.42","29815.9212","23461.0624","24475.16","29174.2465","22249.89","45251.7456","44519.4673","47183.8106","43791.3828","45839.9255","35803.522","40740.809","41908.5871","35457.0895","38467.6745"
"M499.0471T250.2","499.0471","250.18664","8402.0677","7186.2764","5457.944","5957.1914","5577.7298","4696.065","6657.911","5562.722","8770.1717","6896.7426","11310.5008","10941.1453","9131.8026","8000.3723","7913.5582","5900.9492","5750.0817","7901.633"
"M499.0945T339.5","499.0945","339.5462","3172.9065","2788.4183","2380.013","2853.515","2537.3914","2886.128","3252.0682","2083.417","2989.8526","2865.5936","2651.7028","2959.4803","2586.7234","3938.1654","4325.5912","3750.7942","3422.1293","2455.1443"
"M499.0947T220.5","499.0947","220.5486","2796.0147","3241.7697","2886.241","1902.2048","3337.4171","2733.196","3195.689","3097.876","2276.5419","2016.2932","3101.6673","1928.297","2026.2864","2342.1528","2094.1385","2010.9381","2334.8335","2763.6336"
"M499.178T225.5","499.178","225.51032","10040.9214","9960.7065","6886.398","7590.528","7340.1453","8137.075","9599.0024","8337.754","9403.7343","4763.4","9022.7795","10460.9428","10885.5869","7325.1969","8615.0075","8433.9157","9210.2122","7556.0997"
"M499.1649T289.8","499.1649","289.78229","37611.1593","39457.7384","24114.94","20479.4808","30368.5761","20876.36","30491.2743","30300.81","27201.2966","24514.7604","22811.6138","23663.1971","21015.5025","23427.9326","22018.956","21083.87","24015.4024","27253.8261"
"M499.1785T258.9","499.1785","258.90295","3967.5503","3389.1034","3120.6","3456.2093","3325.2851","3305.311","3513.7524","3208.813","3700.4283","4209.2006","3432.4779","4035.2502","4274.7578","2656.2627","3235.4157","3157.9568","3392.5203","2905.519"
"M499.2546T416.3","499.2546","416.31763","1876.492","917.4335","1269.042","2355.8812","886.3621","1178.787","757.6429","820.7323","2907.0794","2957.8038","3268.2109","4854.8715","3375.731","1892.279","3062.6914","3112.2214","2037.7408","2153.076"
"M500.0041T131","500.0041","130.96106","13915.9731","9198.299","3937.565","5824.7522","3606.4645","5547.251","10448.3917","4485.017","4647.9497","5447.6223","2743.1774","6321.5231","4560.8084","5468.3002","6378.3738","5102.188","6266.1317","3566.43"
"M500.0498T212.1","500.0498","212.08277","6142.2102","5877.4304","5851.62","6575.6047","5233.6351","4703.885","6097.3805","4803.484","9764.2537","10570.8514","10407.5612","9626.0342","9712.605","7509.1454","9112.0975","9035.6808","7746.8923","8599.5245"
"M500.0495T250.1","500.0495","250.13849","2031.0198","1307.3561","1204.088","1323.181","757.5984","1112.223","805.2178","1389.849","852.8347","1502.2283","2476.7074","2502.6891","1844.8114","1470.4544","1335.5002","1240.7891","936.5502","1841.5081"
"M500.0891T339.7","500.0891","339.71122","2482.3474","2675.4263","2210.677","2545.2388","1800.8477","2407.274","2660.1954","1666.045","2464.7497","2306.4801","1599.2916","1737.8297","1183.3118","3247.1361","3584.254","2792.8486","2577.4285","2559.915"
"M500.0975T37.6","500.0975","37.63385","2440.6789","1355.1519","2479.071","1489.3871","2278.13","3898.948","3784.331","1422.241","1371.3129","2194.2088","3705.043","4396.4577","1982.4988","830.9042","279.6831","730.2086","4975.7608","3766.1537"
"M500.1661T289.8","500.1661","289.78229","8771.4023","8977.5426","4878.891","4396.4153","6187.8561","4551.417","5727.1955","6771.59","5863.3499","5188.9819","4975.8475","5351.5329","4395.1289","5130.4617","4961.9895","4383.3365","5247.6842","6021.7016"
"M500.1565T308.9","500.1565","308.8942","8895.779","8459.9461","4866.715","5163.1381","6490.721","4248.633","6205.0624","6840.752","7119.4038","7057.3491","7816.1587","7277.2009","7796.4289","5609.1565","5489.8293","5165.7006","6647.6592","7421.353"
"M500.1394T58.1","500.1394","58.12364","6433.8213","5387.8341","4302.625","4319.1512","3534.3482","3941.635","5132.1421","4026.914","10749.3365","8330.9577","10025.5623","7400.8813","7305.7663","5011.985","7900.1177","7210.6516","5283.1803","5473.3774"
