"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M540.3741T863.6","540.3741","863.5571","356.7511","213.451","382.7816","407.1434","119.5209","334.0579","217.2544","200.2345","130.4861","167.5295","8979.25","8649.184","12142.42","12860.39","11640.3","958.7894","4006.717","5077.903","6127.455","4695.165"
"M540.6673T183.8","540.6673","183.778945","565.0521","235.6108","265.5205","433.1358","108.42","189.57","152.1504","170.5019","194.8962","168.468","1612.967","1467.629","1328.594","1756.221","1310.384","855.4273","1074.353","841.2635","934.3251","933.4606"
"M540.6929T194.5","540.6929","194.488107","325.8784","55.06875","134.1675","209.595","58.7136","119.4825","158.5312","86.44125","84.3755","113.0904","1001.284","1071.365","631.009","1063.107","1047.46","519.602","540.3412","719.945","721.9104","347.9448"
"M541.1397T271.1","541.1397","271.06159","2370.761","2061.383","1606.728","1655.99","950.1985","1443.02","1906.19","1790.431","1405.404","1141.246","1885.687","1942.618","1056.095","1198.197","1164.497","1511.666","1395.628","1552.372","1327.762","1292.173"
"M541.164T180.9","541.164","180.870581","6238.121","4307.777","4320.339","4533.259","1894.514","3755.002","4348.455","4080.895","3321.982","3377.7","9683.068","9144.191","8428.903","9598.003","8740.963","7760.72","8108.563","9031.421","8835.827","8996.901"
"M541.1794T289.9","541.1794","289.902714","5263.925","4540.963","2297.888","2739.486","1009.122","2515.842","2487.508","2495.613","1413.746","1630.722","16449.72","5693.683","12516.34","11516.34","10559.77","2883.638","3942.807","5133.199","4721.131","5050.767"
"M541.1825T275.8","541.1825","275.795252","2006.123","1533.247","1082.847","1236.618","412.4686","1006.59","976.6814","920.5101","206.1648","269.2455","7553.705","4964.635","5465.524","4791.266","4169.688","3496.524","1932.473","4330.168","4393.977","3880.845"
"M541.6391T271.2","541.6391","271.165423","1443.713","887.292","1022.714","880.8263","466.3083","853.6824","772.8908","805.644","811.7569","486.1135","1220.608","948.7446","275.3438","845.3128","675.2998","550.9971","520.0824","718.6821","752.7708","903.3888"
"M541.6648T180.7","541.6648","180.730405","2515.348","1644.136","1448.158","1635.2","649.894","1245.385","1533.893","1079.353","1261.052","1189.475","4376.498","4998.996","4664.118","4113.252","4897.149","4043.869","4184.835","4537.17","3963.058","4623.567"
"M541.6829T275.7","541.6829","275.74692","774.387","636.4295","692.8996","657.3233","155.8077","302.0677","181.5872","492.492","91.06316","75.06794","4261.865","3097.737","2414.581","2022.152","2326.264","1890.51","1297.954","2555.887","2460.634","1803.438"
"M542.0734T243.6","542.0734","243.628839","6715.241","5580.06","5561.709","5884.02","4072.988","5759.035","3938.097","4391.821","4936.598","4814.515","4613.872","7119.238","3070.881","7070.847","7299.24","6689.959","5475.747","5362.975","6170.93","5742.821"
"M542.1373T271.5","542.1373","271.522228","513.3536","574.6988","424.6728","380.304","154.1232","337.8815","265.1643","303.9096","270.028","319.5888","1236.569","1262.009","1428.742","645.9552","1227.478","450.9535","1126.694","505.8203","866.3371","771.2832"
