"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M211.0374T95.7","211.0374","95.707151","7576.091","6012.823","5639.666","6654.147","3578.194","5377.57","5852.326","5896.312","5398.012","5193.202","29871.06","31934.12","24261.8","20452.35","16362.25","17574.29","16022.04","24681.76","21785.66","16749.16"
"M211.063T38.1","211.063","38.080093","2603.733","2580.892","1879.984","2368.929","1409.654","1356.952","2526.414","2250.581","1548.266","1907.038","3591.031","2151.723","2610.884","2269.601","2390.391","2183.167","2590.035","2222.775","1653.647","1847.985"
"M211.0946T267.2","211.0946","267.235147","1305.404","1673.38","1815.526","1506.204","763.8528","1690.098","2013.377","2583.95","1182.946","1368.194","2857.63","2874.991","2513.676","4019.687","3294.33","2899.839","3526.819","2919.543","5595.327","6128.566"
"M211.0931T313.2","211.0931","313.192885","2587.877","3637.662","1740.333","1466.412","1462.397","2502.084","2049.863","1889.429","1469.107","1293.344","4058.248","2491.894","3100.145","3771.994","3984.228","2425.454","2233.55","1394.625","2532.816","2946.077"
"M211.0958T195.4","211.0958","195.391564","958.0376","1062.617","1065.064","933.4987","598.0501","589.0687","494.8657","1079.078","814.1549","749.8121","5813.881","4982.463","4895.912","5232.211","4659.869","4318.802","4565.306","4267.431","4123.963","3253.601"
"M211.56T181.3","211.56","181.311061","50691.08","43505.46","45955.24","47410.65","35527.19","43239.11","44298.53","45056.67","41282.56","40525.01","38837.14","64172.31","41600.14","65617.7","66176.16","67810.04","63491.94","66407.73","65582.29","68076.31"
"M212.0473T531.6","212.0473","531.571443","3671.284","4464.732","3531.918","4222.983","3294.236","3888.85","3383.38","3303.104","3909.961","3919.746","3601.644","4522.824","3965.406","4455.228","4005.474","4117.254","3797.207","4426.91","4530.203","3641.659"
"M212.0618T180.9","212.0618","180.856206","10736.57","8990.415","9651.382","9226.09","7356.977","8765.279","9299.845","8621.672","7773.753","7939.267","8399.068","9354.612","12628.54","11497.04","9161.088","13297.56","14570.31","13267.8","12381.2","14513.78"
"M212.0677T441.3","212.0677","441.297962","3764.344","3397.637","3770.723","4137.498","1129.993","2992.37","2863.81","2729.393","1535.975","1647.265","1623.996","1468.867","277.6384","1712.735","1408.01","2279.684","2680.371","1022.334","2807.933","2114.357"
"M212.0906T493.2","212.0906","493.228904","4083.821","3089.262","3589.21","3223.362","3359.861","3084.568","2855.471","3078.7","1285.429","1302.492","1695.943","1140.423","1317.432","2535.271","1575.458","1360.087","2078.017","1087.781","1353.821","1802.512"
"M212.0881T267.3","212.0881","267.347136","784.7102","797.5571","479.2219","617.2063","523.6953","572.3056","671.7633","1025.812","710.2344","459.7803","1309.975","1397.356","1164.787","1586.438","1352.414","955.764","1284.227","992.0536","2127.317","2412.238"
"M212.1127T35.5","212.1127","35.512493","2309.394","1675.855","3917.988","2696.401","1775.047","3261.815","2416.332","1863.609","2420.035","2762.836","19223.38","19931.2","18391.06","3833.663","15394.05","17874.5","36524.13","16584.01","24808.78","18535.21"
"M212.8458T23.4","212.8458","23.417625","32059.58","32511.85","35287.03","33460.97","20614.64","32717.53","29011.55","35186.75","31584.57","32715.09","12344.09","7920.02","11094.05","9048.039","6043.037","15625.11","15880.19","6888.617","12485.01","9921.78"
"M213.0343T485","213.0343","484.964432","459.8845","557.0729","1058.465","941.941","207.4553","910.2534","990.9159","745.596","560.5073","527.3658","547.2516","729.0953","527.2065","874.1909","1345.277","1542.055","1750.828","1067.392","2282.204","2659.044"
"M213.0417T226.3","213.0417","226.256766","1312.937","1657.105","1419.711","1472.681","912.9641","1267.897","1251.446","1349.541","831.1471","1084.052","2569.747","2151.149","2403.509","3118.159","2619.966","2135.808","2323.427","2034.659","2055.31","1314.054"
"M213.048T153.9","213.048","153.910755","2576.48","991.6821","2162.592","2436.545","1485.202","1918.834","1829.876","2049.474","1589.66","1479.08","4229.275","4622.474","5009.571","4619.693","3438.433","4025.513","4333.396","4171.008","3957.252","3733.823"
"M213.0753T23.4","213.0753","23.417625","649.9143","766.5548","643.834","848.3247","485.5223","845.4647","765.0161","713.8342","624.5179","704.1562","2025.171","6208.196","4406.323","11948.3","7222.312","722.7775","1714.046","1239.408","1822.492","1933.331"
"M213.0912T260.3","213.0912","260.317067","1503.579","1057.809","1976.58","1198.405","1170.207","1659.853","1424.872","1298.705","1048.466","940.6366","9992.518","7404.865","10520","7022.094","7491.425","4805.508","7728.737","4269.299","6954.845","8590.916"
"M213.1092T309","213.1092","309.04182","453.73","395.6805","363.733","294.2812","297.6381","240.5436","322.6417","333.625","297.6177","306.981","8948.392","8558.738","15178.74","571.9618","12117.47","2138.868","7897.951","5732.897","6612.152","11895.65"
"M213.5393T299.9","213.5393","299.851336","1195.461","632.172","1026.973","1233.436","317.317","773.6184","952.0043","674.9487","712.9707","469.3308","2645.353","2051.465","2566.428","2336.621","2817.708","1144.244","1667.806","589.6479","1959.975","1654.488"
"M213.8474T25.2","213.8474","25.218958","1932.878","1694.783","1320.055","1914.184","1006.168","932.4666","1778.772","1549.618","1195.248","1475.509","630.0367","462.1606","489.8802","619.6535","525.5759","838.5678","663.8292","804.0917","460.6132","631.9293"
"M214.0372T321","214.0372","321.014362","604.7248","321.5224","597.9307","797.9712","293.4102","468.708","289.8984","261.876","391.0573","246.1968","3166.463","2776.968","2628.045","1831.637","2781.436","1325.589","2319.479","2365.891","2362.559","3553.436"
"M214.0584T221.6","214.0584","221.582948","9443.781","6652.444","11181.77","8421.578","5465.917","7716.301","7723.319","8174.166","6446.03","6161.926","18871.43","19605.77","21947.84","18831.69","20922.51","8810.542","12291.56","8723.554","14495.27","15220.39"
"M214.0836T493","214.0836","493.01128","140198.9","95927.25","125744.3","121098.7","99420.52","87582.1","94699.28","97483.68","52235.14","52763.41","45795.84","35478.19","47736.36","81565.92","62059.8","54613.49","82578.82","31719.99","40967.68","62316.41"
"M214.1226T138.2","214.1226","138.234884","1826.246","2387.407","2135.8","1669.635","682.0366","2027.109","1768.732","1778.11","1062.364","1333.22","7032.359","6828.45","7474.308","6320.442","6844.629","5836.641","5194.108","5251.42","5601.674","6581.027"
"M214.1789T247","214.1789","246.958044","150.4235","86.086","54.73227","78.396","24.69133","32.03469","30.021","109.4645","45.036","34.03042","1702.125","597.1407","1175.103","1082.172","516.5817","1070.736","1327.508","1540.508","887.9757","994.2273"
"M214.5589T221.6","214.5589","221.634466","2322.987","2390.572","3466.463","2755.145","1358.636","2496.16","2819.027","2696.577","1766.512","1653.038","6164.774","5678.717","6671.213","5441.799","6590.909","2445.286","3926.318","2709.499","4566.684","4340.002"
"M214.5727T339.7","214.5727","339.708564","647.9622","550.1494","754.8617","824.9221","182.8911","700.1005","352.0083","600.8651","242.944","234.9178","4188.662","2918.806","2952.36","811.607","2776.219","1953.735","4253.763","2219.651","2918.789","3941.484"
"M214.8433T23.4","214.8433","23.391029","6235.112","7968.763","7489.695","9083.816","7292.944","8439.915","9042.571","8847.331","8681.521","8048.115","2242.541","920.4825","2216.338","2175.607","1279.268","4433.095","3692.707","3676.211","3729.078","2005.212"
"M215.0211T167.7","215.0211","167.725792","60298.53","59721.66","51529.72","57391.86","36474.1","64379.75","66423.1","66789.64","58940.78","60059.76","7101.478","5626.919","6514.722","6426.47","5181.142","30014.66","25346.83","20012.38","19799.61","10523.08"
"M215.0393T238.6","215.0393","238.610023","3318.982","5575.866","5663.223","4819.281","3652.169","4580.662","5008.696","4420.283","6155.799","6125.397","557.8907","573.6755","433.3874","788.9456","576.1817","3297.615","2853.551","4214.26","2244.178","2450.142"
"M215.0437T198.3","215.0437","198.271602","4181.427","1246.503","2415.954","2653.925","1144.231","1494.896","1994.005","1897.395","1785.99","1009.528","6746.323","6716.225","8295.136","8349.72","6567.6","6680.674","6670.476","5594.806","4783.535","4194.019"
"M215.0314T271","215.0314","270.997564","1686.591","1614.421","1307.087","3278.462","761.9995","187.427","1004.019","1054.737","901.7208","786.472","69843.54","67777.91","76807.28","29058.29","78767.95","45106.52","105252.9","53284.29","72373.39","69846.95"
"M215.0562T194.9","215.0562","194.88465","3616.891","2962.361","3152.854","4673.2","1746.062","3091.692","2069.047","2623.811","2633.298","1605.204","7766.472","7683.128","8041.794","6515.37","7441.338","8349.757","8224.279","7675.59","7363.183","8120.477"
"M215.0876T146.2","215.0876","146.249754","5559.443","5426.596","3064.964","4980.972","1320.595","1440.462","3775.685","3950.462","2736.649","2793.092","1779.234","1100.037","1890.439","756.7992","1333.116","1670.797","1623.747","1448.7","1349.37","1274.869"
"M215.0862T492.7","215.0862","492.7269","19071.85","12218.3","15905.81","16163.59","12855.79","11144.24","12121.09","11676.13","6101.307","5863.975","6082.939","2868.419","6059.57","10695.55","7572.507","6907.855","10943.62","3802.132","4972.704","7078.299"
"M215.1061T255.5","215.1061","255.475311","793.1506","625.3351","425.8348","534.6801","218.883","264.5949","244.6088","547.8231","308.6092","280.6373","7265.745","7517.518","10262.25","2914.336","8310.153","2467.131","3300.93","2241.836","5786.124","6650.689"
"M215.1373T37.7","215.1373","37.683923","3088.752","2651.611","2523.35","2899.563","1058.472","2721.507","2603.609","2520.282","2378.154","2114.02","1874.217","1484.023","1554.887","1609.085","1342.346","1802.632","1417.42","1693.323","1855.938","1036.136"
"M215.5224T167.8","215.5224","167.802232","9746.737","9994.371","8439.162","9256.138","6495.749","10447.13","11313.04","10913.57","9843.869","9747.376","1234.987","864.8156","1337.261","476.1695","838.9025","4359.191","4408.551","2769.495","3143.055","1489.524"
"M215.5728T343.4","215.5728","343.39181","297.705","214.6012","168.8195","318.9891","78.42244","212.1458","213.9507","186.8753","184.5394","244.2227","2583.398","2801.719","5414.301","544.83","3093.696","746.5149","665.2614","1258.673","1088.261","1392.256"
"M215.8451T24.7","215.8451","24.726763","958.201","767.6863","624.5851","905.8625","401.0499","863.1107","822.5342","671.7361","382.2839","421.4775","263.8539","198.2317","247.9143","229.5627","180.522","409.9411","433.3594","256.6015","392.0171","173.4884"
"M216.0354T167.8","216.0354","167.802232","15820.25","15880.33","14205.99","13158.52","10816.59","16824.68","16925.91","17829.92","15914.71","16288.38","2047.97","1251.598","2117.986","1850.402","964.1353","7798.318","7002.789","5235.896","5954.377","2528.354"
"M216.0342T271","216.0342","270.997564","314.9677","174.8457","286.652","506.1091","123.4413","138.4336","126.787","184.8578","124.7757","86.08815","7040.209","7487.02","7765.411","2839.999","8333.724","5052.354","11058.9","6314.132","8475.602","7731.514"
"M216.0879T189.2","216.0879","189.160395","290376.8","303249.9","305836.4","306330","315742.2","307677.1","304845.2","299379.2","293162.3","288907.2","268990.7","276021.4","279335.1","277995.7","276864.2","287716.3","278421.1","280609.3","277192.5","273694.5"
"M216.0874T569.1","216.0874","569.132246","4874.911","3197.548","4223.544","4187.385","1370.095","4273.671","2553.702","2884.498","1493.719","821.6186","475.7136","336.3618","369.9624","468.7728","377.7136","830.7789","932.2074","349.9464","450.6936","293.6086"
"M216.1417T379.2","216.1417","379.234111","577.0242","514.3649","698.8725","601.2013","259.9211","554.8267","551.9785","702.8952","410.4756","469.5018","1279.211","1162.369","879.5278","1272.329","929.4096","2290.831","1829.334","2463.523","2772.933","3323.134"
"M216.5799T266.8","216.5799","266.848511","197.8571","98.0952","98.45223","69.72837","101.1154","123.4531","118.4483","108.1306","111.0983","52.38866","2803.411","2453.941","5066.434","920.736","3226.913","919.3229","406.992","3317.068","744.865","1315.502"
"M216.6122T560.9","216.6122","560.918579","3533.914","3459.353","2653.362","1751.7","1024.661","832.148","1441.26","1394.775","538.6797","493.765","5210.165","3118.766","4425.158","4875.866","4933.307","837.2642","692.9414","941.2737","1330.684","786.7518"
"M216.951T20.9","216.951","20.917307","1807.821","1552.461","1910.108","1766.674","614.3722","1916.597","1485.655","1681.102","1561.45","1354.294","1057.324","1074.34","945.3503","1045.044","1389.352","1221.525","1051.903","1093.268","867.396","479.4189"
"M217.0504T346.1","217.0504","346.133008","7560.547","4736.526","5452.658","6404.896","1965.72","4065.061","5245.758","5841.243","3105.816","3069.89","5120.512","4291.44","2233.116","8199.254","5928.26","5134.782","3112.287","5903.499","7673.467","10041.79"
"M217.0636T210.8","217.0636","210.767925","1704.151","2260.517","2227.638","2302.507","890.4831","2081.73","1768.732","2279.863","1401.292","1603.1","2174.738","2099.888","1911.194","1535.227","2360.361","2033.959","2322.119","2367.428","1613.736","1640.627"
"M217.0677T35.7","217.0677","35.660956","3770.306","2660.118","6974.525","5336.524","3593.866","5456.117","2082.061","2051.021","4381.684","4427.924","18331.31","18865.5","20983.59","6322.436","21235.21","25012.72","29555.42","17590.45","31513.15","37332.83"
"M217.0894T188.9","217.0894","188.894833","31065.31","42226.49","42955.88","35357","41515.47","41645.05","41896.59","41656.28","39818.23","38665.64","8607.842","36081.29","36301.67","34781.42","36047.32","36664.24","35634.3","36169.91","36122.53","35443.41"
"M217.5418T198.1","217.5418","198.050542","12275.48","5284.173","9461.924","12769.54","3302.256","5465.854","4751.427","4935.719","3263.927","3973.303","25996.5","27968.75","28507.85","28330.75","29045.57","19014.87","22072.45","21929.99","22410.69","20714.56"
"M217.5765T187.5","217.5765","187.523108","1990.141","1477.422","1051.01","1628.977","839.839","1282.217","1100.456","1337.902","665.3693","547.0514","536.8697","482.5784","488.488","764.5831","587.4696","720.1704","445.356","670.4033","196.5493","332.2988"
"M218.0444T164.1","218.0444","164.131468","16900.22","13718.88","14707.03","14252.34","9337.085","11893.82","12322.98","11731.73","10942.14","11506.71","48510.1","45077.6","37833.92","34491.83","29690.6","37352.28","32613.44","39852.13","37245.13","32455.98"
"M218.0439T198.1","218.0439","198.144331","2627.029","1010.712","1342.675","3125.498","1028.573","1083.019","1213.538","739.0717","792.4295","906.8025","5643.8","5541.828","6095.031","4731.188","5837.877","3625.898","4512.941","4223.919","4701.481","4710.697"
"M218.0423T23.7","218.0423","23.720858","1032.292","479.067","491.2985","752.9764","454.8678","267.7357","386.8719","897.5096","620.5279","572.8609","338.505","912.1388","997.2846","420.0155","626.0137","703.7136","627.5363","990.3685","755.604","1100.258"
"M218.0931T189.1","218.0931","189.126188","2134.615","2702.255","2461.878","2807.004","3334.853","2641.425","2866.379","2771.631","2833.831","2975.449","1952.028","2630.421","1828.576","2101.862","2523.605","2462.192","2369.598","2955.424","2609.122","2287.445"
"M218.1033T777.5","218.1033","777.52644","135924.2","57674.77","94188.13","100642.8","26019.13","67111.2","35383.82","34370.11","9295.126","8839.103","18200.22","5064.048","8701.131","39835.84","9182.086","36670.27","49715.75","3511.422","3480.115","7286.956"
"M218.1023T216.4","218.1023","216.386874","97411.27","63010.75","74167.95","78094.65","27790.89","55163.11","65257.94","66583.29","42070.39","42023.72","55150.47","27840.17","43453.52","43094.13","41544.19","36235.29","38744.11","31105.72","32857.98","28135.87"
"M218.1028T335.9","218.1028","335.860194","6437.813","4499.712","4792.359","4629.674","1366.168","4922.107","3431.181","3818.51","2259.806","3272.332","11974.72","7361.988","6878.892","6719.763","6066.837","10594.16","5881.327","7571.92","6049.606","2174.723"
"M218.1189T370.9","218.1189","370.885327","893.1543","641.5128","967.0473","867.401","456.529","644.4427","573.1854","943.9241","504.873","330.1791","800.2606","999.5812","755.7852","1101.61","1090.082","344.5055","854.6832","1022.61","1402.623","1699.664"
"M218.1203T273.8","218.1203","273.795399","1389.224","528.9721","826.2766","735.3145","570.6429","588.6147","1039.085","1144.008","540.8982","559.3557","6040.976","5154.401","3783.667","6099.976","5705.025","2962.812","4865.876","5120.636","9137.707","15535.85"
"M218.12T156","218.12","155.96024","3645.176","2875.755","2294.827","3059.659","625.1138","1966.546","2946.363","2858.085","1381.863","1293.003","1119.737","618.6461","628.9902","672.0806","790.5568","1037.162","981.6919","969.5209","1068.29","462.483"
"M218.5463T164.2","218.5463","164.224132","2294.151","2328.266","2052.939","2345.009","1347.682","1673.411","1772.085","2209.927","1826.908","1941.286","7633.481","7267.151","5737.621","5750.332","5480.406","5646.396","5218.893","6112.916","5632.78","5352.319"
"M218.5757T195.2","218.5757","195.189785","4775.18","3899.353","3971.795","5639.408","1902.521","3863.016","3026.432","3667.148","3276.339","2652.835","7271.101","8243.256","7371.226","7954.392","7681.764","11405.87","9706.697","8222.753","8564.446","8813.8"
"M218.5517T213.8","218.5517","213.834776","935.3209","698.2774","897.9329","817.993","569.7888","777.5876","924.966","841.8048","648.8517","966.897","2746.195","2634.773","2550.706","2865.72","2523.187","1445.444","1753.995","2022.524","3392.14","1325.926"
"M218.5586T238.8","218.5586","238.761544","922.4913","1591.802","1565.72","1223.611","735.1991","727.3857","960.9183","1203.637","970.4122","1128.324","131.4778","224.5978","178.476","241.9287","123.4437","944.8911","731.6788","1081.281","766.4968","552.9322"
"M219.0269T25.7","219.0269","25.746942","271121.1","241823.5","243883","245387.5","149776.5","296553.9","279649.5","278121","261604.3","266743.6","303009","323175.9","338908.9","230408.7","283949.3","462464.2","419163.5","408861.7","354335.1","255518.3"
"M219.1005T275.8","219.1005","275.779219","34935.29","21084.41","20424.17","23100.91","8435.874","15839.21","18585.74","16852.59","975.0293","1135.532","112259.3","73623.02","85310.36","82926.06","73026.44","51901.7","51291.06","67770.09","55081.36","46780.45"
"M219.1012T180.5","219.1012","180.509952","4086.506","1818.12","1825.09","2551.701","764.6836","1454.119","2051.71","2171.232","1259.149","1257.466","37308.2","26259.37","33135","26452.69","24934.71","15790.96","18802.79","20670.09","19097.83","20442.35"
"M219.0791T195.2","219.0791","195.234289","1800.61","1315.758","1112.656","1501.416","816.1487","1173.31","688.5262","1099.668","1212.625","1074.376","2116.826","2725.423","2421.163","1816.622","2794.128","3792.338","3380.314","3464.703","2485.987","3153.29"
"M219.1011T339.5","219.1011","339.538305","2326.991","3291.66","2374.021","2773.848","1001.534","1351.587","1777.286","2384.382","579.579","582.9489","42293.47","26437.28","34822.84","8419.224","29408.33","21879.51","48691.13","24462.83","35553.6","38641.85"
"M219.0801T164.8","219.0801","164.807394","3736.32","2884.157","2787.118","4727.453","1000.666","2244.194","2170.602","2867.103","1491.691","2075.136","1582.265","1144.277","1145.697","1707.706","913.6867","1184.517","1441.486","896.5236","870.1208","750.9"
"M219.1052T777.6","219.1052","777.583667","17433.1","6985.676","12120.16","13146.84","3383.588","8665.372","4539.316","4033.525","976.9457","1089.374","2103.93","796.9731","1189.322","4783.157","1217.802","4922.9","6642.496","471.5809","208.082","917.2098"
"M219.1044T216.5","219.1044","216.478084","7945.77","6488.644","7933.953","9028.628","2390.987","6075.082","6919.43","6172.485","4491.958","4806.331","12651.66","7427.42","8236.818","7853.866","3528.974","3656.987","3862.855","3281.53","3134.82","3673.586"
"M219.1521T173.3","219.1521","173.309535","957.6233","737.1212","271.9128","258.3136","151.1208","505.5771","603.6101","711.1857","824.5665","860.0127","1040.706","2580.396","1199.633","1030.592","1811.171","785.5436","1104.947","1387.584","3723.386","615.8256"
"M219.547T182.5","219.547","182.464212","6818.719","5542.203","5122.762","4975.304","3317.966","4799.863","4483.217","4719.773","5037.419","4742.458","3879.768","8672.42","4169.655","1178.337","7726.801","3831.73","3431.085","7698.01","6999.595","7894.896"
"M220.0304T25.9","220.0304","25.889352","20284.62","17320.09","17783.7","17128.31","11557.13","18482.73","19057.89","17034.02","18446.63","18440.03","22152.14","21206.57","24145.98","16597.03","18827.51","32902.39","29829.99","28903.85","25103.83","19810.82"
"M220.0424T95.3","220.0424","95.334135","5394.306","4158.949","4225.644","4052.361","2460.634","3139.45","4078.054","3973.693","3991.627","3779.045","17122.97","21736.77","14917.95","14150.09","11153.79","11735.96","11108.95","17548.44","15001.72","11496.26"
"M220.0819T431.3","220.0819","431.324654","29104.33","18800.78","19787.89","15746.16","12157.19","16851.1","20108.23","19364.97","11583.79","11674.67","19703.54","17152.64","18664.91","21154.78","22345.52","9594.721","18429.06","11953.32","13821.35","16322.95"
"M220.0962T520.9","220.0962","520.945955","1042.507","2372.036","770.679","712.5696","451.8052","711.7946","1461.001","1230.285","646.2801","391.461","2476.737","5176.466","2274.485","1415.183","5522.165","1103.215","1983.422","873.9757","3691.425","1207.298"
"M220.082T728.6","220.082","728.598709","8405.384","5644.846","7636.936","8136.417","4774.591","7106.6","4919.761","4621.175","1843.043","1920.613","1965.969","1061.585","844.3416","3913.607","1164.997","4250.165","5933.743","892.7121","708.7241","1732.028"
"M220.1172T92.8","220.1172","92.782644","41105.04","35002.04","29418.73","32659.95","12630.83","25301.06","29353.24","28634.94","21724.66","20873.03","27894.81","17881.19","22538.16","25085.95","19721.67","20119.61","17646.9","19425.54","19080.6","11015.74"
"M220.1035T275.8","220.1035","275.78193","4240.39","2882.784","2261.603","3300.305","669.5815","1871.667","2206.04","2563.716","477.3816","439.7225","16021.81","11113.94","11413.03","11668.47","10698.62","7456.744","7321.543","10284.32","7690.481","6847.987"
"M220.1039T339.5","220.1039","339.538305","788.6304","642.9523","647.3427","690.4391","348.064","510.408","531.4682","588.5666","399.7508","336.384","5848.675","3611.552","2700.826","778.7558","4097.609","3246.053","6868.066","3076.58","4701.826","5342.439"
"M220.1044T180.5","220.1044","180.469191","763.5514","397.9848","375.7237","523.5439","457.6992","338.6475","445.0224","509.0126","265.0054","318.2544","5076.18","3405.055","4269.767","2883.395","3678.288","2250.132","1793.125","2816.91","2025.071","2403.156"
"M220.1363T235.5","220.1363","235.548133","677.7853","1005.971","650.5785","454.1521","189.8867","1553.187","553.3575","513.8595","415.9992","630.9711","1324.726","3665.103","3071.62","1267.212","3825.367","1317.828","2583.131","1636.635","4741.798","601.6717"
"M220.1348T283.4","220.1348","283.421451","2619.702","1527.97","1841.472","1596.969","733.5864","1196.083","1059.725","1616.834","817.1497","938.7504","4834.407","3180.852","3741.988","2485.739","1734.759","4017.334","3507.249","3484.856","3104.696","2833.164"
"M220.5648T180.8","220.5648","180.849929","19753.63","19019.31","18964.23","19242.97","15869.38","17418.59","19250.98","17954.96","17287.73","18704.28","16973.12","27914.89","18696.63","28383.3","19632.72","23457.43","28549.55","18588.94","22971.29","31101.55"
"M221.0265T25.8","221.0265","25.843153","23458.27","21750.45","20466.5","21292.51","12918.87","25944.1","24038.77","24423.81","19464.72","22587.36","26573.05","28747.57","29732.77","106158.1","27465.63","40661.8","33965.11","34649.22","31812.08","23308.05"
"M221.066T282.4","221.066","282.414447","30855.91","20183.8","31015.08","28996.12","16836.5","23651.97","21559.77","22180.02","18545.27","18314.98","38250.98","40782.85","44283.85","44822.53","43565.7","24169.89","33356.32","26840.12","34306.73","31778.24"
"M221.0656T272.3","221.0656","272.278067","28595.14","18918.45","27016.15","25080.68","14624.85","21623.47","21245.09","22086.75","16314.55","16627.05","24126.04","24110.94","26303.5","32410.9","27558.74","17049.03","19393.43","12891.73","21301.28","18988.43"
"M221.0847T431.4","221.0847","431.413029","3663.368","1353.614","2167.219","1388.885","1647.387","1846.891","2097.913","1913.015","1441.646","1351.635","2158.823","1562.957","2194.876","1995.45","2882.453","1217.974","2065.83","1206.458","1834.761","2083.821"
"M221.0998T324.6","221.0998","324.614101","670.5733","581.0214","887.8324","473.372","256.9075","489.3717","938.871","1279.455","367.7798","441.6253","2227.755","2044.702","1816.3","3762.439","2526.592","2090.548","3871.471","4459.45","7774.216","9377.988"
"M221.0662T180.6","221.0662","180.596465","4645.234","3766.429","3873.129","3936.278","3355.349","3968.506","4221.041","4027.15","4537.319","2922.932","3513.176","3532.744","3236.233","3801.556","3666.931","5080.756","4358.122","4321.591","4642.972","4116.368"
"M221.1145T469.7","221.1145","469.730873","14575.84","11050.55","6364.968","6929.799","1439.798","5863.791","8598.06","9008.025","6203.149","6037.127","14029.79","6760.255","9299.13","6969.498","5419.122","4326.347","3581.196","6058.859","6422.176","10436.26"
"M221.1148T573.2","221.1148","573.203033","32459.56","16609.46","14217.1","21987.21","2750.081","16999.98","22951.04","22743.77","5091.016","4826.764","9044.855","3566.118","5408.212","4443.143","3231.476","10346.91","8118.363","6702.655","6500.828","7069.461"
"M221.1196T298.6","221.1196","298.62493","493.2958","2442.485","627.8335","542.8246","423.1431","436.9599","1056.726","919.4935","713.7328","538.4996","5776.348","3066.108","3266.011","4116.392","2557.044","1058.982","789.9355","1746.056","1874.839","3138.528"
"M221.1863T24.8","221.1863","24.820689","7074.74","6994.946","7017.688","8172.689","7106.493","5468.91","6006.637","6986.604","5573.319","5658.576","2550.072","2381.509","2344.095","3498.181","2631.671","1990.459","1885.566","2309.641","1818.396","2110.22"
"M221.5671T282.4","221.5671","282.355031","9417.553","6531.84","8836.71","9547.252","5226.168","8064.056","6682.449","7711.019","4802.196","5400.405","11814.31","13360.18","14021.69","13485.29","14364.13","8257.583","10467.38","8908.264","11042.91","10146.03"
"M222.0471T221.6","222.0471","221.582702","19859.3","13812.36","22750.22","17735.61","10624.76","15533.81","14421.11","15194.68","12420.84","11886.28","40529.73","41847.56","47432.42","37560.48","42347.82","17156.9","25377.09","18281.95","29737.55","31528.92"
"M222.0296T24.4","222.0296","24.403002","42549.68","43607.89","35492.77","38691.16","30600.42","31433.86","38065.68","38862.91","35227.54","35338.22","31173.76","27353.73","30934.4","15938.33","22216.58","30185.23","25854.67","29027.02","30565.29","28009.7"
"M222.0472T252.3","222.0472","252.297044","3819.053","4333.141","3323.906","3565.37","2013.675","2812.822","3184.784","3645.199","2604.776","2485.01","2049.141","1307.592","1209.345","2641.327","1316.464","1020.342","1906.119","1828.462","1873.75","1401.339"
"M222.0648T272.1","222.0648","272.109858","6302.611","3972.816","5782.094","6542.563","3131.187","4592.31","5119.495","4634.078","3872.676","4167.013","5378.633","5587.029","6191.396","7661.989","6588.413","3905.008","4809.978","2966.237","5275.402","4336.774"
"M222.0968T293.5","222.0968","293.549667","6467.19","4757.617","4634.575","5545.299","1368.544","3172.35","3383.397","3910.197","3608.502","3344.493","19320.12","13947.73","13821.82","10546.57","10108.14","12068.05","9654.799","10742.6","9765.198","5250.413"
"M222.1145T44.2","222.1145","44.196303","1592.468","573.6741","1398.522","1190.189","834.7977","1117.92","1022.454","1370.795","915.8752","788.5249","7898.891","4376.234","6323.199","3336.991","4877.892","2496.167","4345.861","3215.137","4849.992","4292.649"
"M222.5491T221.6","222.5491","221.589019","3423.873","2839.49","4127.966","3538.29","1951.414","3069.934","3092.704","2657.721","2391.782","1268.412","7753.925","7699.667","8857.338","7485.65","7682.658","3605.442","3825.822","3800.656","5506.162","5353.449"
"M222.9893T24","222.9893","24.012624","11060.1","7159.605","10545.84","9445.28","9425.352","7087.554","7014.007","6531.216","6679.101","5240.803","11070.56","11739.17","10782.47","8099.217","11495.45","5814.825","9382.907","11005.16","10606.69","9070.775"
