"","mz","rt","pos-Exp1-Blatt_K-1_1-B,1_01_8080","pos-Exp1-Blatt_K-2_1-B,2_01_8082","pos-Exp1-Blatt_K-3_1-B,3_01_8084","pos-Exp1-Blatt_K-4_1-B,4_01_8086","pos-Exp1-Blatt_K-5_1-B,5_01_8088","pos-Exp2-Blatt_K-1_1-D,1_01_8091","pos-Exp2-Blatt_K-2_1-D,2_01_8093","pos-Exp2-Blatt_K-3_1-D,3_01_8095","pos-Exp1-Blatt_P-1_1-C,1_01_8081","pos-Exp1-Blatt_P-2_1-C,2_01_8083","pos-Exp1-Blatt_P-3_1-C,3_01_8085","pos-Exp1-Blatt_P-4_1-C,4_01_8087","pos-Exp1-Blatt_P-5_1-C,5_01_8089","pos-Exp2-Blatt_P-1_1-E,1_01_8092","pos-Exp2-Blatt_P-2_1-E,2_01_8094","pos-Exp2-Blatt_P-3_1-E,3_01_8096","pos-Exp2-Blatt_P-4_1-E,4_01_8099","pos-Exp2-Blatt_P-5_1-E,5_01_8100"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M378.1008T196.4","378.1008","196.366318","6833.3073","6434.3072","4719.7513","5202.4931","4704.162","4817.812","6523.81934","5027.0606","5380.741","5828.411","5120.37625","6180.49555","5400.67693","5478.27615","6528.62635","5935.1887","5793.59902","4873.6573"
"M378.1611T229.1","378.1611","229.062782","1902.6833","1708.8931","1318.7208","1222.8883","1035.98325","1318.0536","1122.2379","1598.2776","2381.397","2583.62","2315.6198","2360.358","2754.72575","1872.1632","1790.7648","1728.0597","2049.25468","2120.88208"
"M378.981T23.5","378.981","23.537968","1089.5818","1061.0332","802.9434","676.669","902.83757","853.1832","828.52691","827.827","573.2052","385.245","371.10877","312.19855","439.32486","346.97804","363.56455","337.9108","295.09527","421.8177"
"M379.0414T285.9","379.0414","285.88645","13689.0445","13151.037","11084.5272","10811.6424","10778.26134","10639.2127","11327.17071","10000.6608","13626.26","12797.56","12427.27727","11756.04431","12852.68565","12284.19826","12963.61716","13370.2894","12466.03155","11960.6141"
"M379.0429T262","379.0429","262.031023","277.8263","190.905","544.1904","226.848","252.92565","248.532","76.36005","429.4836","1938.55","1668.709","1722.15","1300.41397","2130.65164","1084.44375","1153.84815","1300.3728","1294.7016","1462.1736"
"M379.0986T264.9","379.0986","264.855145","8195.3261","9158.988","6436.7236","6576.0478","5648.23869","4805.705","6546.9","6950.556","6367.901","6524.852","4257.83526","4709.877","4880.54994","4580.15082","5173.26678","5088.6487","6041.70567","3425.30208"
"M379.1142T359.5","379.1142","359.527913","3970.3719","6130.2336","3360.2276","3502.6696","4015.00823","3293.4285","4337.06897","3887.3327","3276.07","2898.317","1875.71646","3743.27035","2958.38588","3105.02202","3420.81092","2741.6948","5324.48644","2598.90517"
"M379.1564T94.3","379.1564","94.347872","7166.9929","6256.9774","4869.7782","5526.0427","4670.9586","3992.9351","4746.71949","4663.0608","6163.92","3952.159","4245.73368","4169.6664","4016.46243","5682.77657","5761.6056","5757.2355","4412.04893","7889.64"
"M380.0816T37.7","380.0816","37.682857","825.4054","737.8454","780.057","747.8045","653.70323","682.7564","896.16471","367.1835","1415.622","1368.975","903.86471","1716.46075","1304.83984","603.1488","690.07569","908.0592","1006.26686","1198.62277"
"M380.1107T44.4","380.1107","44.423473","3489.8715","4458.2556","4628.5585","3554.1722","4204.14025","4493.1684","3263.14966","4906.2552","2611.087","2967.55","2189.94003","1579.2624","1212.54467","2472.47618","2507.40287","2218.5301","2982.65378","3995.25691"
"M380.1027T265.1","380.1027","265.050114","1472.0197","1471.675","1141.1254","876.8488","1026.70537","805.4139","1237.3224","556.1529","1212.636","1425.473","1098.48312","728.82236","1036.4952","724.5792","1000.68","1218.933","1231.6512","1030.28032"
"M380.7687T23","380.7687","23.0089","631.8814","808.6464","638.844","713.3565","600.27233","737.4466","744.17236","841.1737","1225.417","769.8623","752.60625","1034.55085","766.0495","1423.09243","1470.44268","1400.3545","1150.2528","991.01419"
"M381.079T26.8","381.079","26.84688","41930.979","24338.82","27860.8298","21876.9662","25755.2084","36104.9786","23833.78545","18082.4483","42263.06","45946.25","43612.02948","43809.04398","49824.97134","19505.71377","20816.11026","19670.3178","14029.84253","21164.09796"
"M381.1745T244","381.1745","243.988048","8444.7697","2028.7814","1480.2125","1465.0457","1907.72642","1520.6927","1457.07898","1183.6128","5047.197","6909.34","6206.24769","1398.78288","5575.4895","1380.79149","1368.20345","2077.9857","2157.79657","4734.42997"
"M381.1742T186.3","381.1742","186.336012","1245.1818","1497.3552","1051.1736","712.7958","1042.635","1252.1174","943.6632","1081.0162","734.184","514.2689","782.391","488.65392","382.3056","746.136","579.24533","833.7075","913.64954","724.5792"
"M381.1523T231.2","381.1523","231.239897","1471.6667","1090.3682","1129.236","887.4425","870.54656","1101.8808","1296.62867","808.2219","769.2816","659.8608","1084.46","665.05361","614.40618","980.88232","885.0408","1012.3851","1109.90066","848.12014"
"M381.1989T367.2","381.1989","367.231379","919.9006","1453.452","1005.5768","767.0663","1187.86729","661.3651","1007.33967","1109.6783","394.7741","371.2968","415.91118","307.34312","412.70686","402.7404","297.0375","360.7361","301.63821","486.15805"
"M383.0931T144.1","383.0931","144.115659","3034.9046","2688.0011","2408.7414","1942.0673","2091.81669","2181.0768","2559.1123","2103.172","3021.576","1181.004","2251.15122","1730.7168","2269.65088","2002.5553","2126.0328","2437.1472","2464.79027","2220.25143"
"M383.1311T195.7","383.1311","195.663804","1825.424","1925.3569","1177.961","1297.9958","1177.50967","1305.5072","1411.65259","1253.3574","1625.299","1220.486","1323.60758","1167.6875","1449.9265","1117.99413","863.6904","1294.8242","1411.76623","1288.1349"
"M383.8564T24.3","383.8564","24.347686","713.7549","461.2934","632.076","551.8542","437.016","496.8297","684.7412","530.5274","778.3211","451.8898","574.03173","556.35382","619.4952","568.8438","713.68572","581.913","517.03642","576.09266"
"M384.1143T112.5","384.1143","112.497785","7764.2307","7250.1677","5920.0122","5416.0027","5530.50703","6348.3916","6904.85878","6223.6416","7731.514","8253.579","6284.65424","5457.28046","6875.44629","6681.96751","6963.2613","6729.3464","7755.89661","7600.58766"
"M384.1502T294.8","384.1502","294.808268","14919.5713","13133.832","9833.9305","10393.3076","10407.6528","9277.416","12926.4444","8795.0223","11271.1","11325.14","10206.53079","11295.7812","10544.076","11449.39027","11793.74287","10745.3045","12118.46409","10441.01957"
"M384.1627T235.4","384.1627","235.366146","5606.7886","4664.7731","2583.732","2858.9856","2105.3496","3083.4137","5306.90431","3166.6044","8100.314","7911.57","6347.6468","3643.69824","6987.5856","3063.84236","2818.07801","3156.0452","3036.51365","2387.90215"
"M385.1529T294.8","385.1529","294.845299","3127.4221","2132.0376","1766.2165","1643.6472","2114.52214","1788.7632","1988.9232","1744.8588","2196.371","2466.972","1770.0816","2399.50595","2445.86977","1734.49834","2324.38005","2038.4622","2450.292","2407.12077"
"M385.1469T280.5","385.1469","280.516187","3306.3302","3653.0451","2172.1734","2587.3312","2601.57106","2612.6453","2633.78134","2952.6936","1383.398","1507.683","1121.5632","1596.11125","1270.41829","980.784","1362.94539","1370.9074","1360.944","1069.63475"
"M385.1667T60.1","385.1667","60.090368","1242.2503","811.5017","641.0703","752.3206","247.50647","499.6395","1777.02523","523.0169","4774.675","3082.075","1809.33543","1210.62732","1828.85687","379.4169","786.60632","267.8005","883.28453","327.55265"
"M385.1821T284.8","385.1821","284.811281","1345.3598","1231.3176","1063.3198","1182.9752","780.16282","1105.309","543.1008","1240.1354","1135.241","1121.12","759.09167","1081.1976","764.85881","546.29964","890.59757","1069.068","1286.52364","998.6487"
"M385.2922T825.7","385.2922","825.706231","18222.5664","17758.0737","16831.2645","16602.1084","16052.1648","15677.8656","15632.83607","16344.521","17701.59","18397.37","17084.04523","16352.52929","15891.7032","16100.8704","16650.18271","15543.7584","16559.40929","14863.8816"
"M385.2916T794.2","385.2916","794.158874","6017.8011","4946.2328","5255.44","4670.4416","4916.9304","5050.6132","4112.18961","5262.9775","6055.673","6893.928","5589.85665","4372.5089","4515.32284","5061.44492","5355.1889","5391.6432","5079.57135","4612.50225"
"M386.1447T285.5","386.1447","285.511011","3327.3264","3636.8252","3540.0745","4695.7797","4254.0672","5549.9008","4604.99933","3659.6841","4434.491","5825.014","5244.8592","5356.19811","7223.73587","6556.908","7010.92949","7865.2872","10783.11005","9416.65536"
"M386.236T282.2","386.236","282.179797","2057.6448","1735.3003","1645.0876","1033.7788","1303.54264","911.6263","1814.01621","1590.0328","1066.186","639.0738","782.761","737.9232","644.8488","949.092","1142.39318","1211.6352","852.0144","1278.3552"
"M386.2949T825.8","386.2949","825.83594","4194.6864","3797.9627","3592.3326","4199.184","3555.29379","3341.1712","3597.67093","3562.3509","3934.232","4310.205","3913.50462","3548.95697","3364.24133","3711.9672","3630.8145","3563.115","3647.06885","3101.87764"
"M387.1284T220.7","387.1284","220.67701","4401.5184","3715.1927","3742.0782","2776.7906","3403.74627","2650.452","3563.2752","3286.9466","2997.059","3612.554","3440.52292","2795.32857","2288.1717","2362.16117","1664.87465","2371.8104","2204.49804","2442.51679"
"M387.2008T225.6","387.2008","225.634696","23104.8024","19541.094","15192.3851","16048.4157","16490.60452","15601.0231","17525.5074","17346.783","19877.76","21290.61","18120.25745","18895.01423","18140.94573","15729.03078","16707.11495","15772.4056","20893.48705","17264.14912"
"M387.1797T528.3","387.1797","528.269232","1656.0629","1722.0432","1016.374","1355.8787","1557.912","1659.6248","1431.91025","1705.3834","1504.104","1547.237","1257.3384","1397.0121","1839.06778","1320.53004","1545.5688","1717.7064","1592.18817","1610.6208"
"M387.1999T436.4","387.1999","436.37283","751.1707","795.2151","537.912","646.4111","713.07805","431.7843","438.684","633.3246","893.8336","466.7664","548.772","444.39726","537.7632","390.4056","512.95376","626.5671","446.18364","378.21168"
"M387.1857T23.4","387.1857","23.366612","788.4543","1548.7007","831.4973","508.2988","1103.77209","618.9197","638.76102","1038.7616","238.4906","79.05214","240.57367","202.86933","176.46271","368.64273","394.26004","237.8639","258.92533","301.8175"
"M388.1329T40.5","388.1329","40.453689","1337.6685","1593.4244","1360.7544","956.4958","1414.8703","1192.5179","1702.24304","1612.6064","1182.385","1886.071","2117.97445","1692.06302","1769.69183","1763.50022","1214.3664","1754.9193","1811.06743","2524.80755"
"M388.2045T225.6","388.2045","225.634696","4581.955","4481.5316","3144.8472","3421.0274","3222.9096","2942.1449","3641.50181","3783.0306","4452.984","4860.155","3637.09304","4107.25826","3549.74863","3309.36124","3614.03662","3553.7735","4147.73486","3490.75574"
"M388.73T24.3","388.73","24.324672","389.3871","372.9928","253.5559","214.7397","272.32531","408.3264","377.3016","315.9192","322.5549","510.0744","452.29832","401.96993","597.59939","425.0064","553.45538","416.7729","521.96771","375.18609"
"M389.1414T279.1","389.1414","279.064342","3571.2837","2929.2289","2406.1777","1681.1418","3296.709","2218.8724","3058.06705","2588.9577","3515.045","2292.19","1843.14","1457.66752","1885.23115","2137.3752","1235.15806","2915.6064","2756.5455","4338.84371"
"M389.1412T200","389.1412","199.991128","20367.8879","3840.3574","2588.3699","2963.6493","3690.55975","1902.5147","2497.18313","1676.171","15336.46","11057.98","8869.51557","3220.5166","8663.96665","2192.0856","2562.48686","3691.9496","3236.31","5898.15982"
"M389.2152T229","389.2152","228.976459","5110.5285","4761.4728","3241.9248","3062.7816","3957.4968","3231.2496","3794.95983","2749.832","4542.017","4637.04","3471.19056","3308.2389","3491.4576","3721.9752","3817.3848","3783.0371","4407.95669","4296.18513"
"M389.2293T570.3","389.2293","570.329137","1525.756","789.6312","1894.9791","472.7482","1506.73114","900.0528","548.913","1280.8046","668.0007","6502.505","4103.66331","3543.4107","3609.44922","1650.61602","1679.49197","1209.774","2998.33357","469.15664"
"M390.1536T61.6","390.1536","61.623469","3423.7909","2818.4112","2357.5538","2818.8942","1770.62631","2807.7038","3317.27457","2225.7392","7942.492","7195.433","5640.8424","5121.65182","6267.14743","3166.302","3614.79744","3269.9472","3597.876","3000.33222"
"M390.1789T297.9","390.1789","297.943311","1794.4593","1504.0333","1029.6053","852.2385","1369.63325","985.9604","1456.98533","1158.7661","891.78","597.1706","692.11625","591.405","671.3038","826.8226","930.16125","936.8892","937.5565","964.20375"
"M390.6787T297.8","390.6787","297.796987","515.2209","942.8449","369.0058","333.6","477.59246","453.2718","623.1648","449.2582","456.1484","479.8127","374.9664","237.3318","237.95187","370.1842","290.0722","354.323","403.06933","393.4716"
"M390.912T23.2","390.912","23.192537","830.791","1099.8167","859.4349","781.6863","806.74345","997.0516","869.26387","1151.3626","954.8725","841.2299","713.36945","983.05406","1168.18979","999.08707","1037.7241","1133.2415","930.44177","1296.06982"
"M391.0928T163.2","391.0928","163.209243","7134.8688","4937.9472","4404.6214","5973.4255","3929.70998","4053.6956","6016.2773","3067.1184","18102.37","13411.06","12151.07079","15114.40971","12924.03475","10529.19097","13224.83811","12248.6806","10629.09337","11345.46734"
