"","mz","rt","pos-Exp1-Blatt_K-1_1-B,1_01_8080","pos-Exp1-Blatt_K-2_1-B,2_01_8082","pos-Exp1-Blatt_K-3_1-B,3_01_8084","pos-Exp1-Blatt_K-4_1-B,4_01_8086","pos-Exp1-Blatt_K-5_1-B,5_01_8088","pos-Exp2-Blatt_K-1_1-D,1_01_8091","pos-Exp2-Blatt_K-2_1-D,2_01_8093","pos-Exp2-Blatt_K-3_1-D,3_01_8095","pos-Exp1-Blatt_P-1_1-C,1_01_8081","pos-Exp1-Blatt_P-2_1-C,2_01_8083","pos-Exp1-Blatt_P-3_1-C,3_01_8085","pos-Exp1-Blatt_P-4_1-C,4_01_8087","pos-Exp1-Blatt_P-5_1-C,5_01_8089","pos-Exp2-Blatt_P-1_1-E,1_01_8092","pos-Exp2-Blatt_P-2_1-E,2_01_8094","pos-Exp2-Blatt_P-3_1-E,3_01_8096","pos-Exp2-Blatt_P-4_1-E,4_01_8099","pos-Exp2-Blatt_P-5_1-E,5_01_8100"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M239.5732T270.8","239.5732","270.832996","1819.917","1258.1387","965.9318","1054.134","973.1112","1286.028","1428.17486","842.4953","1546.691","1420.419","1023.85296","1432.91938","888.52897","1289.364","835.3344","1170.5366","1477.848","904.15165"
"M239.5654T325.1","239.5654","325.125897","1654.9394","1760.59","1428.7088","1950.033","1642.27452","1738.8721","1747.2222","1072.4047","1744.93","1295.833","1368.55496","1844.09557","1264.20809","1373.70567","1330.07776","1626.9993","1826.1888","928.17026"
"M239.9663T20.9","239.9663","20.914231","3014.076","3317.2131","4788.1253","4492.9425","4258.795","3166.7448","3919.4664","3368.0313","3500.02","4242.252","4682.01143","4135.9728","4184.90018","3337.30771","2742.14202","2840.2066","3228.9144","3387.93513"
"M240.0501T79.3","240.0501","79.300621","57670.38","60854.9391","47702.4888","46429.1136","39826.50636","45277.5184","45112.64091","44227.6115","65551.2","59566.92","52615.48162","31991.95472","38904.88427","45225.87547","53858.31842","60114.0953","53833.878","59434.55149"
"M240.0841T216.8","240.0841","216.779457","10799.5185","7661.8561","5538.656","7241.5628","5317.61554","6358.0824","7586.24948","6300.1556","8088.282","5539.558","5215.4964","5990.96826","6497.54243","5204.10164","6719.22939","5773.6152","4678.13713","4972.47344"
"M240.0747T326.9","240.0747","326.916349","2068.3997","1178.9424","898.46","1407.4584","1290.6984","1863.8088","952.18329","1291.3594","2346.443","1882.688","4884.24605","1681.40264","3067.15159","1347.2865","2108.01443","1147.9176","1716.372","1902.54619"
"M240.1435T59.8","240.1435","59.846734","12090.2076","7703.929","8007.5904","7411.3996","4700.66366","11499.192","16694.37814","7812.2503","8534.415","7422.446","6926.2032","8099.59403","7455.36456","3965.25518","3534.59064","2278.0985","1395.53136","1320.23928"
"M240.8666T25.9","240.8666","25.859151","23835.1103","27654.9353","25011.6491","26536.9137","23637.01895","22066.9826","25219.37653","23380.5054","31522.17","30242.11","29977.39714","35797.37508","32393.93587","31401.69203","26534.60643","27174.2741","30375.89195","27815.14927"
"M241.0533T79.3","241.0533","79.334921","6698.7309","6877.6937","5525.7457","5472.6727","4073.06137","5399.3028","4917.50094","4663.9659","7261.588","6713.59","6083.8632","3691.16454","4267.65879","4727.14194","6389.1072","7112.5503","6221.9736","7271.58124"
"M241.5426T220.8","241.5426","220.77716","1083.5328","1393.4472","1571.2049","570.8297","1501.00714","1092.7098","1569.588","1274.8494","1201.127","1467.086","1464.44437","1110.93609","1101.2136","895.29646","992.1264","832.6656","1057.8456","1621.25394"
"M241.999T20.9","241.999","20.899781","10532.9436","9756.2554","12471.3418","11549.0908","11284.41937","9669.0101","9733.00954","8461.4799","13350.16","13916.83","12616.36062","13545.77574","12976.37383","10332.30692","9034.6125","10171.3597","11704.67798","11329.61953"
"M242.064T432.2","242.064","432.230428","5867.3981","5325.9256","7201.2387","2919.4171","4930.2744","4615.8129","4078.56417","6702.5006","8773.592","9107.91","8901.81125","5747.02425","6570.74437","6414.64725","6188.69222","7165.3944","8024.74246","8717.28707"
"M242.0914T60.1","242.0914","60.123955","35250.7342","23749.3983","20742.8138","24040.9058","11500.44769","29154.2274","45063.92128","19812.2064","85124.58","63179.54","58706.38084","47998.28367","61203.26737","26075.9979","35722.59944","25914.7734","23831.22997","15248.49664"
"M242.0994T93.3","242.0994","93.333879","5845.3336","4565.0002","3571.1423","3910.8531","3736.77039","3848.4583","4082.18276","3499.6491","4797.835","5620.432","3827.83692","3607.69843","3483.7848","3276.29818","4191.05616","3757.523","3826.16872","3650.2512"
"M242.5606T220.7","242.5606","220.694633","18088.7126","18007.0757","18109.1424","14394.6311","17279.69355","15378.6264","16225.42157","15959.0904","15382.38","15455.02","16296.6936","13978.85182","11976.77843","12141.36371","12506.79528","11420.6942","13638.25638","14463.79946"
"M242.5931T60.1","242.5931","60.090368","7232.9334","4821.4203","3971.8216","5705.6265","1974.80545","6020.4792","9462.07913","4327.8862","17621.69","13722.58","11672.41207","9534.3345","12846.44784","5161.68429","7696.33104","4882.5032","4946.62051","2729.47786"
"M242.5979T436.3","242.5979","436.279214","741.0089","1373.0589","1213.7652","1330.4488","735.08602","847.5133","573.06416","993.7761","1235.726","1253.066","799.3056","792.89214","736.2552","503.0688","808.39832","1168.2653","643.71865","693.40765"
"M242.865T25.8","242.865","25.788551","5663.7572","6797.943","5464.098","6806.2384","5786.781","5947.9358","6411.76886","5724.48","7422.105","7245.178","7394.193","8549.5455","7673.78569","7524.86482","7122.65562","6185.2607","7230.21291","6202.86288"
"M243.0002T20.9","243.0002","20.857485","3668.2618","2906.6083","3973.176","3751.4518","3605.05309","3089.6913","3090.28512","2476.6335","3981.199","4429.213","4321.1208","4159.992","3842.94476","3005.87155","3101.9781","2836.9344","3743.18155","3725.862"
"M243.0741T242.7","243.0741","242.700998","6940.1051","6278.7601","4291.2831","3754.975","4148.38622","3652.1625","5301.9048","4715.1725","4822.144","5383.144","2331.44344","3116.4912","4177.1361","3471.70257","4150.97318","3098.1432","4832.61809","4507.53764"
"M243.0642T220.7","243.0642","220.744924","4263.9754","4018.8792","4023.5449","3544.5055","4476.55522","3718.3056","4076.60679","3918.4384","3953.817","4469.963","2090.42167","3166.5312","3091.89573","3061.7531","2923.25354","3137.0713","2274.70011","3779.61584"
"M243.0924T22","243.0924","22.01581","1192.62","1243.1036","1257.8925","890.6319","1307.23144","1279.2793","1095.8103","1475.4799","571.0205","392.863","370.9379","496.83463","517.2585","707.15457","781.92324","713.2047","790.36918","521.58618"
"M243.1827T25","243.1827","24.984586","432.8165","355.1775","443.8108","498.9689","463.83231","395.8631","484.63362","342.9408","892.161","1078.555","1248.25636","972.81798","1104.18785","747.55514","820.73647","791.9074","726.61896","1028.29661"
"M243.9967T20.9","243.9967","20.857485","3612.6859","3734.807","4102.5774","3756.4834","3830.29344","3149.8512","3327.9936","2866.6854","4383.049","4589.177","4342.56358","4569.12256","4761.55994","3545.10225","3203.5608","3309.1826","4092.9384","3953.52"
"M244.0253T212","244.0253","211.950032","1082.532","1137.1644","1149.7899","1209.7616","741.70395","945.6559","1102.02236","895.9489","1796.616","1091.424","1572.924","1772.39613","1948.6405","822.90413","1425.89483","801.6408","1424.8188","1515.04088"
"M244.0614T432.2","244.0614","432.235898","606.7502","606.3126","583.2135","326.2608","416.94231","528.0888","286.1001","570.3922","929.7183","516.987","275.275","397.3176","475.10336","361.22973","675.11298","530.0268","684.93946","627.168"
"M244.0876T466.9","244.0876","466.927571","8185.5451","11225.8813","8493.6301","9825.5208","7965.23056","5129.4253","4289.43235","4678.1371","7877.203","7580.519","5528.03677","7408.08144","6071.1864","3102.48","5524.18533","7640.1072","3542.43025","3313.74086"
"M244.1904T433.5","244.1904","433.463389","1112.3401","1125.5625","1949.0436","936.345","1256.79927","1059.5162","809.24744","699.5592","913.2795","887.376","1177.93385","892.6244","989.4576","880.704","1175.52182","659.1936","767.53875","1261.13536"
"M244.5891T466.9","244.5891","466.880018","2310.5136","3252.6","3018.1333","3628.5173","2999.064","1682.2743","1631.41267","1414.1304","2359.546","2090.474","2322.31187","2432.11223","2017.43695","1119.8952","1656.9167","2857.284","1172.8149","1272.88304"
"M244.6582T179","244.6582","178.973623","2463.7251","1578.5587","1423.9554","1542.5102","1752.751","1116.2256","1584.84783","2042.8917","2637.087","2238.087","2541.19442","2087.48594","2522.3496","1900.44849","2618.87948","2621.8388","3384.234","2731.90982"
"M245.0784T515.6","245.0784","515.623701","9414.7211","7813.031","8055.0714","6785.7576","7462.35217","8281.5044","7909.67121","7518.3081","8400.224","8197.189","7790.22707","7438.09733","8652.82977","7378.11496","7524.14741","7786.8912","7855.45828","8935.40398"
"M245.0993T59.9","245.0993","59.876844","104513.2689","77919.1357","71055.0152","76003.8908","48691.47644","87158.1337","118864.02595","67239.9183","200330.5","161618.5","144074.74024","121144.98923","152378.36235","81434.64155","102067.0877","78765.9989","74828.98755","58381.1256"
"M245.2215T335.8","245.2215","335.773215","4885.875","2742.7204","2468.7292","2846.0987","3252.20419","2551.2975","2334.68831","2655.4761","2624.757","2330.351","26409.444","12419.52171","22828.87228","2248.464","2386.61193","2225.1346","2083.74833","2063.31218"
"M246.0361T325.2","246.0361","325.186855","1857.3103","1312.7347","1701.3178","1749.655","1748.69471","1729.8858","1730.6443","1918.5336","1644.47","1139.285","1393.09313","1781.39549","1827.58253","1923.34236","1161.2616","1171.1693","2023.17646","2643.4464"
"M246.1027T59.9","246.1027","59.876262","11791.952","8773.2633","7408.7147","8007.0734","4943.0161","9542.0362","13120.22458","8010.7401","21952.47","17218.38","15059.6614","12978.54572","15625.46588","9046.18992","10603.65394","8334.5504","7882.28731","6132.54256"
"M246.5719T210.4","246.5719","210.431395","2498.7332","2431.7627","1293.918","1138.6699","2022.976","2173.598","2265.04813","2186.9028","2552.374","1976.923","1779.9015","2116.517","2129.67114","2435.76465","2418.9336","2331.0062","2352.45762","2570.80827"
"M246.5716T289.8","246.5716","289.841264","4942.6176","5190.8449","3778.3917","3090.6201","4381.80549","2797.1211","4414.27942","4004.2678","3433.225","3185.711","2816.12427","3023.60103","2314.8637","3263.9424","2911.89884","2704.9374","3059.48956","3595.8744"
"M247.0575T276.8","247.0575","276.843147","5277.8856","3217.6835","3052.3827","1931.7386","2169.63032","2016.3265","1572.81933","1979.7918","3786.145","2513.009","2932.59633","2655.64704","2319.27066","1651.76785","2158.72957","2523.1613","2004.6024","1850.96411"
"M247.0552T39.2","247.0552","39.15178","11385.6233","8522.989","6660.324","7822.5836","4535.86467","12075.0139","18982.8408","8597.7668","14286.86","10967","9038.88922","15111.0792","9357.03126","5350.03623","4038.07736","4764.3393","3689.35233","2780.97309"
"M247.0549T325.2","247.0549","325.183606","11616.8225","11156.4284","12792.7316","12156.5339","12538.356","12094.3344","11140.31324","11408.5688","9976.682","9771.412","10776.37451","11754.57439","10580.37515","11450.088","10801.18295","10333.5936","13884.09192","12467.98481"
"M247.0717T190.7","247.0717","190.695177","1656.1378","1264.344","1036.9429","1385.2131","1299.87163","1443.0152","1298.21718","1068.494","4294.099","4141.862","3427.79795","3514.84467","3044.4507","3070.10925","3110.13882","3050.1944","2672.50275","3598.0732"
"M247.0654T382.5","247.0654","382.475061","11788.74","2293.7556","1199.0763","1454.9542","1948.61078","844.5585","1223.76874","855.7573","4869.924","3907.727","3281.9568","1151.83087","3551.11607","726.38478","681.8784","1665.5221","1827.81486","1922.75114"
"M247.0701T289.9","247.0701","289.858304","2539.1457","1466.9476","1193.2183","1228.2","2192.7528","1305.155","2292.061","1842.632","1777.318","1144.143","1601.6136","1222.9372","1462.32349","1536.74972","741.22904","1506.505","1308.58203","1095.876"
"M247.1073T283.7","247.1073","283.712893","862.0224","556.2908","616.8573","363.2401","441.77467","399.4218","523.36885","669.4204","960.9445","813.8509","553.39303","601.8144","724.80415","688.10427","758.94","764.2776","868.1573","846.3432"
"M247.1047T60.7","247.1047","60.653177","1862.5905","863.4889","1205.202","806.7705","1000.39138","1484.4697","1765.96209","795.0282","700.8936","2486.546","2304.34059","543.931","1200.804","1095.31059","1193.85933","979.918","1524.04706","2118.18512"
"M247.1298T309.4","247.1298","309.431807","3211.732","2485.8568","1969.7768","2088.336","1973.09716","1725.8912","2026.96714","1312.7122","7027.087","6067.546","4283.44055","3766.69764","4425.66624","2773.2168","2162.7288","3292.4034","2303.20096","3137.71177"
"M247.1301T253.6","247.1301","253.604867","3791.6976","3571.188","2879.9543","2794.5162","2629.85343","3537.8316","2768.64286","2180.5825","6159.775","4942.284","3748.39253","4365.11571","4674.96142","4301.1048","3560.44096","2688.2115","2531.6904","3267.51053"
"M247.5568T325.2","247.5568","325.215846","2700.5999","2225.5906","3067.9459","2862.3831","2980.58478","2376.6213","2516.46372","2864.8685","2587.634","2216.249","2212.25462","2485.37504","2283.23538","1681.67507","1974.72638","2701.8264","3306.73436","2715.1704"
"M247.5667T210.5","247.5667","210.496549","2028.0853","1856.1347","1200.8571","1716.0384","1507.04534","666.7326","1776.13606","1907.1558","1758.034","1229.611","1500.5328","1485.58716","1047.88117","1571.7465","1742.52918","1213.1593","1946.76639","1604.9496"
"M248.1183T160.2","248.1183","160.230671","2688.1488","1883.6931","793.5392","1628.7894","1591.62975","385.6416","434.5425","498.9275","840.0048","642.9757","312.19855","386.92246","584.21442","294.2352","246.93231","355.9512","199.4928","208.1952"
"M248.2078T24.2","248.2078","24.180005","2363.2351","2515.5702","2079.9646","2517.5915","2492.82367","2479.1681","2893.90872","3066.4512","2263.735","2039.964","1944.89721","1168.01237","1742.81617","2776.49156","2449.47794","2377.224","2898.23559","2396.52475"
"M249.0368T27.5","249.0368","27.494556","8529.724","8348.2223","7657.8307","7680.4531","7447.74425","7244.2562","6964.4169","7465.7911","14743.88","16694.88","14697.84937","14309.37951","13930.24345","10887.81464","12442.4437","12231.7227","12797.41226","13104.1394"
"M249.0605T219.4","249.0605","219.36057","5354.1964","4727.4662","2976.1774","3220.5304","3157.4196","1314.2362","1958.232","1734.1151","4705.767","4323.824","2803.3643","2952.85587","3086.18971","975.04892","696.02867","1312.1225","1346.076","1946.97612"
"M249.0862T183","249.0862","182.995584","4795.0893","4263.7134","4198.7973","4392.5309","2319.96837","3519.4111","4232.06602","2971.597","5793.794","5269.761","8049.21365","5712.47187","6729.01286","3288.13903","5371.78774","4710.1682","4685.08183","3610.96842"
"M250.1464T167.4","250.1464","167.366066","1883.6839","1903.5683","1149.5856","1798.3093","1571.73837","1355.7504","1630.45753","1297.8101","3112.822","3529.039","3522.57231","1992.46998","2392.00854","1883.70679","2087.86642","2168.595","2145.26546","2536.55088"
"M250.5742T325.1","250.5742","325.069165","1170.6901","1069.3292","1009.3215","770.0226","1082.60688","982.1184","1079.66898","785.3687","903.1755","939.4132","598.7043","884.62764","867.84966","971.02543","1087.3404","705.2304","707.7777","662.5296"
"M251.0313T23.2","251.0313","23.172262","3953.8928","6182.6474","5064.7263","5056.2749","5715.71","5273.3807","5830.54547","5900.5601","4869.554","3465.714","4182.73911","4550.66205","4242.30739","6502.68722","6247.29206","4839.5786","5369.41415","4410.92647"
"M251.0681T37.6","251.0681","37.572646","1093.3988","927.5933","1422.6531","1086.0225","1164.74721","716.5084","799.74193","685.0119","2320.431","722.8007","2140.95419","2635.454","2194.67913","2999.89441","3080.69325","3439.4497","1959.5664","2308.9134"
"M251.1846T300.7","251.1846","300.711748","1734.0745","1331.3976","873.8573","875.3664","836.42368","863.0828","670.7772","1086.7602","1171.804","552.1512","380.72317","641.90716","535.03779","1265.6784","868.77663","1055.9541","561.16566","1431.144"
"M252.0762T466.9","252.0762","466.893378","29621.3448","38862.9558","33041.7931","38566.4952","28569.94138","18554.8802","15578.52958","20797.9584","26423.77","26256.58","21502.52234","25813.56724","23119.4808","11964.8976","18697.2629","26823.8301","12952.85196","10839.38914"
"M252.0863T250.4","252.0863","250.368575","1867.3785","1722.2293","936.0051","1139.6982","1186.04957","1653.7301","1818.26864","1593.1303","1689.99","1381.438","1563.53076","1172.937","1177.8198","609.9715","1250.11753","1248.3312","1750.7328","1673.3049"
"M252.1082T190.7","252.1082","190.665577","2763.876","2656.7904","2845.5624","2773.0831","2312.02588","2584.0656","2825.16674","1917.7021","10319.7","10088.79","7431.2736","6869.17391","7205.86533","5937.012","7839.94189","6417.7481","7054.48477","8130.1575"
"M252.5778T466.9","252.5778","466.892859","6697.5219","9004.5383","6786.8189","8510.4696","6954.5592","3717.9727","3205.64057","4545.9743","5692.444","6052.67","4311.4464","5392.15278","5318.89767","2381.2368","4267.77529","5981.6413","2877.01604","2349.38725"
"M252.9744T27.1","252.9744","27.105087","5531.9048","7578.3654","5661.1017","7095.0048","6726.37289","7934.0088","7380.4909","7612.4195","4284.343","5037.881","4941.45382","3849.7269","4404.1872","4467.84806","1047.07623","4975.7195","6290.79332","5075.724"
"M253.0661T271.1","253.0661","271.074154","5339.551","1497.8297","800.8936","931.7702","1016.66202","1327.1934","664.1976","513.4104","3434.412","3257.604","2980.50973","998.18852","2238.92965","847.344","911.86545","1001.715","1298.57503","2692.81227"
"M253.1008T302.8","253.1008","302.802737","7904.4802","8804.3712","6208.0713","5893.7112","6650.71866","6094.3694","8244.91009","6227.4112","5427.979","4658.843","4153.04589","4488.78132","3984.1353","6314.25515","5747.07753","6080.966","5476.044","6908.5224"
"M253.1279T50.8","253.1279","50.76421","12783.2369","11439.5868","8182.8744","7227.3329","8796.02312","10877.067","12756.37811","10908.9528","14760.51","17112.13","13764.82019","22280.0624","11220.60293","12180.67515","10937.55585","11107.7552","16863.50843","14838.51693"
"M254.0629T292","254.0629","292.036362","2321.9255","1293.7345","2314.6635","2918.5138","2335.2","2217.6066","4914.2616","2332.1976","2965.764","2839.067","2211.4344","3162.01091","3048.51709","3170.31508","2839.9368","2488.0813","2655.56214","2526.2085"
"M254.1596T56","254.1596","55.951875","6009.1257","5275.9693","4552.5545","3681.3926","4677.76299","3640.3187","4271.09486","3835.1556","4239.24","4549.486","5864.3544","3945.20431","5091.46848","4001.27283","3613.72149","3432.0768","4287.91272","3666.4733"
"M254.5608T210.4","254.5608","210.44268","19707.42","20213.3642","12280.8572","12690.0941","14993.33635","14447.4668","17070.7572","16090.5288","18173.17","14333.41","11586.12727","12631.404","12996.3888","15320.95289","15343.5984","15685.5644","15803.05009","16055.76805"
"M254.5608T289.9","254.5608","289.862917","10466.7","10978.0148","8436.3267","6571.92","9269.4096","7098.2518","9650.7144","10422.5821","6691.125","5773.184","6071.39857","6983.34","5881.41303","6451.76973","5999.84777","6479.0747","6920.1984","6868.56365"
"M255.0186T271.5","255.0186","271.525286","602.034","398.8312","420.282","689.6165","874.85652","756.3392","523.46795","812.9062","702.4467","967.1892","1012.52564","885.77438","681.01367","651.47198","699.96273","878.7632","767.6136","1024.58258"
"M255.0622T210.4","255.0622","210.441126","5032.6896","4621.7499","2781.0621","2980.6443","3472.52744","3626.8075","3910.87385","3691.9528","4087.125","3238.244","2488.49022","2386.82689","2912.9952","3047.55877","3771.297","3976.0355","3947.21573","4057.78373"
"M255.0589T290","255.0589","290.01427","2607.4176","2367.3447","1112.6672","1644.5026","2383.7742","1452.828","2076.54607","2063.316","1673.671","1011.095","1166.9328","1333.2114","1165.25354","1815.1176","1429.1424","1014.5916","1384.59563","1999.12042"
"M255.0881T394.6","255.0881","394.56478","355.0255","1451.8272","1073.072","1064.0833","1127.805","730.6983","591.00052","946.6828","683.88","709.9008","509.4072","554.1096","692.28553","899.14183","770.68895","353.8917","636.33866","498.03035"
"M255.134T579.4","255.134","579.368183","1245.097","816.9864","559.7216","829.731","622.90121","950.9932","1288.23104","1311.4767","1839.725","3017.992","1599.2784","1515.69623","1884.84","1273.12","1979.40055","2000.9419","1287.0606","1373.99261"
"M255.5716T210.4","255.5716","210.441126","2415.5976","2382.7137","1845.6965","1498.3394","2062.55215","1089.8712","2024.06496","2016.2784","2284.183","1614.95","1744.34596","1533.8928","1869.11948","1919.01913","1931.44196","1827.6987","1158.6948","2053.14423"
"M255.5725T289.8","255.5725","289.792076","1959.0473","1965.4477","1200.5184","851.3416","1596.276","910.8704","1888.5096","1269.5257","1138.271","899.8348","1141.2456","1274.352","1252.90516","1135.2408","1217.52474","1334.8599","1488.66411","1051.092"
"M255.9421T20.7","255.9421","20.732943","1082.8656","979.3615","1348.7448","1054.5281","1096.5084","1041.9148","699.61425","1037.0464","1167.724","1280.855","826.21161","1094.76033","1055.1768","1107.74169","946.66789","697.7393","1087.41375","988.25014"
"M256.0788T312.6","256.0788","312.64533","5141.1963","6777.4894","5087.0664","4235.6786","5785.0335","5467.597","5743.32519","6354.6404","4040.639","4646.357","4145.37104","2589.53289","3290.43658","4651.3848","4355.11565","3238.8315","6321.19757","5477.77449"
"M256.0802T483.2","256.0802","483.237038","19074.7321","16523.7537","21582.256","12595.4513","14581.64804","16402.3786","13792.12245","21023.2828","36340.61","39825.03","38839.74877","27332.1816","27026.47184","26305.44591","29933.5944","36747.8156","32914.42846","37650.09602"
"M256.0816T34.7","256.0816","34.743092","7772.88","8694.2831","5634.9848","5319.6941","6444.91751","5818.2011","7705.403","6791.8298","4528.626","4430.624","4495.94735","4750.63213","3401.06433","4857.42282","3460.68152","4112.0092","4934.53767","5337.43848"
"M256.1066T160.3","256.1066","160.31953","11843.1336","9382.7067","4348.6533","7465.9111","5728.38933","893.7144","1726.04417","1318.0536","3054.098","3174.214","1092.278","1345.06408","1928.47477","642.285","589.61256","1020.4824","509.4072","872.49475"
"M256.6081T160.3","256.6081","160.281914","2483.3184","1510.9289","992.0214","1464.7435","1425.8064","235.8938","343.2744","374.5715","577.5415","560.448","371.519","251.49327","529.50976","247.1976","171.804","312.2496","214.80327","256.914"
"M257.068T359.3","257.068","359.293924","3461.211","3109.6604","2013.7437","1577.7971","1396.395","2096.6324","2099.5246","1971.0699","1587.541","1470.509","1389.1941","689.30614","1371.29978","1620.9624","1366.4256","1008.9019","1618.41947","1499.498"
"M257.0838T483.2","257.0838","483.238249","2312.9513","2559.0456","2885.3064","2170.899","1553.9318","2463.4796","1831.7976","2797.4613","4865.222","5407.879","4892.67548","3641.63827","3845.67321","2916.6648","4255.05371","4728.1193","4234.50532","4426.26509"
"M257.1277T376.7","257.1277","376.729667","1886.5984","2173.2277","1311.7354","2224.7428","1960.2525","1622.8117","1799.74663","1887.8321","2055.207","1985.921","1933.71357","2061.3144","2118.3892","1885.84632","1941.08815","1825.3444","2128.368","2179.5642"
"M257.1895T543","257.1895","542.959566","1015.9135","732.3983","413.1277","211.5024","370.23545","682.5456","814.23623","581.2148","2596.52","3069.454","1242.66","1748.64917","1359.84522","542.4336","1004.01795","1210.749","577.4616","1061.72733"
"M257.2473T920.9","257.2473","920.876501","13010.4163","11975.5728","11134.8155","11218.7076","11381.73677","11422.5969","12504.92456","12177.1635","13967.26","14974.3","12625.092","11902.7134","12542.61713","12217.58625","13775.2049","13490.5781","13857.9675","11929.6584"
"M257.9769T21","257.9769","20.959232","2861.2872","2626.1779","3867.9908","3581.5195","3038.21663","2660.0972","3056.38667","2645.6976","3357.307","3821.368","3893.5275","3049.86262","3118.75483","3044.45647","1460.33432","2434.6301","3518.515","3474.12884"
"M258.0383T432.3","258.0383","432.33514","907.8414","1289.0912","1138.0558","782.9592","908.64468","945.9833","989.24824","1476.7665","1411.918","1648.474","1497.16233","890.01124","1184.50146","1062.54777","1023.57684","1377.81","1403.92168","1969.86636"
"M258.0767T483.2","258.0767","483.229854","1586.9352","1802.1589","2139.3777","1353.6429","855.87764","1160.2117","1394.09415","2434.3732","2990.395","3654.002","3792.9332","2755.77214","2507.16504","2105.55997","2852.05878","2728.6907","3361.13265","3533.91392"
"M258.5626T325.1","258.5626","325.078206","1218.7697","1126.2336","1024.2288","1114.6553","807.88838","1115.892","1067.29412","1005.4558","848.848","856.5707","951.4272","898.48579","876.3672","762.42032","814.12657","653.1197","759.615","816.07193"
"M258.9779T20.8","258.9779","20.840835","737.3717","508.4717","838.7399","713.9521","699.18589","484.4816","684.49443","450.225","966.6859","916.3168","1039.7514","885.48814","555.66995","657.66482","336.312","620.7031","758.87175","601.97201"
"M259.0493T242.7","259.0493","242.718195","1092.2064","1598.5599","1239.628","669.9397","1007.6042","1080.1968","1214.04706","1160.2252","1057.631","1024.704","758.44328","638.78655","1006.03707","981.67444","778.52904","935.748","513.18536","1055.5104"
"M259.0703T21.8","259.0703","21.766454","872.5755","1272.3504","1153.5534","1080.3101","1210.92956","937.6754","1121.12877","1215.8991","546.3385","327.2027","398.09492","510.43625","507.64086","541.80903","549.34038","689.0936","561.40243","441.16962"
"M259.1148T160.4","259.1148","160.363541","49741.0484","43242.8902","26595.1016","33803.4491","30300.93733","11638.6914","16143.2376","12783.0892","31171.85","26767.07","18366.87683","18438.4056","19459.2216","10247.81665","8430.28402","9991.4744","8757.0109","10830.3782"
"M259.5562T338.9","259.5562","338.922642","1618.6272","1534.4183","1546.3684","1414.3516","921.15","1172.6957","1537.99844","1204.0991","1740.739","1405.325","1295.03597","1681.96566","1345.536","1657.95654","2107.6848","1840.0917","1450.28576","1405.33643"
"M259.9848T23.5","259.9848","23.546214","942.1085","1071.8086","694.2216","721.6994","888.65712","444.555","540.94349","756.4299","1493.869","1775.815","1046.92745","1588.85345","1187.91988","993.01556","1119.69378","1166.3524","1278.81504","1464.2406"
"M260.0737T308","260.0737","308.048796","18219.2304","16534.2168","15279.2136","20401.2604","13341.36971","9709.9737","8455.2336","9439.5456","18840.83","17107.99","14987.28852","14709.53568","22570.93901","8163.76092","12425.27548","16315.4855","13688.57106","9869.14684"
"M260.1181T160.3","260.1181","160.302312","5792.8985","4854.5939","3028.0173","4039.4979","3494.21318","1101.6333","1548.75971","1358.7528","3297.033","2790.833","1234.87644","1764.88827","2153.89002","885.27487","987.87035","967.7736","621.7372","754.341"
"M261.0369T283.5","261.0369","283.510339","3735.523","4911.9264","4096.6067","4159.0567","3074.88433","2916.1407","4107.62917","5232.6101","2861.773","3052.754","2349.072","2769.09967","3081.46519","3399.99554","3764.49667","4299.3643","3847.34322","3169.2"
"M261.0728T59.5","261.0728","59.528517","20729.3338","13832.5663","11517.7767","12526.0967","5983.91235","15341.5893","21222.55171","11311.4904","36753.98","27906.99","21893.29109","19244.1492","23732.39896","12426.99902","16042.34652","11614.6653","11599.85474","7006.7938"
"M261.0725T391.8","261.0725","391.816546","2044.3008","1027.026","1133.3875","689.7992","1387.02462","984.4536","1223.15357","1042.9225","945.756","1420.937","1029.90037","1246.85817","1293.56105","965.01344","1077.15132","1066.7569","969.69214","863.79396"
"M261.0817T466.9","261.0817","466.893378","29872.1432","29746.0793","24124.6176","27522.1681","21967.713","13251.9606","11915.98491","15038.688","20218.62","26011.86","15802.2984","19137.087","16584.1528","8098.8072","14018.5713","18647.0612","12863.39331","10507.8215"
"M261.071T225","261.071","224.95668","2221.472","2550.6221","1405.281","1390.4448","1632.64567","1997.3898","2295.168","1781.2004","1646.983","1834.191","2000.2656","2538.61445","2222.4444","1481.0706","1427.5686","1943.1652","2488.88376","2135.94747"
"M261.5829T466.9","261.5829","466.922218","5083.3968","9058.6708","5463.3672","6366.1956","5069.052","3260.0399","2542.032","2633.1048","4955.998","4344.674","3517.4784","4636.632","3738.26813","1767.8978","2622.82265","4485.6027","2713.74289","2039.55879"
