"","mz","rt","POS_SF.100109.114720","POS_SF.100109.121711","POS_SF.100109.124896","POS_SF.100109.124904","POS_SF.100109.130034","POS_SF.100109.169058","POS_SF.100109.199550","POS_SF.100109.227718","POS_SF.100109.231142","POS_SF.100109.239012","POS_SF.100109.244079","POS_SF.100109.255622","POS_SF.100109.259700","POS_SF.120831.00062","POS_SF.100109.142930","POS_SF.100109.146730","POS_SF.100109.199546","POS_SF.100109.225118","POS_SF.100109.252159","POS_SF.110121.00073","POS_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M137.3644T82.7","137.3643658","82.69000002","1420.259543","944.0994745","598.2877993","867.8705104","888.6035236","798.0328643","939.4402523","2436.354032","1869.991366","2157.05281","2038.945561","838.3189159","1104.857886","1033.224648","1407.090026","764.8347982","2059.147801","2515.642839","1262.545058","2904.638255","1421.997243"
"M280.2634T770.4","280.2634312","770.379","7432.142768","13824.30094","6631.992701","18373.95428","12713.94649","14348.66022","22562.00825","13030.24402","12681.4982","7208.401848","14708.39611","13814.6326","11367.82024","8999.482268","420.774777","17604.34258","7728.130305","6582.452239","2127.389934","1786.963444","9474.016617"
"M419.8808T278.7","419.8807902","278.65999998","1616.160448","1216.664784","947.6527972","1049.380437","1670.552952","853.9504185","1392.993317","319.5138249","379.5586064","1145.024437","668.2342414","1964.470708","367.9966683","1164.21925","1425.908869","812.5635916","449.6176521","401.4291125","181.2180008","244.8887262","574.2559638"
"M219.0171T65.4","219.0171217","65.445","4897.382205","4735.248805","6320.543021","3630.310848","3355.899455","5036.597202","4166.179027","9569.426662","6667.106534","7565.853192","4701.872689","5137.541542","6210.280621","4391.636967","7275.597054","4555.293901","7405.306898","6269.451728","6550.001996","10485.23729","4574.337354"
"M72.0805T79.6","72.0805394","79.647","750.0271136","432.0208988","685.8131413","769.9164805","1010.528045","574.7870867","725.6010492","205.4211165","966.4141065","383.6233143","601.6079965","620.0896145","725.6737467","782.8598249","448.3631166","435.116814","356.1123393","278.0459071","568.297714","372.8874009","229.6054892"
"M229.1533T128.7","229.1533135","128.682","7826.780616","4467.085103","8467.933234","5004.136811","7152.321676","6073.975224","5393.593236","9333.462226","6119.790077","7609.377313","4846.751024","5827.206075","9417.375762","4504.134231","6443.459702","7165.871277","8480.136796","12147.61141","13029.27097","8599.68506","8705.027426"
"M265.0303T119.4","265.0303188","119.38099998","1436.420305","1642.777421","1760.865681","994.2781998","1476.130826","2064.483325","1644.37998","3942.839355","1149.251545","2884.809231","2374.790684","2086.540819","1555.05766","1222.855581","1808.509993","2381.362726","2195.019167","2848.183767","2914.198519","6442.497315","3059.14589"
"M263.1338T871.5","263.1338052","871.5139998","1002.816694","1563.491244","1219.767463","1442.809723","1097.603606","1252.139176","1047.524566","8300.584721","3444.263741","2272.484983","1292.194716","1818.070741","2193.559388","1200.915081","1369.559126","1847.413053","1472.660492","2752.844553","2562.754501","3150.178799","1648.309368"
"M72.0805T211.4","72.08053454","211.365","878.9952997","785.6200814","825.5198136","922.5058358","1297.354057","767.9412808","974.6070523","506.4648792","1137.334527","718.0564532","893.3606075","836.2144284","1164.765222","1284.905889","939.6830983","789.6471548","735.1265113","484.7400132","538.3477333","455.9435863","528.377844"
"M222.0069T295.9","222.0068881","295.905","622.6580473","408.4696069","852.3729468","318.3583423","360.5724356","639.3047315","384.6424075","423.8881437","98.80338708","528.263395","242.4430647","440.9928569","167.9263317","111.5965764","291.2418306","422.5543943","565.0832145","582.5379824","360.5594193","2260.233762","682.9825054"
