"","mz","rt","NEG_SF.100109.114720","NEG_SF.100109.121711","NEG_SF.100109.124896","NEG_SF.100109.124904","NEG_SF.100109.130034","NEG_SF.100109.169058","NEG_SF.100109.199550","NEG_SF.100109.231142","NEG_SF.100109.244079","NEG_SF.100109.227718","NEG_SF.120831.00062","NEG_SF.100109.255622","NEG_SF.100109.239012","NEG_SF.100109.259700","NEG_SF.100109.142930","NEG_SF.100109.146730","NEG_SF.100109.199546","NEG_SF.100109.225118","NEG_SF.100109.252159","NEG_SF.110121.00073","NEG_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M735.1015T37.9","735.1014562","37.88500002","105.0603627","151.3584881","97.75099889","144.4388441","126.0362809","108.8602852","160.9085638","474.9768429","373.1566925","603.9728022","411.601168","219.4458992","314.6480415","270.2785366","497.0378731","352.4749244","955.6350277","1162.336856","860.9920587","1051.077863","618.4791359"
"M826.061T54.1","826.0609579","54.11500002","130.6373239","298.4093343","262.6916088","467.8934493","208.5476143","207.6870957","226.6160907","1953.160503","1550.255168","2341.290023","974.3774559","1118.568983","519.0158635","1613.857891","2792.759746","1273.372457","1474.308642","1633.80518","1901.907471","2886.557884","1550.002109"
"M115.0025T54.1","115.0025373","54.11500002","1169.979194","2161.46899","1473.461296","2597.605711","1286.887765","1205.673371","1506.282033","6967.931884","8822.403906","13314.68248","9165.005869","5071.729604","3508.91635","11686.59539","10644.8381","6731.895982","5854.77605","10012.64373","14475.1901","13000.04933","9444.714098"
"M259.9404T38.9","259.9403879","38.89900002","149.1378605","306.5428019","162.8589077","411.3320803","207.6000405","201.7899965","306.4748115","475.614677","1050.689211","1039.11862","704.2131294","529.2574161","798.8618738","848.4575917","942.8045448","923.3340749","1486.031059","1882.596006","1567.236329","2849.20929","1552.439084"
"M282.0372T45","282.0371694","44.985","1948.465801","2425.409245","2334.323168","2496.676469","2077.934783","2561.59017","2666.866523","8718.860206","7679.852927","7573.08058","4488.027508","4827.058485","3964.749816","6270.612142","7443.535879","5906.534717","8386.164823","10206.04403","17436.83279","9164.713091","10790.12541"
"M487.0964T43","487.0964196","42.957","162.0851919","471.57226","131.0652897","811.4506517","185.0516948","316.7563294","286.2070182","1952.011629","1441.425222","1799.502825","1691.016751","975.272834","1153.570208","2283.185229","2785.546193","1932.351957","2062.891017","3246.216098","7393.238824","5447.736393","3743.418866"
"M725.8203T393","725.8202951","392.97199998","1718.768889","1436.516799","1633.287607","1123.803726","1858.00111","1556.265969","1640.419257","513.3552388","632.3589813","460.4896375","548.0393161","652.3883347","603.3923032","413.3237626","495.1182443","593.7896315","805.6112984","462.1847441","301.5008334","251.792644","365.6357039"
"M201.9662T40.9","201.966234","40.92799998","58.45912929","95.84008176","52.59228027","93.0547511","67.42492612","77.85048544","110.0278853","178.508456","170.0875766","211.5450732","178.6770882","111.6035486","127.2407781","223.7167856","294.9908628","191.2799347","321.9852363","414.2466486","487.2774378","605.4721821","547.8384158"
"M288.7931T626.7","288.7930742","626.658","119.8994531","195.2170417","121.5955192","33.75083657","53.85318492","141.7380171","85.59806013","363.4134597","510.0915728","700.0338323","290.7073285","747.6359544","834.524144","728.7127876","811.6937396","586.0853712","634.3019127","1180.626187","1268.936887","1532.107866","604.0216526"
"M838.1322T37.9","838.1321724","37.88500002","67.12954356","88.07074072","50.85054528","130.5651965","109.6715456","64.32078456","108.5678564","464.8092264","425.7877564","542.0217417","442.1787398","212.3833726","289.9048903","316.0098753","348.328024","350.7216155","1106.809737","1479.302461","972.4534066","899.8792756","462.8735548"
