"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M337.2046T786","337.20465","785.99345","519.2344","15984.14","13287.99","7848.328","4837.2","9495.924","8592.385","8631.897","6865.786","7187.946","16824.81","11644.18","13460.25","19581.71","15858.17","7810.898","6586.9655","6763.406","10567.59","9741.064"
"M337.8243T25.8","337.82429","25.79957","3577.469","1428.409","2309.141","2608.747","1792.755","2791.403","2647.593","2361.187","2610.148","3046.938","609.7211","925.2405","755.1255","710.9012","1041.783","1046.464","674.6756","738.5253","1026.513","670.0015"
"M338.0877T177.5","338.08768","177.47283","3635.939","2536.377","2557.111","2862.142","1465.179","1933.79","1805.694","1902.761","1624.87","1397.994","4569.343","3257.155","3872.757","3430.435","3257.186","2333.422","2195.0267","2639.872","2868.499","2006.511"
"M338.0903T98.5","338.09034","98.46592","96893.5","54990.14","73456.55","106352","32845.8","40919.8","50473.14","50114.81","35951.74","36442.31","196971.7","122799","167220.5","211733","117786.4","82343.6","2623.8206","108917","78613.76","53663.63"
"M339.0709T283.1","339.07094","283.12121","43376.74","64329.08","40565.74","18522.15","4714.022","6690.734","27695.17","27517.06","609.9715","572.9959","304486.7","147519.9","39641.29","66934.4","49796.68","46206.32","89359.6343","94165.38","109692.3","106314.2"
"M339.0727T168.8","339.0727","168.81226","14583.04","10983.66","10965.88","11543.52","7037.039","8304.98","9838.506","9432.988","8726.522","8139.084","2255.978","1252.731","1699.226","12371.04","1333.778","1179.021","380.8342","2895.325","1655.97","460.5741"
"M339.0926T98.7","339.0926","98.69146","17481.36","9394.43","12195.56","19718.43","5820.774","7554.068","9611.469","8624.115","6895.467","5963.359","34620.53","20982.04","30107.16","38177.57","21660.31","14968.78","7626.0412","17771.69","11940.25","10548.68"
"M339.1096T218.6","339.10961","218.62231","930.8683","1266.47","1236.618","1053.509","475.285","777.055","781.5748","714.8096","748.0725","707.8083","7289.998","4820.554","4351.056","4102.461","3022.428","2931.131","3008.8731","3284.744","4606.09","4048.244"
"M339.1218T302.4","339.1218","302.43351","8437.884","5421.882","5915.023","8338.801","1999.761","4869.205","5087.684","2753.868","369.5022","382.6064","20737.47","13237.49","19665.28","13377.66","16867.21","13583.07","11102.2204","10293.48","10605.14","8673.701"
"M339.1219T345.7","339.12192","345.6697","408.9936","656.3034","530.5406","1322.915","512.2253","718.3159","1296.384","590.5158","457.8021","443.798","48257.27","32504.13","40607.93","6893.63","36260.5","22389.44","49102.7943","21432.24","38395.89","48249.54"
"M339.2128T815.4","339.2128","815.38614","11084.93","2522.637","2496.686","1780.351","1024.394","557.2785","1875.054","1507.622","1417.878","1215.307","10275.62","6966.99","9991.654","8983.174","5176.855","2774.464","4151.5191","4628.78","6544.516","9927.148"
"M340.0741T283.1","340.07407","283.09564","6865.955","10214.44","6732.743","2911.328","658.4672","1064.115","4730.609","4927.243","242.1368","218.756","50400.87","23577.25","5932.04","10751.41","7588.369","7311.125","14428.3457","15735.04","18489.01","17254.72"
"M340.0631T57.3","340.06312","57.29034","9521.316","5551.909","5740.651","6634.748","2756.127","6123.269","6979.697","6797.51","5070.999","4900.381","2964.556","1056.275","3307.329","2392.439","3172.024","4287.282","1275.9949","1945.119","1870.495","2370.045"
"M340.0759T168.8","340.07586","168.79017","2224.202","1953.43","1486.987","1649.392","1160.437","1121.118","1694.467","854.7605","1358.272","975.954","532.152","319.1732","487.3498","2220.277","369.1744","387.4214","107.0418","564.4946","279.7945","121.7119"
"M340.1058T37.5","340.10576","37.46565","2574.948","2378.248","2630.197","2819.293","1812.763","1582.054","2684.249","2640.536","2358.969","1922.452","1158.821","1078.12","1065.199","1341.682","1283.068","1533.312","1221.7991","1082.391","1215.608","1186.259"
"M340.1246T302.4","340.1246","302.43885","1691.729","1494.016","1023.292","1636.484","345.8866","698.6635","382.7432","1142.727","168.3991","121.42","4829.356","2747.471","4322.16","2507.928","3289.718","3180.207","1862.5121","2596.467","2652.687","1916.259"
"M340.1248T345.7","340.12485","345.70964","411.9316","343.8071","319.4139","350.1704","168.762","284.494","269.7769","350.1978","146.3931","149.0492","10688.08","7056.829","8658.272","1596.652","8338.112","4962.648","10516.6358","4752.19","8239.314","10162.13"
"M341.09T213.3","341.08997","213.34778","3619.251","4603.842","4653.044","3415.016","1320.957","3369.344","3868.373","4086.827","2372.924","2448.156","7302.545","4593.651","2682.168","3342.7","4145.167","2464.195","2009.0251","2495.159","2751.543","1718.972"
"M341.0891T185.5","341.08913","185.50676","27436.21","17039.63","17421.81","20619.39","9948.927","18174.92","24505.58","24329.19","13261.6","13301.79","7784.847","8411.844","7995.366","11015.4","10133.04","16177.39","10866.097","14438.93","10294.21","6451.824"
"M341.1095T375.8","341.10953","375.77977","20117.87","18968.3","20292.41","18823.56","18348.88","19727.92","20257.24","16726.46","18748.43","17411.79","20391.89","18861.12","20362.36","19304.98","20505.04","22350.78","24528.9297","21110.35","21314.97","21327.46"
"M341.1016T279.2","341.10161","279.24637","2697.437","2622.668","3273.184","2314.976","1040.688","2636.391","2157.894","2336.585","1249.814","686.6611","9491.661","6546.028","7542.849","6831.014","7863.409","4934.531","8920.7816","4812.781","6724.649","7745.858"
"M341.1092T32.9","341.1092","32.93032","35511.07","22747.19","23284.47","18861.18","23446.41","41087.21","38854.24","41608.46","46147.58","42628.54","36917.32","76995.2","37734.99","26937.52","50667.99","34980.98","22271.857","31925.96","34351.56","37450.49"
"M341.0931T58.8","341.09309","58.79801","69492.37","58640.49","56502.21","63713.43","31819.32","50893.35","77256.87","77220.46","49417.9","50445.91","36603.43","22637.18","33061.43","19007.58","30450.3","31697.95","26929.6545","28891.59","24287.38","21985.07"
"M341.1234T265.5","341.12335","265.48111","2338.502","1002.62","1545.828","1559.54","783.725","1480.111","2030.087","1711.189","1751.542","1092.218","4818.581","3153.242","2994.665","1558.324","1871.228","4420.984","3142.237","2121.226","3670.701","2772.801"
"M341.1086T50.2","341.10862","50.22251","22838.3","16037.8","17983.04","19987.39","12602.52","28335.23","29275.69","28368.89","29325.19","28450.81","27973.34","31962.71","26603.44","19752.26","34874.83","22634.81","17685.1512","24255.33","22313.07","19564.41"
"M341.1243T180.6","341.12433","180.63352","8606.792","6029.53","6410.029","6482.518","3224.911","5526.764","6696.55","5563.427","4656.598","5205.491","33319.65","29311.67","30695.34","28812.22","27062.86","19402.25","21144.8045","25741.94","21905.03","22352.86"
"M342.0582T346.1","342.05823","346.07263","11298.19","7008.002","8545.181","9944.118","3015.916","7055.488","10138.06","10108.65","4407.055","4483.95","9614.525","7624.653","5315.591","13645.17","12070.69","8953.191","8443.6543","11879.92","15680.31","19574.49"
"M342.1031T279.2","342.10306","279.21411","1182.293","1019.466","1269.921","1254.347","614.2807","769.0181","1139.854","923.5971","647.5183","662.3594","2701.831","1525.789","2156.17","1790.278","2078.833","1708.931","2029.4469","1489.926","2056.571","2136.991"
"M342.1117T375.7","342.11174","375.71338","4519.159","3815.554","3745.08","3484.488","3606.069","2399.453","3709.854","3549.322","3430.253","3610.031","4288.051","4545.276","4498.098","4341.27","4179.237","5017.673","4566.8516","4046.115","3667.613","4257.889"
"M342.1249T181.1","342.12488","181.08009","1470.753","1419.597","2950.153","3302.843","1035.029","888.7242","953.9146","1123.756","2215.156","2284.239","5941.274","5216.416","6027.184","4508.47","4173.038","3301.417","4050.9881","4089.5","3532.427","3931.729"
"M343.061T346","343.06095","346.04661","2169.215","1154.564","1658.14","1295.615","437.8067","974.7231","1582.838","1384.449","976.3625","940.329","1487.868","1475.801","392.1019","2165.424","2209.002","1286.452","1106.3981","1673.711","2026.414","3423.784"
"M343.1008T234.5","343.10082","234.45225","6339.734","6326.39","4423.195","5029.962","1686.176","799.0639","1503.182","1502.418","1264.585","1036.696","545.3426","3397.828","1948.587","2414.419","3091.397","483.9569","524.535","575.4484","264.7196","603.2111"
"M343.101T171.1","343.10104","171.07721","3357.469","2667.267","2598.104","2654.877","893.78","1402.614","2489.185","2178.809","528.4204","1225.976","5183.496","1787.199","2712.898","2580.289","2561.877","2482.575","650.9116","2267.534","2378.417","1921.96"
"M344.097T48.6","344.09701","48.55908","5803.556","4863.954","4823.566","5645.553","2357.266","3338.822","4283.913","3925.864","3118.415","3233.9","3779.518","2220.228","3108.052","4186.61","2890.624","2404.74","1026.241","3023.197","1645.71","741.8128"
"M345.084T167.7","345.08398","167.68263","351556.1","338091.9","290452.9","326698.6","157789.8","416859.5","432170.1","432255","354511.5","346634.6","39867.39","22641.16","33331.21","26793.09","23383.52","162024.2","131897.1635","98401.62","102124","47211.93"
"M345.1153T234.7","345.11531","234.71222","10069.7","10250.59","9424.642","9943.877","6716.978","4534.037","5744.32","5386.429","5229.056","4614.363","957.145","6925.758","3177.854","6694.486","5902.818","3958.284","2399.5587","3658.04","2900.333","2485.461"
"M345.2039T825.9","345.20393","825.93204","43205.02","41022.52","47777.23","51257.58","2264.998","52172.22","26089.55","25355.78","33429.42","31183.93","60334.54","32045","41948.6","63390.22","28344.8","37145.31","38569.1647","38583.45","44564.4","34576.94"
"M346.0867T167.7","346.08665","167.73376","54636.63","53397.13","44953.12","50985.27","23884.15","63050.83","66571.73","67070.87","54940.07","53219.05","6069.457","3590.629","5136.902","4462.666","3525.774","24144.62","20996.5249","15320.33","15717.51","7346.15"
"M346.2081T826.2","346.20812","826.20304","8333.714","8484.871","9809.869","10426.42","834.5717","10232.03","4937.41","5376.202","7052.18","6537.938","11924.18","6415.408","8576.559","12539.95","5767.647","7315.969","7952.9383","7215.728","8928.884","7248.272"
"M347.0735T53.1","347.07351","53.12006","30016.16","19846.76","17293.27","23345.41","5648.103","14897.74","15302.94","15359.88","11644.67","10948.02","6604.811","2734.88","3158.105","7202.933","2892.503","6556.573","2498.0791","5845.302","2078.076","860.1283"
"M347.0884T167.7","347.08844","167.66843","11715.9","11413.06","9650.321","10252.52","4977.513","13380.36","14354.89","14212.31","11317.3","11382.98","1082.654","789.1306","1020.805","637.1724","981.9712","5133.466","4322.5123","3299.326","3419.27","1888.548"
"M347.17T290.9","347.16998","290.86157","6358.389","4794.917","3337.577","4434.218","2254.356","2331.692","6134.732","6020.315","2148.805","2162.82","3402.034","1995.73","2947.698","2967.038","2670.668","2829.837","2147.6112","2483.304","2061.459","1939.114"
"M347.2198T877.3","347.21978","877.2976","64288.56","61231.16","65607.9","68730.97","8359.349","72609.69","46136.1","44453.83","57707.26","53031.84","76686.24","52117.28","56496.2","92947.12","50626.52","53524.79","53246.3692","54410.71","63373.92","52319.87"
"M347.8541T25.5","347.85406","25.46675","1199.429","1609.94","1498.918","1396.488","952.4524","1753.219","1316.416","1480.286","1574.197","1571.873","944.7407","647.2488","956.9908","830.2532","793.736","837.1046","871.1089","563.2109","935.2237","719.6153"
"M348.0755T57.6","348.07552","57.6295","11607.24","8596.032","8309.846","9477.87","4338.059","7417.332","8673.097","8548.579","7215.655","6927.15","4691.966","2668.378","3616.477","4506.518","2434.043","5019.383","1753.3073","3685.811","2825.308","1158.672"
"M348.2233T877.5","348.22333","877.54678","13883.82","11414.43","13340","14493.81","1756.793","16569.07","9416.859","9348.203","12324.85","11562.61","15964.89","10556.3","11871.98","20031.08","10817.77","11929.67","11032.6469","11606.94","13255.46","10628.97"
"M348.9843T271.5","348.98426","271.47859","825.1915","1228.713","1101.289","971.2774","881.1101","1545.485","1117.837","1183.057","1206.603","1483.599","547.2501","830.9752","520.9939","965.1103","637.3949","991.8352","640.1829","699.9865","838.1214","794.7645"
"M349.0806T57.7","349.08055","57.70934","7204.668","5453.293","5716.773","6560.494","4032.682","6196.931","6688.602","6305.625","5905.91","5947.611","2342.72","1207.712","2690.355","3301.257","1990.637","3217.81","2067.4365","2702.26","2744.038","1764.607"
"M349.2359T934.9","349.23586","934.93514","20029.76","19386.69","18602.98","20613.97","4600.672","26086.32","12854.28","12455.02","17850.72","16514.57","49705.73","35120.45","33801.99","71710.17","36926.87","27598.55","27684.4632","35048.74","34582.9","41325.1"
"M350.0391T362.5","350.03912","362.45205","2246.251","1274.536","1297.111","1503.49","726.821","964.229","2868.998","2989.863","608.2779","635.1143","1201.806","873.2724","639.936","1207.818","1280.011","793.8934","442.1861","974.9458","1358.297","1737.205"
"M350.0915T57.6","350.09151","57.58003","237079.2","215897.5","193608","209360.1","126356.8","196636","197699.8","203150.7","177474.1","177114.6","74976.79","46482.94","54094.48","82997.7","41414.16","100338.1","45972.9047","82978.94","52939.32","39238.53"
"M350.2386T935.1","350.23864","935.10178","3863.843","3731.983","3674.068","3861.42","873.7277","5148.303","2806.6","2642.193","4032.82","3432.451","9979.978","7428.488","7369.105","14775.86","7619.254","5371.619","5695.9045","6929.821","7731.966","8733.847"
"M351.0477T531.5","351.04766","531.50849","5490.027","4328.445","5557.635","5504.868","4701.84","5163.468","5044.782","4788.085","5411.831","5300.099","6294.131","5883.595","5432.896","5851.452","6209.372","6168.974","5912.8605","5796.383","6256.326","5894.946"
"M351.0937T57.6","351.09369","57.58003","38513.19","35397.75","30886.27","34358.99","20162.03","32404.17","32845.3","32754.62","28589.42","28802.82","12756.81","8017.082","8217.463","14196.9","6610.432","16825.06","7562.1014","13815.69","8864.728","5991.213"
"M351.1304T164.3","351.13035","164.32617","85402.8","71105.06","72488.65","75315.68","35495.94","60552.74","65215.2","64798.51","57711.42","57827.3","317442.7","267183.5","233822.6","202293.1","168952.1","223421.3","185612.153","257434.1","230054.3","175509.4"
"M351.129T222.7","351.12896","222.68593","2637.775","2174.058","2125.297","1917.873","620.496","1080.788","1400.328","1324.832","537.8894","1061.399","2423.999","1645.968","1967.93","2177.461","2175.188","766.9615","902.6943","1131.092","1919.684","1167.229"
"M351.1651T266.7","351.16512","266.73039","2174.901","1051.597","917.1871","821.7043","524.2062","566.5891","880.6287","382.318","585.5977","618.6485","99898.31","91459.47","187734.9","19157.99","109114.9","18167.2","21073.1101","87621.03","43208.08","48842.74"
"M351.2514T997","351.25143","997.00039","7197.42","6549.485","4240.581","4932.053","2588.288","5933.667","5251.539","5277.182","4259.217","4081.833","11823.85","5236.186","5661.526","9823.878","6269.191","6481.886","6977.8165","7089.534","6298.53","8580.065"
"M352.0333T189.6","352.03327","189.59423","5518.921","4032.533","4339.65","4001.476","2157.974","4676.204","2684.797","3539.361","4513.26","4560.567","10037.68","10025.46","9113.431","8241.576","8486.908","8196.972","8576.4386","7654.806","8764.522","8741.57"
"M352.0898T57.6","352.0898","57.57869","15934.96","16129.42","13627.59","15366.43","7907.193","14049.57","13536.35","13992.57","12296.43","12537.93","5188.17","3003.227","4129.944","6544.486","3069.81","6787.375","3404.4373","4917.721","3786.895","2480.346"
"M352.1026T307.4","352.1026","307.36774","2333.631","2001.843","2818.253","2207.106","1258.359","1331.038","1612.569","1994.474","1669.814","1734.55","4884.335","3995.881","7069.94","6275.555","6889.561","1883.022","1894.6135","2151.155","4124.219","2626.98"
"M352.103T239.5","352.10296","239.54356","2386.144","4340.106","4142.015","2002.333","1724.735","3245.5","3955.283","3513.479","3577.3","2917.249","932.7599","828.0805","908.454","732.4798","911.1526","1126.338","989.0829","1715.993","1836.037","2472.175"
"M352.1334T164.3","352.13337","164.28624","13982.86","11134.88","11281.51","12058.89","5775.171","10305.47","10253.13","9977.517","8816.318","9179.159","50404.46","41898.91","37077.85","32332.15","26989.54","35283.6","29455.4292","39638.9","37435.65","27741"
"M352.1673T266.7","352.16733","266.68182","297.8619","214.0633","134.3924","201.4509","62.3473","174.41","131.0576","263.021","140.3951","151.7334","17333.96","13912.11","30635.05","3316.608","17006.73","2818.742","3608.1059","14849.98","6535.541","7699.683"
"M353.049T153.7","353.04895","153.67673","10323.19","7856.965","8504.968","10589.49","5412.985","6753.887","6125.536","6493.023","5174.768","5590.483","23078.53","21355.97","23720.04","22259.38","19522.43","17815.33","19248.4722","19522.07","19236.61","18039.99"
"M353.0477T178.3","353.04768","178.33897","782.2346","511.9225","606.303","533.8268","342.171","430.5485","530.106","468.4738","343.4363","340.5035","1213.359","862.6964","866.3592","859.146","869.5085","1377.063","1326.1658","1124.161","1257.087","1389.918"
"M353.0881T197.6","353.08808","197.60599","2147.763","925.8518","1796.691","2242.409","817.9863","1416.669","1339.633","1402.882","1056.24","1142.206","16031.51","13271.17","17416.83","16766.46","15443.42","5832.248","8070.5061","8944.47","7724.703","6254.191"
"M353.1012T359.7","353.10124","359.65976","2923.777","3029.21","4163.414","2347.059","1308.477","2249.124","2674.003","2761.96","406.87","455.8945","24308.75","10290.07","13571.32","4594.963","12032.89","12220.96","20153.452","7377.486","15424.33","19432.77"
"M353.1005T274.3","353.10053","274.27868","506.695","391.8793","318.4789","342.2443","109.3739","279.7226","369.5022","338.7925","281.4861","211.0603","6005.434","2952.39","6714.41","3109.423","4773.243","1663.7","1931.5793","1900.039","2379.541","1631.799"
"M353.134T164.5","353.13401","164.49826","1818.03","1160.247","3031.727","2735.502","861.5056","1511.039","1250.115","1447.499","1383.541","1580.451","10702.9","9052.183","7403.787","7282.306","4724.492","6938.628","4472.7601","7870.937","6556.761","5640.408"
"M353.1737T513.9","353.17367","513.90829","11247.23","7089.779","8174.841","9786.797","169.7588","11512.37","2439.314","1784.364","7394.919","5551.236","3914.317","2123.59","5057.588","6254.634","1867.346","4940.795","3512.5013","2549.353","1263.907","1628.356"
"M353.1997T698.4","353.19974","698.39844","42253.64","40355.92","37853.15","24305.94","16564.65","21451.48","14412.37","22346.13","20392.3","19061.96","71173.9","46548.78","63594.78","64054.96","54891.98","27591.9","18053.4828","23114.75","26343.1","28117.55"
"M354.1135T285","354.11347","285.03297","874.823","1120.025","416.5035","594.5948","283.3977","481.2025","550.275","796.1122","583.3265","625.5334","2398.388","2058.819","1245.436","801.4005","1511.959","583.7344","1083.2405","1023.652","1406.619","1222.367"
"M355.0009T271.4","355.00094","271.3527","668.1909","1262.731","1442.256","1379.731","1217.563","1347.303","1208.151","1107.076","1376.605","1339.253","342.4146","660.046","477.2206","772.0062","522.6924","1122.266","699.5781","415.9416","357.1938","727.1663"
"M355.1032T213.7","355.10315","213.6838","30176.39","19923.12","20324.27","21461.68","10253.47","18323.91","21104.59","21202.82","14925.47","14668.7","104831.5","79361.49","93647.35","95076.04","69159.56","49606.49","56154.712","73872.82","56701.82","40294.76"
"M355.1031T184.1","355.1031","184.0692","10084","4950.929","6050.225","6573.019","2303.311","3936.574","4766.642","4859.503","3415.947","3606.725","34889.61","29775.35","31976.93","40266.27","30884.81","17765.88","18212.272","24763.66","17267.69","14888.29"
"M355.0882T267.5","355.08824","267.49309","1525.767","1493.965","1682.376","1120.436","649.1298","1073.349","1263.01","771.5895","951.824","1181.483","2073.743","825.6517","2138.684","2495.166","2302.794","1970.436","1592.0335","983.5683","1615.128","1372.725"
"M355.1144T256.6","355.11438","256.58365","1338.335","888.6806","2962.777","2481.347","354.1384","3083.604","1157.736","663.7381","1553.501","1427.952","16632.98","25084.49","36749.03","22319.49","41918.79","13580.54","19089.4503","8682.48","10604.63","4058.325"
"M355.208T785.5","355.20801","785.54371","2990.585","3137.424","2696.835","3242.333","701.3369","2067.986","1458.561","1763.973","2213.51","1778.415","684.3206","329.724","408.9267","290.1706","448.9522","1107.392","339.7637","584.7683","477.1226","438.743"
"M355.3207T925.9","355.32069","925.93149","4374.83","3968.726","2844.146","3555.398","838.7903","2887.777","2578.718","2942.686","2330.229","1358.582","25955.72","15136.77","19693.53","15393.58","12620.67","13663.4","13451.9307","12670.65","33212.99","35333.62"
"M356.1058T213.9","356.10585","213.87454","5434.716","4122.944","3120.291","3958.284","1427.006","2974.909","3804.731","4157.566","2801.093","2510.814","19378.61","14816.09","17044.66","17911.26","13238.07","8777.176","9905.3564","13133.9","10118.38","7754.59"
"M356.106T184.2","356.10602","184.16564","2195.591","1108.038","1203.201","1343.924","597.4776","745.0438","508.921","1010.521","500.2579","713.2327","6437.103","5086.969","6030.443","7089.326","5532.924","2744.855","3468.5486","4247.066","2999.049","2407.749"
"M356.1178T256.6","356.11785","256.59315","365.0845","285.3994","454.1051","427.5537","43.01811","618.3773","305.8533","276.0901","291.4284","388.4968","2555.944","3445.431","5121.182","2803.445","6235.247","1986.411","2681.9951","1133.651","1325.25","673.0232"
"M356.3244T925.9","356.32444","925.85342","562.5376","1067.744","874.9162","453.3624","220.4802","824.3333","414.6096","831.554","615.0764","711.3333","6241.484","3024.001","4698.788","3442.861","2664.691","2954","3031.1815","3354.29","8326.258","8600.396"
"M357.0763T376","357.0763","375.98645","3703.759","3819.805","3553.852","3762.967","3452.767","3475.898","3883.607","3441.739","2898.449","3300.917","3385.246","3701.85","3444.79","3614.183","3159.901","3900.594","3080.796","3653.273","3624.49","3617.39"
"M357.0832T205.2","357.08316","205.19127","3782.904","1776.955","1107.272","3289.619","731.6551","1307.124","995.4624","1522.259","834.5921","818.3252","22763.5","16754.09","21978.36","11055.75","12211.06","17700.26","19574.9969","17953.28","14512.48","9731.082"
"M357.1188T187","357.1188","186.95748","3199.897","1157.102","3151.2","4236.149","1625.569","1820.91","2555.277","2497.312","2290.478","1888.321","14512.5","15154.64","17496.81","22993.77","19954.76","17675.08","11174.8422","12565.86","10061.36","7436.608"
"M357.1081T213.9","357.10806","213.89288","1337.229","1103.34","1084.456","935.2373","465.6174","537.8691","967.5904","1028.433","742.3124","724.1677","3838.256","2706.135","2902.517","3717.763","2745.319","2333.649","2403.6783","2301.88","2199.909","1683.709"
"M357.1322T298","357.13216","298.02294","7222.049","4370.611","3449.615","6227.451","1947.015","3803.056","4058.201","4307.23","643.655","703.685","19085.34","12954.5","16192.29","10203.56","13158.39","10938.68","8397.3599","9666.8","11810.27","9373.946"
"M357.1322T278.5","357.13218","278.54687","9003.631","3888.759","4939.077","7038.033","1106.646","3742.58","3922.909","3702.407","1003.868","818.3817","16378.89","11367.94","12919.12","9300.958","10895.31","11066.87","7255.7561","11022.74","10019.02","8001.434"
"M358.0865T205.2","358.08651","205.19127","925.5441","406.1528","456.7419","454.5481","164.0791","324.4554","440.9259","345.0568","183.7747","288.7142","4303.633","2729.008","3874.022","1883.483","1442.18","2902.846","2779.7225","2925.954","1808.314","1397.841"
"M358.1228T187.1","358.12281","187.05925","743.1263","706.7077","466.1792","572.9186","327.7813","604.0409","553.9601","533.424","386.1351","199.8264","2423.848","3048.886","2526.96","3986.026","3392.937","3082.408","1629.0931","2095.523","1739.575","1432.541"
"M358.1355T298","358.13547","298.02687","1740.276","1054.228","1176.427","1173.352","427.8164","645.0769","1176.851","489.8066","164.3613","129.4019","3558.293","2576.463","3020.564","1966.423","2710.521","1404.226","1422.5029","1731.495","1845.793","1843.527"
"M359.047T37.6","359.04696","37.60026","978.2794","861.2888","857.2749","712.0478","579.292","844.908","674.8594","724.5403","594.8366","638.7865","3977.758","2012.813","1573.604","2876.784","1427.68","1948.64","1929.9807","3359.579","1771.375","1587.126"
"M359.0988T147.5","359.09875","147.51547","45310.67","28458.18","32919.86","33159.64","13207.03","26665.7","25944.05","26273.48","5317.861","5464.912","32530.17","19677.34","23803.82","18475.4","17174.3","23351.39","19927.273","23846.01","20179.48","15037.84"
"M359.0958T95.9","359.09581","95.89804","5793.996","4241.389","4611.235","4855.699","2591.256","4099.434","4466.298","4720.834","4322.484","3326.4","22369.96","25236.61","17775.47","16686.87","13673.44","14212.61","12027.9566","20235.63","16695.21","12014.47"
"M359.1479T339.7","359.14795","339.70705","761.3234","927.7594","888.7775","889.4329","304.5083","429.2145","675.048","710.0215","186.704","257.7921","11053.24","8053.549","10459.82","2029.162","10110.05","5344.004","13458.9363","6968.065","11050.86","11812.63"
"M359.1465T276","359.14653","276.04162","11623.87","6726.625","6539.322","7945.036","2912.862","5632.534","5861.051","6330.748","213.6453","454.4242","34422.54","23137.45","26979.81","25926.82","22960.62","16254.38","16727.237","23880.17","18578.16","14014.57"
"M359.1848T618.6","359.18477","618.64559","607.8895","507.2065","1080.874","802.0675","324.4955","427.8805","819.076","714.0235","339.5329","513.8715","4235.628","2676.24","2620.674","4451.121","4700.465","2171","2015.2816","3549.284","3555.398","5060.457"
"M360.0707T39.4","360.07075","39.4012","2858.754","4207.148","12669.97","10031.61","1143.575","8015.317","2426.522","1276.332","6092.575","6325.181","5306.754","7742.672","7561.516","12154.38","11462.46","6868.107","9267.3915","6413.224","5788.834","3861.181"
"M360.1511T339.9","360.15109","339.88025","637.2682","685.6868","355.4829","273.1149","213.4636","424.9259","326.5326","366.7516","281.3985","235.0989","2369.672","1671.879","1595.605","313.7482","1899.95","732.8407","2974.1043","1127.248","2191.689","1203.503"
"M360.1507T275.9","360.15069","275.87658","2468.903","1755.877","1441.423","1310.714","731.5527","1170.585","1053.369","1056.395","209.1045","231.7593","7017.206","5196.203","5852.907","5511.267","4881.104","3692.508","3830.5311","4613.092","3852.14","2803.745"
"M361.0772T138.2","361.07721","138.2334","7115.641","5453.795","3886.032","5861.929","2751.042","7536.574","8884.487","9161.63","6746.562","6556.61","2649.657","1405.2","2172.158","1036.902","1130.513","3157.879","3225.4186","2384.167","2995.318","1595.448"
"M363.0921T376","363.09212","376.04623","10142.93","9764.043","10683.23","10893.99","10735.39","10523.17","10526.33","10552.18","10556.12","10064.02","9134.237","10104.23","8651.369","9618.934","9507.993","10478.81","9329.4365","9699.062","9911.173","10302.49"
"M363.0703T190.3","363.07026","190.31381","2189.796","3340.628","2190.089","3111.356","1207.508","1850.522","1878.572","2374.637","1803.255","1345.742","1807.021","982.1575","666.7326","1247.356","869.028","3258.931","3029.0093","3992.063","1100.033","1422.772"
"M363.1274T249.4","363.12739","249.41735","2016.267","1775.941","1803.878","1764.882","380.5131","1223.538","909.7162","1329.893","999.7303","1278.383","2615.451","2372.993","3156.906","2581.147","2810.457","1050.813","1220.2033","1410.707","1702.902","1667.833"
"M364.1016T280.3","364.10157","280.31491","3285.761","3766.865","3709.762","2201.833","1374.302","2084.939","3021.764","3024.59","2897.077","2416.715","5665.831","2974.85","3507.296","2742.071","3131.837","2748.842","2256.0382","2519.001","3496.467","4065.897"
"M364.096T376.1","364.09605","376.05721","1907.429","1881.435","1906.745","1710.752","2140.203","2050.702","2225.9","1403.257","2015.806","1701.486","2061.311","1962.261","1974.438","2149.716","2106.823","1864.079","1258.5596","1780.394","1697.502","1670.243"
"M364.1164T45","364.11643","45.0213","2263.62","4337.617","1036.629","1823.912","1384.947","2031.673","4054.127","3884.757","1710.613","1772.099","1026.118","908.6218","1103.221","881.5686","933.9055","718.6942","552.2773","772.4539","608.5673","538.5404"
