"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M514.1556T275.2","514.15559","275.22341","8279.404","9351.219","4890.73","4464.359","1697.135","5658.717","5905.446","6260.407","5833.188","5558.626","6663.854","4440.506","4151.88","2936.071","3444.093","3746.551","3879.1428","3551.753","5109.475","3497.708"
"M514.151T401.9","514.15101","401.918","806.0475","486.6303","691.4219","1297.892","240.7908","345.2106","487.2973","382.197","204.0472","255.1557","1969.866","554.8331","1087.21","984.8636","499.8865","1098.051","852.1166","796.1971","798.4872","637.6281"
"M514.1588T226.2","514.15877","226.19041","13618.51","15904.1","11054.27","11763.42","4673.729","9886.729","10892.21","11708.27","7594.519","8129.889","84089.31","65898.13","83504.56","75808.82","71804.77","22107.03","39601.0835","35939.48","34492.45","29729.76"
"M514.1543T307.1","514.15425","307.10093","6479.158","5750.012","5233.621","5534.248","2353.572","5027.935","5440.269","4898.658","3706.908","3792.611","8296.19","6374.761","6729.518","5294.313","5837.584","5494.413","5283.6981","5251.065","5771.761","4906.232"
"M514.1638T253.6","514.16377","253.64872","5065.073","5202.703","7132.287","5573.049","2467.902","3230.956","5327.634","4987.992","1839.213","1890.873","81800.95","69895.87","113566.4","91339.71","77630.55","8818.222","48038.779","35862.59","36995.82","34244.06"
"M514.1668T317.6","514.16678","317.57398","1429.414","1528.509","1299.94","769.0254","606.0653","925.1503","1076.574","1065.41","792.3168","842.9476","6553.426","5595.859","5430.127","3860.932","4573.437","3160.215","3437.061","4432.091","4969.072","6333.159"
"M514.2265T662.7","514.22648","662.66293","106221.1","124525.7","148990.7","136933.8","6119.204","143733.5","72147.39","74863.72","107597.8","102395.5","127999.3","91164.19","114794.7","143977.7","76525.75","84169.66","78827.7275","75715.17","19205.87","67671.15"
"M514.2836T421.7","514.28356","421.68703","2189.732","1826.942","1529.699","2046.194","668.7678","757.7347","1550.237","1279.027","915.6733","940.4848","2824.242","1872.979","2350.733","2061.079","1881.33","879.8954","1404.434","1654.16","999.863","1048.076"
"M514.3101T650.8","514.31006","650.75117","542.2857","289.6377","0","198.1584","110.7931","222.777","358.1023","419.1197","576.8314","284.809","17356","1441.514","3884.214","845.3424","3406.667","4808.503","4753.8338","3603.987","3005.069","5125.184"
"M515.0413T162.2","515.0413","162.24657","10743.14","8734.9","8868.765","9925.627","3856.426","5754.237","5546.526","6365.447","5050.828","4803.581","22036.45","22211.2","20059.81","21544.75","19031.59","17788.14","17264.0454","19111.46","17066.04","17055.86"
