"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M315.2411T665.1","315.2411","665.07204","382717","257508","332932","640962","300118","289342","166780","279018","557225","479163","296197","478264","471882","297633","698623","340797","169416","235014","477675","662042","333616","806800","521362","353691","365765","628821","209779","320760","317223","315965","455814","693789","267330","231218","648637","201268","207773","175432","337941","548568","234067","108519","134379","158225","238926","328213","281002","276855","296253","209277","267656","289437","291034","218597","212897","261277","564948","330457"
"M501.2852T1138","501.2852","1137.98094","570838","273909","522026","458178","620691","423786","543794","397912","332708","623265","463477","508404","414054","437396","562565","447365","414248","511710","491283","429904","551784","410035","452308","484952","561221","491637","427132","362751","396459","516664","465138","405666","411586","601289","499220","469174","327768","348233","472511","516378","370098","456181","508384","290488","350696","378355","354684","354003","318089","400759","387160","330056","400012","530629","341766","412914","353868","398971"
"M228.2088T1635.3","228.2088","1635.25908","367818","332820","480844","391701","401519","272032","519381","369813","320214","411542","350254","572379","353408","380005","434006","404802","343136","260075","355953","246481","660419","395882","321618","435256","443682","421389","402012","234436","278936","445338","324244","529413","307853","309662","562155","368713","240467","251301","438403","284272","350617","226707","343107","235133","306563","348871","357177","326608","399303","353727","359898","335503","326398","301796","312334","295443","280751","285985"
"M493.3166T1143.3","493.3166","1143.30474","533454","323631","551908","793155","484357","749243","646442","532323","625029","703445","372589","428512","277546","277924","285868","343847","203504","297114","729444","232744","406176","439996","458992","544765","338927","567278","509989","402012","472042","700488","674992","657729","593580","828273","580639","430605","396851","611116","523668","779615","544973","600046","663718","493235","381386","384301","723018","521530","366957","613893","662724","631331","444172","379179","802797","718471","639571","539474"
"M399.335T1269.3","399.335","1269.26502","691941","321182","582194","611025","477180","660870","449384","323128","412526","628499","519494","527867","437649","246850","370450","376915","278404","295475","273297","385487","566382","374002","377646","435373","445303","491049","521750","370472","395785","419128","468710","486098","411675","518192","333550","230111","385268","253852","424942","433967","278656","292041","410573","419514","253454","327181","368060","336360","366443","409521","331714","407021","438984","425762","268929","315510","345019","354436"
"M584.2626T177","584.2626","176.982978","405598","146438","231408","200189","46502","83455","39262","96550","119714","193665.0345","247971","176119","152794","73606","91188","70334","55857","193665.0345","97606","51866","184655","88757","498247","139687","236818","472363","261505","243305","251836","303665","275128","279967","187120","177419","263430","504200","260971","331537","77746","381343","155509","96270","369226","569448","269754.4865","309151","97409","199536","236679","217447","164690","149117","151723","170328","125919","145121","945230","284767"
"M425.3509T1314.7","425.3509","1314.7128","1015093","515020","867077","697993","596506","979216","538845","552964","630825","1101308","699272","683440","362984","279879","346844","367535","258020","445684","407244","368827","700684","628693","490333","627839","583268","515125","487045","443998","499655","550078","626592","750065","532008","669955","378984","198581","439167","297799","488775","583814","385664","369972","259506","367435","294804","379792","492873","405889","381342","511143","465789","517845","668338","430335","338162","329658","505767","438881"
"M124.125T1717.3","124.125","1717.29948","130869","143977","136060","123585","133562.9333","132448","166219","140386","134261","135062","127236","104350","128533","154311","134594","134167","106497","146301","121583","132202","125722","122715","141664","139935","141122","133959","135968","116914","87241","145744","50916","130613","153948","161090","165065","168614","144512","137398","156060","161246","140350","135978.4857","144954","133641","130334","143345","140489","153647","36808","126307","114258","147122","146692","161985","144447","135978.4857","150274","118193"
"M1140.5948T1190.1","1140.5948","1190.10738","468530","229818","138526","290111","348171","246762","365808","340750","265583","400648","220186","301333.5357","359199","306648","448800","334335","215271","301333.5357","221680","257129","301333.5357","406750","374450","333650","417638","257597","261038","183910","253070","361190","403076","34962","248624","225699.9706","176974","179281","225699.9706","186976","399373","313688","374825","283558","228739","170123","225699.9706","194502","148463","227393","125876","89011","299884","214978","212596","364929","406002","255793","343981","189778"
"M457.3401T1447.3","457.3401","1447.28682","552131","478880","487808.6071","530394","420204","628208","360076","489092","565244","487808.6071","541190","585880","534828","487808.6071","411246","399720","484269","506350","447607","554028","598491","323533","476516","515981","416457","361396","586500","530581","637942","356099","532383","389514","474272","402308","427789","462700.6061","457999","512694","374910","396041","554240","405134","351632","514550","368440","486530","323507","462700.6061","465725","370437","461567","451071","483232","767008","491685","383970","462700.6061","370160"
