"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M619.4283T1299.1","619.4283","1299.12222","134529","140243","167472","138943","113549","149602","133151","151286","148130","120518","130453","148489","160503","126197","122793","109479","150748","155427","131619","150704","152639","168728","132139","140445","117792","126450","155568","151738","152525","101108","134538","106933","137172","129820","111329","138120","145031","135298","114157","138443","119971","137050","125385","147714","157029","129962","148868","147918","148502","157314","123967","119707","145166","288560","126194","133822","136140","124389"
"M545.3479T1235.4","545.3479","1235.4213","2210796","550465","1092776","1581835","2401573","833609","2065926","2315321","869343","2128643","1115330","1315831","1879465","1208912","2065619","2525493","797359","922149","1560886","826552","885074","1385519","1784111","1890892","2027056","1118875","1459011","821802","943318","3496332","1143549","1002761","860219","2239113","1761433","1185588","747521","818852","1993118","2272395","1711385","1073952","3053985","652268","1226075","612030","1228821","1199848","581785","968806","1163636","1167354","1175311","1406353","1258953","1221441","575415","951886"
"M519.3329T1155","519.3329","1155.0207","11700000","3398487","8117928","1.7e+07","12700000","4771339","10100000","12200000","8112115","11500000","7639218","10200000","5303728","7652498","10800000","11500000","5228193","7371260","15300000","5462804","9153561","9998348","11900000","12100000","10200000","7939574","7205042","6649167","6953982","17300000","11200000","12700000","11700000","15700000","12900000","9588843","5585973","8273019","1.3e+07","13300000","6063260","9008583","17500000","6929285","7376069","9329188","13100000","11100000","6604518","10700000","8107325","12900000","8728457","7742258","11800000","7924800","8578146","7066269"
"M663.4545T1297.7","663.4545","1297.6842","110106","126792","126453","105795","119085","111136","118191","119121","112409","124388","101799","121301","120595","104430","123601","100269","133043","129405","119225","135580","137947","124835","128440","111030","117921","102388","116366","123813","128155","104581","119205","86593","123116","104574","106194","110119","113420","97258","99294","115422","112888","120794","117056","126855","136300","122661","128634","125561","122249","115621","109132","67482","114325","228387","111585","115088","112575","93396"
"M721.4972T1425.2","721.4972","1425.22776","2833732","2642861","2724343","3052497","2348300","3023259","2736275","2651613.7","2733218","2478815","2100608","3046611","2657594","2631751","2954513","2493586","3307830","2911411","2546513","2863128","2656948","2074590","2568484","2423346","2577806","2373134","2711100","2480708","2988088","2487905","2630349.432","2199636","2355368","2563147","2518713","3020750","2606304","2797175","2130228","1588409","2177654","2668570","3100266","2863618","2055001","2386152","2338671","2588851","2985422","2414007","3010628","2685658","2815677","4246484","2644236","2474625","2484734","2424717"
"M131.0584T81.5","131.0584","81.476238","604131","715941","702467","626866","291488","484064","375626","855490","788813","489834","322612","642815","646758","569921","880208","290009","446508","525972","241470","609649","654618","463797","590645","733174","713045","566546","578693.5","814581","518825","647575.9143","482926","646062","647575.9143","262799","446520","874521","667052","486925","504809","730860","605120","816626","647575.9143","543771","583419","676454","414826","732242","565786","947593","390645","626355","574372","893965","506550","713901","925980","650999"
"M561.3166T1481.9","561.3166","1481.86488","298392","224060","274974","271338","285712","256869","256189","270968","244766","275653","233123","241372","216941","165824","199002","216984","191398","86763","221575","179525","233962","421645","253751","272017","194195","247693","239527","231719","228936","37727","298659","251835","241432","265341","218855","209792","204238","220771","226982","282336","196435","179525","251729","218806","415120","214625","118564","220280","218342","226081","242118","226260","252667","229159","258867","180706","197106","218321"
"M481.3166T1133.8","481.3166","1133.82282","86825","23107","67188","92407","71212","132056","89259","73054","59500","101167","68441.2857","59282","35668","68441.2857","44962","46542","68441.2857","35337","121508","50551","36293","38061","74494","58742","54538","104836","92574","62416","54106","78602","47903","45839","51692","157012","114567","82328","67637","86436","99657","84015","66169","73325","470096","83936","45594","44664","115353","56556","57228","89557","91546","53253","56486","69097","195975","109684","57426","64130"
"M335.3192T2026.6","335.3192","2026.6398","1310554","1168087","1192676","1173203","1338458","1282487","1159153","1234372","1310656","1245396","1256884","1289338","1209488","1299482","1480262","1089969","1359080","1210864","1951270","1317720","1237375","1206464","1426270","1260997","1265878","1229125","1500132","1256721","1191282","1190326","1269699","1387288","1392746","1224036","1278344","1298705","1320270","1168533","1293915","1338808","1317797","1223969","1434216","1137322","1400889","1277628","1280632","1222471","1417023","1366454","1325883","1294423","2442318","1822276","1240166","1226806","1255430","1177215"
"M372.2881T1400.6","372.2881","1400.55048","436380","455415","419692","426872","547129","437934","504860","467047","483119","429563","427603","127422","511183","436946","453966","378090","371775","448359","428551","504692","488955","420833","409770","51525","462519","343540","512924","181352","197279","377035","533539","445065","436235","520950","508112","506002","517098","480653","446522","531881","514769","48740","499194","427550","366999","617252","407445","441976","457486","473400","399957","522561","244728","499776","450401","198488","446946","186742"
"M161.105T70.4","161.105","70.440006","295425","255737","249549","336904","264011","471088","281106","269376","249765","308206.5517","296241","365424","348870","193726","257526","335696","290089","188265","374372","409342","308361","238131","308206.5517","350892","433729","284884","380396","318826","297846","467995","259987","335320","189828","363492","386940","296784","374721","325157","336764","402525","323509.0278","243987","510563","313104","390868","194586","342536","329250","280951","306522","286785","355191","360487","306317","239232","462578","327562","313669"
"M547.3265T1363.3","547.3265","1363.30842","63600","54546.1071","31735","62761","86268","63600","91960","42011","46156","101284","55233","42448","54546.1071","27258","98851","54546.1071","19977","47927","58918","37932","56811","37355","31240","47040","50882","58160","74340","43154","48890","33003","35076","30359","31841","66214","67192","69064","35051","52546","37976","50918","41527","53491","95594","43841","40774","50913","61202","49038.1143","48267","41376","48339","43932","46847","48677","72203","49254","35607","40774"
"M479.3379T1328","479.3379","1327.95342","2720820","683511","1808303","2932180","2018103","1808274","1218656","1772771","1510798","1892947","1138389","1043258","825868","826571","938401","690197","523130","916794","1211522","840241","1309913","1229209","1420399","1368687","1055183","1069225","969942","1014339","1086227","1828247","2174038","1934431","2171348","2683049","1266119","835373","880668","1260798","1223169","1389827","713980","1233682","1774228","1054118","912538","1478853","1343634","1545955","951373","1190869","1276330","1078519","1278399","1443330","1473694","1433060","1311471","1119325"
"M222.1255T1134.2","222.1255","1134.2424","99926","97132.0769","41431","105308","94615","95282","182268","108367","75916","214292","138882","97132.0769","58843","113277","162454","97132.0769","97132.0769","41471","164354","43135","39756","59187","97132.0769","63742","116645","132620","70963","48768","64048","51843","39713","41924","91931","125373","116953","124108","87816.0625","67013","87816.0625","87563","65724","81267","159350","52160","104763","45849","122664","87816.0625","87816.0625","95853","59569","70938","73123","71869","219889","99736","91786","68408"
"M1040.679T1264.6","1040.679","1264.58196","1707823","328125","771099","1303527","2058434","625845","1592429","1609316","666496","1533568","667372","875169","900814","689658","1310242","1582077","408398","559814","976657","470240","521569","949351","1429227","1370490","1117115","787877","972886","445831","571398","2883610","917765","796792","614113","1755882","1282500","752814","393749","512490","1289750","1694694","1034700","551312","2621068","368309","732996","444873","859192","763447","307949","690118","783483","835080","662483","977696","844107","842702","362192","588543"
"M539.3583T1290.8","539.3583","1290.8172","62196","55285","64195","103849","39534","99254","37656","48155","65359","54045","58823","72588","108796","48127","31317","27667","62475","53832","26386","51441","86312","50517","53581","67538","36260","64905","82455","67387","64918","56062.1622","63046","41933","53117","89345","45479","61667","41290","58127","33146","44970","43025","34953","45138","67633","29039","71585","45747","59664","49286","47998","39683","42691","93425","68626","61167","69048","46567","60010"
"M467.3017T1052.6","467.3017","1052.5872","3256619","1780397","2293099","3019665","3297169","3619949","3731379","2800850","1947923","3545307","2235790","2670134","2535944","1721682","2326730","1993295","2049287","1996737","2591837","946697","2182422","1635048","2020114","1808737","1945982","3254913","2868804","2149253","2170160","3070779","2870743","1679368","1481738","3745532","3859131","3319477","2078502","2912233","3180473","3665434","2316520","3201140","3781095","3213942","2075210","1503919","2570339","2496194","2211860","2371806","2639045","1802715","2238844","2122354","4346925","2971986","1356814","2219404"
"M521.3484T1315.3","521.3484","1315.30242","32100000","15600000","25600000","36800000","35200000","24900000","34300000","34400000","23600000","35900000","19200000","24400000","20200000","17400000","22500000","24500000","17500000","21500000","29500000","18900000","24900000","30600000","30400000","26300000","26700000","24500000","25200000","21100000","23300000","3.5e+07","29400000","3e+07","26200000","3.3e+07","28900000","28300000","16800000","29100000","3.1e+07","40200000","20700000","23900000","42200000","19700000","22200000","26200000","31900000","28400000","16600000","26800000","27100000","2.7e+07","25600000","28700000","29100000","32300000","24500000","21600000"
"M481.3176T1395.1","481.3176","1395.0903","265995","152174","175822","384003","405622","341006","447949","246994","273388.7667","435253","197008","215954","235954","254202","401111","287413","199555","251149","256338","191724","243866","277613","223332","273855","329610","225690","283130","225195","215396","419290","267431","357963","223294","355864","252868","264968","189781","196623","224041","349312","197628","239079","553555","165304","302931","202723","286059","180217","123174","260190","239300.2778","192798","216626","352568","214126","257911","155128","207873"
"M303.2925T1115.6","303.2925","1115.61846","280155","94558","120182","115304","83522","168508","171350.25","163179","171350.25","169822","174375","168585","261136","83844","105089","171350.25","68244","161896","217328","163955","428697","120147","95243","357582","102053","150150","111986","65101","120707","145611","114675","666917","560136","222133.7838","133181","154017","770385","468068","107713","105418","113678","128463","152159","191381","167615","89573","173097","315458","165978","145221","438178","322513","109332","271366","118798","142506","145443","105546"
"M533.2878T1260.1","533.2878","1260.07986","134487","167066","218930","182187","195603.5517","208114","61856","203583","196886","205100","185095","146788","164265","286945","318992","146794","154601","337880","168054","163162","195803","213587","185229","360133","156223","195603.5517","187438","180506","218037","109833","209473","94136","176508","174893","146677","165998","164918","185705","152967","199840","158353","101944","184516","281792","188572","174230","195841","187022","165591","187677","189501","173910","171457","172611","207405","217023","187524","307659"
"M450.2127T1466.4","450.2127","1466.3778","75649","49433","66350","77916","89531","68062","103826","82002","67685","79590","71251","80704","86056","89028","87976","78399","45612","84783","73640","63388","73766","88969","85471","81259","85905","65664","79588","51442.7143","40078","70930","100677","92612","87923","103664","95444","89506","60890","60810","87417","106077","97583","60289","57931","58629","78949","97668","79470","94345","56473","99728","68320","78436.4865","58474","93747","97562","73878","75558","47406"
"M501.3217T1186.7","501.3217","1186.72314","67233","41605","58177","99913","83971","74470.1724","76206","101201","72101","90101","61151","86198","47858","74470.1724","69556","80841","42456","71649","114362","51907","82073","79081","94647","87601","64900","68845","64536","58054","67164","103606","98131","73854","87839","102165","90791","78991","58598","66353","85250","79886","53781","67879","108963","61734","61510","79776","98014","90101","58651","90020","71079","81634","73322","75498.4595","90628","52184","77983","69534"
"M358.3091T1950","358.3091","1950.01602","54100000","38200000","51400000","45600000","49800000","45100000","52800000","42300000","42100000","39100000","5.1e+07","42200000","53400000","42700000","51700000","40300000","44700000","50200000","43700000","51100000","41500000","43300000","45800000","47400000","45300000","43800000","39300000","3.3e+07","26500000","41200000","55700000","45500000","39800000","45300000","4.7e+07","42300000","5.4e+07","43800000","43800000","41900000","53200000","47900000","49500000","48700000","42400000","52700000","43100000","43700000","49400000","50900000","38100000","51500000","47500000","56200000","47600000","48600000","51300000","31900000"
"M571.3627T1319.5","571.3627","1319.5278","132183","35863","66015","79904","192650","45814","105677","142842","53994","121778","71466","60751","111704","93064","112580","119317","94547","49854","71150","52818","43758","63212","109249","88266","105102","71901","86197.1","46058","54076","226233","97533","83435","64586","132454","91693","84140","39119","43407","113561","122719","101533","51930","146985","38637","60987","43028","65417","70870","51298","80826","61320","53810","61732","116090","70462","68239","39608","54975"
"M1096.6198T1314.8","1096.6198","1314.83814","934735","308315","628465","1068239","1012795","609086","1040068","986000","576061","1070542","453801","671865","457806","532204","599817","687011","249397","619687","916297","445529","656815","900544","820342","698804","851552","668850","847865","501149","552299","1037244","761516","900532","714095.3824","1204437","892437","714093","435240","804491","945160","1350140","494336","597645","1321108","474082","659697","714095.3824","714095.3824","860682","366635","911885","696037","819003","619096","778305","922576","540215","627722","343197"
"M549.3796T1523.9","549.3796","1523.9256","569463","185770","310943","608925","477695","318374","434395","532256","380307","456147","313167","348684","124797","346073.4828","278536","210366","144715","189491","533025","346073.4828","408318","463639","394335","560843","287992","203121","180273","185919","312447","533001","606639","518141","538073","721953","312142","179656","147956","393986","374618","500783","320956","325668","370578","227817","314300","323318","471203","378623","361373.1714","382707","490943","416998","233700","361373.1714","563327","467357","189623","208752"
"M145.0526T85.9","145.0526","85.947054","91083","81180.5","65964","82570","72637","72639","77778","73523","67230","89714","56513","80030","85860","81180.5","81180.5","66055","118164","81180.5","72031","77556","65879","81180.5","96970","74076","85138","81974","93165","81452","68989","79293.3438","58337","73830","89466","83751","76703","69683","84144","91268","80905","86173","90489","84287","91957","69304","79293.3438","81831","82151","90309","75367","79293.3438","97570","79293.3438","88389","79293.3438","92066","78846","70703","73921"
"M347.3037T1715.6","347.3037","1715.63016","136270","227768","136952","147609","144868.1724","197816","136330","135371","161015","115390","127965","118893","202247","126101","126855","124256","173897","170089","118605","182010","160720","90665","127558","126665","110357","144868.1724","148599","184511","119976","139199.6","134143","134097","116980","127162","135309","122689","172434","138708","135232","139199.6","155455","141123","153194","204347","90113","146294","100850","132598","207855","125033","115799","126888","95053","122838","122572","163598","126222","137383"
"M255.2563T1691.3","255.2563","1691.25972","1682202","612034","666225","609845","1220463","455608","951037","1301927","574599","759574","1948728","3125223","2671018","390182","487274","341968","615196","1242515","1479868","1949661","654835","2242171","395127","2009406","2168762","1384590","679022","440701","440835","1544323","436509","1578515","856231","1510732","1690420","1112864","735228","764075","1224237","1464975","1038201","888193","1275260","1008202","1031712","1557840","4185899","972434","2048782","775724","1968267","1652277","1202421","1738946","458474","1207227","742192","438533"
"M402.2257T1561.5","402.2257","1561.48878","579757","333643","592963","599394","724141","379880","806776","775710","614422","772103","580925","658956","451293","833004","813644","735597","404959","487294","843767","463982","489889","844649","885665","710043","851073","760830","716890","374811","470581","747091","726121","784217","770346","791025","824075","725167","452657","561900","818469","874718","628235","627617","640628","388856","721135","669782","796208","801967","396301","755745","739990","773554","501283","1704469","779030","675572","801830","517954"
"M493.3169T1165.6","493.3169","1165.55274","154047","77020","104135","142288","111883","145238","124385","119427","94100.0741","114320","87762","83579","36598","56741","79981","42644","43930","75766","76915","94100.0741","94100.0741","111941","97771","115420","75523","63331","74661","57971","106562","137486","105017","96679.5143","83075","168840","156480","79023","45060","91093","120002","121327","75080","87987","124185","84591","78680","75348","103157","129250","61758","94503","119199","78592","82981","89930","119814","138825","62832","65568"
"M567.3323T1164.5","567.3323","1164.52572","1628689","469227","756184","1831984","1081551","518694","927088","1137605","794671","1346189","902108","829817","846404","1009469","1459772","1220165","502222","764386","1276481","557546","615453","1235981","1260542","1163078","1038120","1132052","671853","511392","665586","1426333","1140440","1550392","1008036","1413491","877372","632235","431229","769296","1099610","1393199","939923","626135","1204238","577324","1072356","825941","845212","649038","436706","332617","957069","963823","543751","698127","1401790","911706","765502","609756"
"M307.2877T1808.9","307.2877","1808.8866","107703","100194","87397","98023","100129","99322","103262","90127","85135","93204","105438","125093","103020","90300","108874","86370","100572","114658","104268","119211","111431","102709","101544","99566","106127","98216","106825","88910","84117","107991","108199","112960","103417","111333","104287","89684","92273","99090","89361","103511","106149","108184","100596","89351","91431","109768","118240","98461","111452","103852.1081","105338","104799","122736","149270","93446","104449","84152","89267"
"M541.3172T1063.7","541.3172","1063.7289","380542","117034","125589","336831","382295","228622","259031","197281","145876","304802","106594","192334","138912","147543","496376","141915","150935","148183","148557","145794","108502","167912","317130","109485","304620","204947","169692","146322","155613","325991","227799","191376","151134","423397","230364","201290","108651","272398","360023","238930","145056","236089","512912","152404","322525","229939","170683","106358","115245","89589","173561","97079","252601","258179","455327","268846","156646","153076"
"M541.3167T1090.8","541.3167","1090.83846","1989227","691736","677455","2121277","2274702","1144133","1721223","963599","789639","1812066","486516","989024","560433","918192","2855260","722696","508864","889420","1082114","803821","528214","1079444","1740290","562342","1698239","1137351","1002211","646023","779404","2172646","1303596","1234194","908145","2709933","1419606","1100876","552353","1640763","2196428","1548588","688602","1186938","3294475","739535","1809428","1039268","861852","676997","589769","538597","950673","576844","1401409","1493984","2536743","1431880","927558","861583"
"M1581.954T1185.8","1581.954","1185.79488","49924","38775","52750","77377","39848","48633","50519","76445","61484","52478","55779","64631","34992","29132","42889","46305","47512","55909","78602","35218","79176","49310","63724","63841","43223","47317","50835","67369","67991","44720","56105","39751","50607","54650","61169","56643","53200","63677","49615","59189","35460","48665","72851","82211","39157","72064","84726","69988","54445","76515","40169","61459","66035","36184","63069","45217","49352","56289"
"M495.333T1260.6","495.333","1260.64416","57300000","42700000","52600000","59100000","52800000","53700000","59600000","52500000","51900000","56200000","50100000","49600000","47300000","40700000","47600000","66700000","42800000","44500000","44200000","4.4e+07","49900000","43900000","48600000","52100000","43200000","46700000","49500000","43200000","46400000","50800000","5.2e+07","52200000","50400000","5.5e+07","79400000","44300000","41900000","45800000","46800000","51400000","45300000","45600000","58100000","44900000","42200000","50100000","46100000","47300000","41400000","5e+07","4.8e+07","47400000","4.7e+07","48300000","47400000","49700000","43400000","45800000"
"M379.2485T1026.4","379.2485","1026.42906","811510","417975","819848","989756","592961","779220","674166","764289","918766","679795","661466","405848","418699","391426","400270","374021","388639","372393","439813","399626","671530","522997","416627","453374","404916","383755","452596","482242","481384","643311","819602","840237","632300","1017160","531295","296167","537272","531488","477210","552806","513963","427947","298598","510673","413440","404524","608077","666841","628788","774456","570213","479827","637711","621577","743461","549830","413412","455850"
"M672.5204T2021","672.5204","2021.0385","1926739","710344","1732155","1829982","1614894","1924130","1850166","1693237","859209","1725680","1406855","1953269","1235328","1198911","1053384","985605","1199919","881269","1686324","1128501","1442803","1396666","1209338","1557096","1075313","1053795","1702275","1366733","1294385","1517871","1540486","1067792","1344073","1913886","1599429","1560882","1551353","1898119","1315077","1103612","1506151","2013229","1866377","1793980","1114951","1246317","1391175","1017721","1552145","1074066","1230429","1441591","1970347","1651880","1687250","1665850","1090145","1305839"
"M302.2461T1466.4","302.2461","1466.3736","3076222","3000140","2797442","2796896","2984598","3302856","3379974","3247112","3065833","2854859","2669494","3104117","4227220","3166005","2865112","2827832","2190575","3033148","2652496","3165244","2911727","3163793","2891451","2964025","3055425","2316193","3106015","1930961","1909055","2527022","3719551","3155175","3199631","3508488","3475593","3025007","3049590","2861781","3191469","3429778","3665042","2733682","2991271","3032533","2362650","3362819","2601141","2187227","2872970","3381655","2568677","3433302","2952578","3172268","3440818","2944657","2638907","1867222"
"M453.2859T1191.5","453.2859","1191.47658","78639","69688","81608","111477","80256","138109","167212","101785","76679","212377","79961","116589","136097","97385","132554","71394","113781","98178","104593","109189","145947","86038","74435","96085","116117","86204","144919","96797","111233","82522","88874","106800","93717","100912","108617","98792","88623","107195","84331","133815","120653","103189","147186","91508","108791","113165","70472","93293","57969","123661","86032","69659","108628","129178","68934","88706","73064","93809"
"M563.4322T1877.8","563.4322","1877.81802","208224","112795.5926","114672","254535","203851","110066","112795.5926","134149","111425","123832","112795.5926","75860","60273","112795.5926","76117","38460","33615","67296","73404","106428","137862","115837","124524","82303","52466","159428","131947","84115","94255","163821","137637","160328","181796","152116","116869.7222","116869.7222","51497","111539","123540","87816","56631","147712","109376","133001","95546","182452","224125","98121","73424","90466","104920","47093","86258","89600","131818","152625","172664","96605"
"M264.136T1134.2","264.136","1134.2409","88990","81277.6786","44978","82912","83434","94847","160767","77060","75321","174477","117720","58657","56231","80140","130728","45066","39581","39551","129982","81277.6786","81277.6786","49026","67351","48578","99890","115539","68258","67110.5714","44178","40250","37892","75670.5455","83442","102034","100865","95351","63441","57637","85951","68871","49354","69913","140346","51791","86108","38275","104210","75670.5455","44577","73025","47509","59376","51915","55746","184123","84699","78232","53683"
"M481.3534T1322.9","481.3534","1322.88228","2471024","692437","2036658","2657662","2024112","1594534","1496575","1901137","1415614","1934790","909445","900301","867314","821751","845766","659237","506734","681577","1054403","667696","1478356","1107216","1467600","1315592","807865","1125693","1089934","1054500","1021967","1763086","2123332","1354263","1633376","2120782","1110255","631059","808606","1108368","1111843","1291945","829931","1001284","2008767","1308013","1058447","1315839","1245511","1249079","945380","1348357","1190887","1243607","1478190","1285864","2098225","1270265","1116331","998397"
"M620.2657T1313.9","620.2657","1313.86368","67771.9333","46935","60495","96126","62643","67372","78336","35790","72801","39591","57538","72831","61881","66168","59093","65505","58661","68431","83028","66374","71476","71537","82852","84965","77903","70080","75523","62143","69648","95787","87824","72670","63342","39224","56689","90981","63147","70151","75742","65457","47053","68178","72978","61997","65107","77293","71840","85575","48226","79359","81059","76871","85012","62877","55807","76976","79543","55187"
"M279.2563T1579.3","279.2563","1579.30446","956663","596595","605667","615180","948619","507363","680622","916672","617189","705642","1053678","1332115","1357827","570097","519696","558674","573477","845662","928506","1159517","607197","1087854","504918","1102527","1082656","896474","644561","548771","564633","894350","518940","875815","687150","1058403","925423","888623","610786","674345","901523","848507","883050","732401","900430","756358","690391","960411","2049212","822411","1161969","680585","1156780","1079465","751067","1433948","538911","845209","595085","531565"
"M527.301T1213.7","527.301","1213.68864","100797","98225","112712","15142","199591","233287","264409","154647","128573","280441","102604","284429","161039","167094","150542","115055","172524","143682","184595","28272","207670","165330","146954","189306","257354","178280","222330","149438","161434","184130","146434","149594","133968","239009","193984","201179","92553","204884","256075","19342","105425","193975","376018","136871","141869","188068","127376","141903","15334","23886","100145","94600","172585","187810","86605","158362","100310","166043"
"M309.3036T1974.4","309.3036","1974.3606","3673231","2919132","3447691","3063178","4080717","2874253","3243589","3263014","3068913","2940500","3529525","3987586","4030803","3076461","3555111","3136754","3321990","3208600","4482726","3639404","2943523","3523973","3261427","3536825","3786203","3489114","3372099","2893036","2765276","3714426","3556444","3999468","3166563","3569895","3623637","3116148","3320543","3137244","3351461","3522657","3382781","2964370","3627320","3052913","3841184","3363929","4126281","2970276","3570722","3658522","3488417","3725483","4694851","4956201","3068606","3226384","3009617","2939962"
"M551.3939T1729.3","551.3939","1729.30068","344504","153240","210530","417220","356809","207590","180336","293466","215709","269438","190253","240183","159209","144010","141775","159607","150182","190136","244134","123810","194592","236559","255532","294001","170914","231131","204421","195123","178677","317061","315473","327880","262299","404449","220670","161277","144993","230270","212763","224380","126889","187101","317665","228036","190546","195137","284620","256697","151402","218709","176124","238635","287468","221320","243401","189718","176385","198092"
"M360.2145T1561.5","360.2145","1561.4892","99512","60279","113329","101309","131056","69106","156839","146401","100160","136507","93831","115487","89264","126296","139086","131815","66820","85551","159544","86989","88084","135057","132303","123433","128677","137615","128556","78142","90214","123732","115055","130459","142507","139015","136026","123483","76938","102862","140238","131740","127398","107654","116879","68934","130816","106497","135125","122898","74345","123268","122669","143824","93665","325002","137979","109881","138466","116344"
"M523.3641T1442.7","523.3641","1442.6652","11600000","5159550","7253321","13500000","11100000","8406156","8800063","9700554","6668888","10500000","6414398","6778726","5245523","3806270","5427671","5948951","4126613","5927338","6363797","4202519","6635613","5988194","7901512","8989133","6055795","7600194","6712582","5856962","6330133","1.2e+07","10300000","9094628","7706662","11100000","6431970","4909356","4325263","6118178","6595711","7440229","3807467","5310138","1.1e+07","5338522","5570244","5527232","7081163","6388106","4831046","5885147","418772","5887980","6331867","8471722","8721762","6857611","5057586","5951597"
"M333.3032T1889.2","333.3032","1889.16678","102776","135961","100117","99620","98510","92102","85910","96643","84219","89735","89947","96399","56898","93068.0333","115431","64297","83672","87194","118857","95227","83978","80381","86945","91491","74164","111774","108610","94949","96428","75165","90825","83642","108896","101067.125","88917","83396","94826","87515","85710","103803","89700","101067.125","105890","86729","101067.125","95019","95114","84097","97880","124473","170425","76035","176207","136234","101067.125","96567","89967","97229"
"M481.3171T1432.8","481.3171","1432.81794","1875544","1112992","1267342","2640546","2428094","1982945","2771546","1739518","1276015","3161370","1371994","1733135","1654831","1377773","2373911","1773317","1240101","1604469","1702622","1370624","1766954","1757877","1421051","1869660","2033486","1543781","1998306","1330075","1370812","2543740","1885855","2256931","1574092","2327765","1741026","1740313","1270412","1429026","1621010","2378849","1443644","1558503","3270363","1234930","1946592","1305196","1868702","1194161","872317","1840228","1563206","1227481","1411306","2219673","1551794","1553158","1162039","1329924"
"M537.3792T1601.5","537.3792","1601.51298","314237","112762","197549","389662","318708","313837","180309","297584","179543","284844","137325","164826","106945","91471","147255","123695","103872","141562","190124","86471","138623","164150","200304","227292","171298","223782","169809","160827","161200","259096","296137","290173","240410","452240","167915","131732","108967","170344","195138","201643","119297","141235","293150","180596","170507","148875","277225","202139","118245","179936","164905","159813","189894","200792","265940","213723","160028","164530"
"M543.3324T1190.2","543.3324","1190.2428","16900000","8040591","8612027","14200000","16800000","8540072","14900000","12500000","11200000","1.5e+07","11100000","8484826","9879688","13400000","18900000","12200000","7838584","9391391","12500000","8303080","7172890","15400000","14200000","10700000","13900000","11100000","8496519","7427840","8486585","17500000","13400000","9867900","15800000","22200000","9325083","8511497","6463851","7863267","16600000","15200000","1.1e+07","11800000","15500000","6439503","8440587","8089665","9755963","9332772","7140570","7053666","11900000","8648096","8551860","12900000","15600000","10900000","10900000","8657231"
"M453.2856T1227.9","453.2856","1227.86076","1038048","753276","894284","1589528","1212024","1382110","2004939","1220366","886577","2556187","967531","1292404","1510544","1283032","1839013","1031660","1157395","1094574","1312751","1200065","1482914","1216856","1118920","1158303","1519903","1042749","1493255","998735","1031432","1168623","1037546","1645660","1221382","1449151","1476096","1188299","1088906","1113357","1215625","1611072","1554638","1333732","2219277","1052368","1375524","1199492","1072095","1001905","628629","1481021","965916","933454","985922","1351830","1022747","1191158","882159","998672"
"M358.3093T1914.4","358.3093","1914.35568","14600000","13700000","12500000","11900000","12700000","11400000","13400000","12100000","6284533","13700000","13800000","10700000","13800000","11200000","13800000","10200000","10300000","14600000","10800000","13500000","10300000","10700000","12600000","12300000","11600000","6351392","12500000","7498308","7199179","10900000","14500000","11500000","6919558","11800000","12800000","13500000","14500000","13500000","11900000","14300000","13600000","12400000","12400000","11900000","1.1e+07","16200000","10600000","10400000","1.2e+07","12200000","12100000","12900000","13800000","13400000","10900000","1.3e+07","13500000","7799382"
"M628.1426T80.8","628.1426","80.804796","1024611","983998","438473","1100044","822829.9231","822829.9231","657185","762499","757672","41592","794539","1117380","884619","766174","746807","822829.9231","1122600","1125664","915609","822829.9231","990247","621645","494614","1197682","822829.9231","678223","760856","1217148","797401","798741.7941","759346","593320","372244","567083","695377","758285","1025875","1117271","771206","798741.7941","1197466","1167479","798741.7941","518646","615304","714983","604285","798741.7941","1171450","503848","810124","759282","985604","1003279","790054","1216359","726577","1097865"
