"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M330.2556T607","330.25559","607.02","243.7648855","3935.95695","9497.993908","88.95092719","89.79102571","89.92070801","2880.613415","3950.516423","3681.507749","8890.585598","795.6596187","17326.98607","2942.840315","8383.601894","428.9521092","2604.046801","13684.41549","2211.229339","1533.490227","1409.225194","304.1106322","1224.693602","1883.06406","106.4697816","52852.65982","1623.308145","1233.865193","120.8793275","498.6527645","3058.934029","1703.388865","7331.048221","2181.620668","93.00432891","8102.068142","9791.62728","5532.614142","199.0279455","793.7015745","18213.35548","2992.325125","4262.503819","2368.390933","59188.2457","4030.582262","380780.2113","6443.065","829.7270146","288395.9106","2384.070715","54909.37282","12628.6051","1077.692233","46188.5905","4745.621086","21663.74916","271.1754469","138381.6391","1109.220854"
"M496.3581T1023.4","496.35806","1023.42","382.2631238","504.2947222","12603.62062","9952.849954","419.274496","37685.71928","27896.48832","370.1332551","372.6660628","1487.520429","10345.58751","660.8299982","543.9966124","7504.186757","634.1923777","9351.394115","22078.96263","382.6305832","378.9413321","555.5145415","381.5828975","387.4299607","673.5573084","372.4616488","582.7865137","382.036211","689.2452327","381.3439394","389.7625946","385.2647309","376.5065517","385.6156937","378.0246556","398.2589832","386.7729124","385.4104371","385.305017","381.9027849","376.5832432","383.5939949","380.9833905","395.1810384","12983.42575","3642.794789","52578.06901","16846.98624","54161.20259","379906.1238","316308.9708","215462.3856","1528.065459","7125.34883","89425.52696","4393.959279","4880.245801","22383.74362","28100.17991","42222.08033","408.8382801"
"M194.0943T271.5","194.09427","271.5","164503.1832","277.9816385","467.3241212","119.2678597","253692.4963","2031.410974","121.2838344","196878.0106","378817.0011","90232.84158","130.0506203","81.35552829","140.8476303","81.65071793","24703.66778","1246.064422","79.79539047","113.9979382","68948.50269","19574.03927","130340.3994","58895.04653","10696.39286","68114.54272","82.80776336","21409.35458","252831.5863","12560.30351","67530.95074","2771.411774","7853.910574","81.37850653","662.9556393","225.2083134","83.37380862","80.88485911","81.47554292","1721.173499","80.30636369","54895.81713","1631.967813","4320.811599","2660.133841","86.91022469","14226.74429","86.11796821","16597.66604","9220.335891","23929.34202","12093.1011","125.9154637","228902.3229","289.0123666","87.26683006","88.34639112","87.03947438","107527.2855","25460.71251","6560.852274"
"M400.0459T214.3","400.04589","214.32","70.64752701","70.28697838","2203.161512","877.8674403","70.59057274","70.75409323","214.6119258","70.69179351","87.62724697","1587.854539","70.83919582","1308.24493","71.13505073","961.0790491","71.62711559","71.29009052","82.78196352","441.3086637","1125.400078","69.98379395","72.38438044","71.21853213","71.0494743","69.51329781","70.97087128","71.00965755","648.4882994","70.97465775","14870.78174","71.11283257","72.20974806","70.54132442","73.20192325","71.67665819","71.13764991","1234.76953","69.58878355","71.03189808","69.43955045","69.73483692","18417.01017","70.30595867","1182.645795","1915.988521","75.21535941","76.99818083","5292.665511","76.15556657","865.1253364","146.6765174","377647.426","193.5745542","1219.838689","66939.76944","18762.48455","1111.055195","76.09942487","18848.20825","75.18310395"
"M454.2383T356.6","454.23833","356.64","45.42391504","357.0241084","47.66800114","166.2324851","663.5233023","69.89493392","71.61805378","45.01694502","216.671322","51.97500105","184.2724161","590.6483584","470.6836387","294.2845258","385.8874071","166.2527079","362.5777313","270935.6204","277.9717066","283.0031218","713.615167","347.9545719","6956.272755","420.2068291","279555.3434","22416.98016","61399.73578","336.6071376","575.2401431","340.3508477","100.3238807","375068.2371","2196.090782","665.5777565","21283.24493","418.2431524","1126.91365","820.9686768","2150.682541","21785.1744","843.7944029","7078.845781","50788.10109","5289.310269","542.7096081","3766.347307","6920.067648","681.5052366","5251.84049","2753.51718","8922.328719","13099.79291","13056.37908","44792.03747","3968.371164","13095.45156","6126.967286","14141.18506","279.7549473"
"M552.3106T374.3","552.31062","374.28","1000.354539","374718.5466","25637.3068","6268.80087","3967.869113","2779.625186","1902.259981","1867.75465","1402.707319","6357.850975","5890.98065","1341.88443","4277.368401","2393.854709","2454.527869","3482.589765","1371.217794","14454.50421","3790.975644","582.8839465","2254.247248","10093.97693","1124.264769","3745.142688","583.4341656","2785.734169","1289.162118","5101.999577","19686.22485","2048.012478","11033.9988","1663.147207","4757.817653","1023.043944","9739.71429","6594.730209","1677.366769","180895.8849","90306.48078","542.6223975","3568.287563","4931.299841","2155.701729","19127.73642","26057.85489","31113.56877","46603.28483","2125.320823","50399.38909","175612.7481","5673.628027","6737.866152","11129.72763","1107.37672","2332.899664","6267.627946","1450.430653","7405.041333","1315.253866"
"M422.0665T276.1","422.06654","276.12","95.35517928","94.14648142","93.05663749","94.37196444","94.72074514","93.06997343","308.9730252","94.6388312","229.1589274","1503.945584","93.04290033","20717.8197","93.96559846","92.73441161","95.68944029","95.09877518","607.0381657","95.4480731","710.8211274","94.91150531","93.94017104","95.4886089","2827.687972","94.94220995","2828.908649","96.66239856","214.5468563","102.7408483","94.63985735","2763.959074","93.59430625","962.1449417","97.29829073","95.2570745","95.11192423","94.60700147","1956.973216","95.03508331","94.0774965","95.27372713","96.42782111","94.99168309","156888.3019","469.3853967","84172.13534","196.6809509","100.1229303","157.3960859","1360.805365","100.2581886","373550.3754","39628.2368","9112.64793","7080.292916","2083.786326","263119.3698","426.6043673","29614.36135","100.0552135"
"M118.0631T197.2","118.06311","197.22","532.4495931","13117.33892","25767.07684","9660.870854","549.8390802","2401.898137","41790.00571","352.3750325","29180.8569","45736.09119","33287.61098","137427.4842","29738.07947","34287.91876","504.1023474","1049.584937","8326.530929","146661.3361","299.7798153","912.7684293","368.0958934","349.2058305","1051.712222","539.4309362","27831.04222","1498.735929","19900.70207","332.2462144","1010.126241","465.8635309","813.7144237","45480.53751","13503.20043","10684.47828","6270.335862","53050.58563","3151.876162","9515.510615","2707.647099","139528.5795","795.8006895","2961.954931","88101.94589","43212.14514","372980.2979","32226.38803","5926.745919","14106.15623","8552.078794","6070.807455","12489.98228","343011.0358","6643.60162","77172.50592","84547.6217","38731.95812","151068.6566","4322.661876","73781.11501"
"M423.2743T461.3","423.2743","461.34","133.5407326","191.0174935","109.8761528","1285.337552","1186.448091","239.885667","1219.271706","3969.327264","389.5168576","133.4007864","5561.857338","12124.38128","105.220031","103.97511","4684.712892","690.4036265","80528.02882","6748.343809","14612.97151","3397.135193","6670.368201","15536.26538","21867.50886","547.521363","3600.504167","141.3732982","4670.165368","855.8079902","105.8262743","108.8042053","106.708377","2342.007056","94081.27173","437.9204843","166.2038482","155.6027778","1350.681993","1050.373906","24772.27713","1530.328862","9447.030238","8656.464165","28432.74271","1348.529546","593.1056724","11364.52062","24205.07025","1115.497458","723.1804937","3124.045239","32648.61189","93612.21356","7864.3587","112363.3825","111.4178689","774.1383209","372918.6713","11168.38169","10081.98983"
"M390.2765T362.6","390.27652","362.64","27561.78493","694.9475882","1724.117466","62225.99995","3529.571313","2665.898976","53978.66192","3760.012057","320.8779296","17914.98322","1185.627356","37763.60359","18670.41677","6790.279261","4520.13891","8019.437956","372647.1679","8242.651732","29246.87617","5104.218693","1419.923475","47332.94294","44194.40052","9817.846478","33153.53276","191933.2162","16685.83477","15499.08121","33824.7621","1991.832039","31298.59701","1791.907644","1919.259399","918.3051964","17439.13123","6393.699816","8691.227519","2411.487685","17508.94489","13658.77904","114209.3166","54462.64206","1852.696661","177453.1518","13772.80245","38872.36346","894.0807709","1703.057322","3514.867596","2344.945246","90870.43931","12652.73033","895.8778769","1391.167877","6210.031997","62094.75879","3080.839237","44482.03341","2064.958135"
"M467.3135T745.6","467.31349","745.56","270.2446262","287.2628218","178.0286754","234.6072604","180.2461571","319.3203241","178.8812964","181.0412247","180.2713646","183.1031175","274.1928897","185.7899196","183.5966872","183.6778829","181.5042887","227.9536184","283.9708461","179.8692083","182.1617491","182.2662916","183.8688468","181.7000217","182.8915881","225.0358956","230.9042097","276.215981","182.2120125","181.9507859","324.6702222","183.9593223","186.9065519","180.6941342","184.7800195","185.1043414","186.987565","239.5712597","180.9821554","183.8452362","183.235252","180.7877181","183.6233166","184.6436724","194.1275392","197.141471","196.7209299","198.3882539","199.8483477","202.2681913","200.8030721","200.2000845","372356.7307","197.8200407","195.1151646","196.0194513","194.3943559","192.7359675","196.6392081","200.0498415","202.1200326"
"M219.1105T144.8","219.11047","144.78","71048.45431","54816.51127","67906.68267","117912.2372","55765.66525","86169.8533","98736.66686","146128.943","109872.365","83306.94948","20775.27952","45881.60455","11412.04947","115161.5527","69241.48083","107279.071","280498.5134","9526.834005","237086.9677","89443.30719","118240.0635","56834.05984","92430.58112","103340.143","91890.25342","30928.54204","35622.39662","31443.17389","109094.8135","90124.29291","54807.33733","62442.60416","78978.52954","102641.6606","103898.7521","160266.2409","87418.6835","36265.79131","115372.0887","160792.0875","39887.97008","115447.5699","112450.6091","278988.8696","229037.4801","161780.1152","344271.0841","258704.1883","372119.2066","270235.4225","150221.3864","259432.5546","142102.4112","261498.2068","127659.7309","75173.38477","233566.2043","300934.8227","239747.7992"
"M500.3158T407.8","500.31578","407.76","6454.619142","805.4590361","1092.229297","372.9988036","1461.922144","346.6417145","157.7250869","96.07224014","893.052952","787.2134369","1430.832759","1549.031695","894.7155101","795.9449338","3411.535626","313.7987947","5630.425899","2134.638914","1605.27291","1012.599224","894.6445329","1551.165121","3870.640615","1564.625822","646.4918731","2045.181329","93.98126712","96.50177353","2716.223857","2765.190467","2064.615369","1353.602359","678.4577478","1600.64335","854.2582544","630.0060133","888.2804315","1716.567633","2878.979388","3076.927484","3194.735536","3201.287627","1085.402564","2647.383357","398.3075995","2500.751648","2044.678741","2314.35038","3830.860517","1530.195323","372108.7048","1420.168174","1638.269397","176862.6725","1067.059956","1258.927446","2065.457607","3390.537329","1571.713556"
"M346.1049T236.6","346.10491","236.64","232.7061011","272.8024126","339.2536328","231.8263028","371353.1141","464.3382886","110.2540731","619.5918847","760.3646474","128015.0685","115.2558299","118.8625474","148.5013385","545.6017327","113.6383454","479.6243184","112.6674835","113.5438419","236.4718115","351.844805","110.4924892","9140.117029","629.3061553","288.8073685","113.8930613","291.1435813","110.7449966","430.9732721","113.4585823","201.8726326","112.9168707","243.2391463","113.8974615","10844.45771","111.0576484","573.1922337","268.2395484","1099.026382","113.822963","112.838172","113.5808968","114.1807506","117.5769498","1521.009257","118.1748101","194.0141069","156.2030602","381.928779","1271.724815","189.4807139","372.7294087","199.5999822","189.5684677","121.5416988","365.7179473","236.5298717","876.2017235","118.8891126","216.0692184"
