"","mz","rt","pos-Exp1_K-1-24_1-E,1_01_55180","pos-Exp1_K-25-48_1-E,3_01_55183","pos-Exp1_K-49-72_1-E,5_01_55186","pos-Exp1_K-73-96_1-E,7_01_55189","pos-Exp1_K-97-120_1-F,1_01_55192","pos_Exp2_K01_1-C,1_01_365","pos_Exp2_K02_1-C,5_01_370","pos_Exp2_K03_1-D,1_01_375","pos_Exp2_K04_1-D,5_01_381","pos-Exp1_P-1-24_1-E,2_01_55181","pos-Exp1_P-25-48_1-E,4_01_55184","pos-Exp1_P-49-72_1-E,6_01_55187","pos-Exp1_P-73-96_1-E,8_01_55190","pos-Exp1_P-97-120_1-F,2_01_55193","pos_Exp2_P1_1-C,2_01_366","pos_Exp2_P2_1-C,6_01_371","pos_Exp2_P3_1-D,2_01_376","pos_Exp2_P4_1-D,6_01_382","pos_Exp2_P5_1-E,1_01_387"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M337.1464T231.8","337.1464","231.83481","31698.82","1222.007","1811.081","22008.59","1149.469","756.0222","726.9829","596.1432","717.3392","18684.16","18386.93","18281.4","24610.85","7080.074","7660.354","4969.095","2683.628","6619.616","6540.751"
"M337.1784T204.9","337.1784","204.93774","14420.27","28812.17","21921.55","20638.67","26563.32","5249.554","5415.157","5000.709","4722.317","108068.4","100748.1","107132.1","95831.21","127024.8","17390.98","20600.54","3798.044","22625.01","13379.56"
"M337.1954T258.6","337.1954","258.56942","8676.487","2942.517","3048.76","5874.272","3624.449","311.0611","677.9125","551.947","677.3669","76628.35","81240.88","87322.39","71593.67","85720.54","19381.98","22548.6","3076.714","22319.36","17576.06"
"M337.6813T208","337.6813","207.99242","5326.448","9636.264","6302.243","8021.505","10231.31","1290.322","1531.245","1552.789","2193.105","32832.83","31733.69","35188.61","49853.32","59071.76","7688.952","9175.583","2052.143","9537.069","6437.582"
"M337.698T258.5","337.698","258.54579","690.3467","815.4657","723.0597","783.0311","1092.684","154.8439","107.7975","151.83","128.4715","33013.79","35095.22","41435.62","32206.07","38679.23","7977.44","9621.011","1380.446","9309.926","8100.386"
"M337.7086T219.6","337.7086","219.63535","294.7128","472.08","448.8132","503.7979","487.254","142.2158","88.4517","172.1995","52.4223","29566.71","30829.33","27654.11","33976.9","13453.22","2808.75","3635.539","2448.29","10210.08","7681.901"
"M338.1237T316.1","338.1237","316.07541","7486.961","16508.54","6341.288","17501.02","11504.78","4457.251","9705.304","6523.781","5274.251","7784.262","7629.372","6045.842","11976.6","3445.986","7355.213","9122.144","6776.466","10975.34","9831.052"
"M338.1601T146.6","338.1601","146.58389","1057.93","3322.466","1139.736","2429.716","7988.608","344.7564","478.3354","351.0674","345.4239","137388.9","101254.8","114115.6","125478.9","68398.28","25102.06","31834.46","3164.863","50587.42","23813.17"
"M338.3413T1019.9","338.3413","1019.86948","59430.02","52050.51","102521.5","49858.95","23702.35","2011.676","2056.241","2523.684","2780.89","273293.2","43670.74","76865.29","1032521","423519.6","1671.931","1872.918","1606.854","4349.477","2017.205"
"M338.6624T146.2","338.6624","146.22923","558.4032","462.5796","409.7501","681.1529","482.5945","116.79","76.74771","134.8783","56.74843","51397.43","27177.65","37769.56","46777.9","24586.04","8877.75","12215.92","1005.008","19275.93","9822.862"
