"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M687.54T303","687.54","303","19524.1","16862.7","19564.9","16021.9","32092.4","29554.2","28667","25553.7"
"M737.54T303","737.54","303","137941.6","144741.2","137712.7","134707.3","233086.9","249086","223728.8","213456.2"
"M758.58T318","758.58","318","366563.7","381550.9","289240.2","269220.7","341332.7","383464.2","221292.3","199643.2"
"M746.51T316.8","746.51","316.8","41976.7","39233.5","41063.8","38616.2","55984.1","51446.5","52999.4","46119.4"
"M788.52T315.6","788.52","315.6","251190.8","261805.8","273874.2","271908.4","415510.1","405104.8","424804.7","411281.7"
"M736.53T360","736.53","360","64769.8","63902.6","57531","57826.9","12289.6","47136","47330.2","46494.3"
"M822.59T393","822.59","393","13721.6","12764.2","13710.7","12549","16079.2","17742.4","17054.1","14353.4"
"M744.56T402.6","744.56","402.6","336675.8","329260.5","320710.1","322392.9","321868.5","332577.5","327614.7","344371.1"
"M802.57T411.6","802.57","411.6","13741.8","13013.2","13138","12593.7","11579.3","9895.3","10995.7","10463.3"
"M704.62T446.4","704.62","446.4","84948.4","101757.9","117303.9","137739.8","144490.5","154406","177554.1","194707.2"
"M690.6T446.4","690.6","446.4","11766","10500.1","15072.8","15185.8","16373.4","12688.4","18207.2","18145.1"
"M700.6T460.2","700.6","460.2","3018.3","3606.2","3118","4500.1","1585.3","2200.1","4083.9","5577"
"M469.1T45","469.1","45","262.2","359.3","980042.7","1015769.7","777.5","927.2","1251950","1195560.3"
"M305.25T145.2","305.25","145.2","5956.5","5464.4","7688.6","6894.8","4546.8","3325.4","3793.8","5690.4"
"M747.52T307.8","747.52","307.8","85843","52465.3","66931.2","39259.3","101950.1","69268.4","71757","57926.1"
"M1192.79T414.6","1192.79","414.6","34297.8","33254.9","35740.7","32706.5","32073.3","30796.7","29796.3","27736"
"M1194.81T456","1194.81","456","110831.8","105240.5","105364.8","104782.2","51231.9","51589.7","50752.8","45479.5"
"M740.64T431.4","740.64","431.4","1994.3","4378","2115.6","2380.5","6772.6","3795.5","1773.9","3355.5"
"M650.57T406.8","650.57","406.8","3151.1","2389.5","3774.7","2853","4854.9","3381.8","4160.3","2464.5"
"M840.6T430.2","840.6","430.2","2219.5","1493.2","1985.5","1708.8","1600.6","2211.6","2232.3","1886"
"M692.62T462","692.62","462","28074.8","34064.7","36371.5","45986.2","33316.2","32643.9","41448.6","45708.6"
"M886.7T472.2","886.7","472.2","3227.6","5627.9","3078.4","5278.1","10724.5","10633","9775.7","9718.2"
"M627.52T433.2","627.52","433.2","5666.2","7516.5","5761.1","6825.2","6567.1","9044.8","6532.3","7488.5"
"M846.55T307.2","846.55","307.2","85877.3","42530.8","65249.1","40779.6","59998.2","37451.9","50860.2","37772.3"
"M1032.75T465.6","1032.75","465.6","69292.3","71275.6","62698.2","66972.7","54823.6","64605","60704","64508.6"
"M365.25T163.8","365.25","163.8","19855.7","21156.1","23244.6","23300.8","19589.7","19651.7","18711","20098.2"
"M422.3T168","422.3","168","702.9","871.6","794","547.6","976.6","1138.4","668.5","629.4"
"M770.53T348","770.53","348","38688.4","35489.5","33486.8","34212.5","38457.8","44766.7","36807.2","38421.5"
"M598.5T363","598.5","363","7815.3","8334.9","8301.8","8478.5","8067.5","8153.7","6532.3","6650.8"
"M662.55T389.4","662.55","389.4","377.4","488.6","247.2","459.1","1372.3","645.1","801","484.8"
"M651.47T393.6","651.47","393.6","11534.6","13733.7","13142.6","13597.7","17347.4","18484.4","19744.8","23526.6"
"M842.63T407.4","842.63","407.4","34958.5","40518.6","36535.7","41941.7","42318.4","47951.8","39666.3","43572.7"
