"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M299.2812T418.5","299.28115","418.5","285847.1247","27120873.52","5169528.915","1163592.781","30642.41989","38870.82398","44207.71295","394559.2326","4931429.476","3447688.403","2470519.05","1144095.501","8081371.679","20118.43293","32841.20018","1901198.082","1078978.012","573317.9836","4931514.143","266925.8213","972011.9284","10654590.06","1450071.081","332846.4495","426657.7887","2465.693919","18737.18123","45415.06648","10354.74967","203634.6961","27692.89434","141783.106","46918.93809","44411.14307","6312536.473","22758.21224","624860.0658","10444.20982","61436.47515","68850.40432","888761.9833","290152.5145","42969.44454","29465.8934","132105.5953","170063.2853","82782.70857","26376.10123","25556.29377","12087.67683","16745.45207","519864.6452","19938147.11","90827.58835","125398.0911","153223.0712","350208.1257","69713.42904","16150.35242"
"M299.2812T413.8","299.2812","413.76","285702.4235","25194303.9","1427534.466","27460.72806","29896.80635","5315.413973","31776.08732","391915.3034","825009.4489","257642.3298","131953.1836","39873.23887","405126.76","15856.6884","36025.87058","84864.61405","1033667.691","1191867.219","255906.6291","244539.4738","32023.70423","142936.0403","1189701.016","37990.11258","227703.2943","8431.294335","124599.8119","12673.39784","35639.84803","37619.61523","61971.31885","688456.876","48233.3992","63485.41264","245640.2992","23433.26603","526491.2895","18778.63709","45901.71619","272811.1673","20779.4789","12091.9766","213456.9892","100588.5021","474391.973","520077.6394","246841.138","144586.4583","79412.85729","25728.69962","137800.0275","927087.6699","1037152.869","361053.8208","900024.6218","311546.0326","1257236.162","147646.9028","84132.71994"
"M356.2698T412.7","356.26982","412.68","15042640.56","20262801.97","17880328.53","116242.6012","15628512.08","13778184.51","5198269.505","17057488.51","12708700.9","12028209.1","13540782.1","161693.0095","17256786.46","40589.41039","8266425.142","9649263.668","1190013.533","6770108.565","24763003.91","1330098.577","16565148.8","8178433.985","20567771.25","2178286.229","15856939.76","6976875.575","4538906.836","165643.6739","12507039.45","12771522.68","13479039.08","10585116.66","18931467.54","379992.6527","9206851.548","58375.52674","18063221.09","9261580.105","11342863.16","13223943.53","17174461.91","16308076.2","7143107.929","404387.368","10698253.59","424360.882","12842468.6","5466960.726","2215583.671","3518435.93","20440.57986","6505381.911","3848110.241","11029894.15","886529.2638","23280.51456","5992349.415","11883217.74","4390334.697"
"M356.2694T401.6","356.26943","401.58","133188.194","499231.1267","183463.3911","159694.38","60343.52905","41403.51126","4454.381251","216894.1673","57590.57325","12645.61546","122163.6319","180676.6079","371176.1841","2868.726985","12951.13595","54407.972","8382.687284","607316.0672","391177.5342","41767.67089","128697.8511","24039.77229","20255.28136","22958.71341","531096.5397","230210.387","334794.3669","133643.0865","180859.5656","89358.69042","100398.7117","24730101.7","503317.3694","124133.4421","1441235.04","1183716.915","1231482.882","45738.0928","2799987.089","794294.8041","150959.0062","31686.08783","8595774.041","3170631.652","3069737.535","977170.6245","2233288.382","163464.1093","34353.33066","19948.71982","4798252.456","184309.3813","302427.3435","14073793.35","4552235.313","14163531.26","185963.7004","4469639.453","53311.96008"
"M281.1612T220.1","281.16115","220.08","829.8464295","546604.3486","416.2946635","321.008573","1424.056164","421.0466255","556.5158392","610.0484474","854.5510209","167482.708","818.3368402","23447697.25","935.9578811","270954.9022","3880.580404","6067.467031","994.8457109","566.2391222","725.4494219","1885.566977","356.7302751","1539.216212","690.0119501","1572.377242","592.4644915","767.2394105","305.8395631","489.6061289","2195.112274","648.8746786","912.1370381","1034.674674","632.7729747","1203.250852","1258.370993","272719.2098","567.2424748","651.5296357","463.3590744","315.3499525","510.6921999","610.7301011","251.2779002","384.8772195","200.5693423","290.4323382","480.2481664","428.0624208","570.4930287","315.9473761","405.7965304","953.3086232","4100.018221","593.8112011","576.7366513","602.3531937","1197.662839","488.9948586","357.3926243"
"M517.2278T261.7","517.22785","261.66","682.153036","854.8977976","573.2264194","1442.498952","748.6951036","721.0162441","330.0314144","663.2887492","547.2172184","356.3383259","880.1290591","470.4549183","399.7683596","325.5562922","809.0018453","8110.535241","668.0722083","801.4624957","852.090329","2146.911798","383.6537396","838.9845982","732.0876824","646.864254","644.9536743","31559.35092","302.3938622","448.2353793","606.5064042","766.911392","538.852883","23324648.83","4891.594199","2128.735352","2236.645188","589.9382465","618.0382867","546.846818","1626.499947","895.4847591","582.6212657","807.7043901","328.547681","255.7238658","152.1672719","386.8927897","444.4116668","326.0495815","751.7848444","263.0314115","401.2269203","308.6608041","386.3088668","444.3376263","156.2509133","345.2285279","401.462181","345.9707596","504.7517335"
"M354.2541T334.6","354.25408","334.62","135056.9328","782900.6566","13735468.75","15596352.03","129957.2","14844.97453","48926.02693","90608.28112","29281.22515","3219875.271","124175.147","21789868.93","159695.9436","6083077.986","28493.76939","21915.7011","22679460.68","235481.1873","53500.58884","42541.55867","52538.81577","24210.48877","45647.83367","6246.756251","303816.4376","63235.03906","229842.014","48265.6686","137653.8343","31670.59009","265669.3897","21128551.11","1232638.011","54305.74598","3780111.397","7465949.248","245874.5144","21636.12024","1320975.992","958342.944","54914.33768","50383.64069","8102098.164","7393316.307","3484934.178","6900047.265","936226.5603","85291.47101","29579.95553","16152.19624","10147417.08","129028.099","394500.5003","7568788.219","4212328.522","9946345.105","38661.10917","554174.6358","53243.94987"
"M592.322T251.5","592.32197","251.46","3600945.461","22591251.56","2021082.104","3621.217465","5700992.755","2254421.399","989.8063331","2242452.45","5421271.725","3924751.384","6932.051354","2753.36826","7609861.321","887.9880583","2577168.906","2498173.611","3731.811066","2384061.435","18336925.43","1151830.43","2421836.062","1290225.979","10805627.35","2700074.83","12083.86867","2564611.589","1085.61426","806097.6022","4546119.473","3619806.809","1038158.375","4473.168424","4699734.803","5681959.461","12423568.48","1450.910994","9822989.585","2271739.581","6336596.18","1663493.833","10764744.45","2543769.826","225929.3532","483.5993036","21294.38394","370811.2426","2036628.665","3934797.755","1346851.472","1340202.438","1065.607511","2424486.277","1301562.753","969.0396513","498.9598319","686.7913386","1745748.8","1550.247828","1552744.926"
"M384.3373T721.9","384.33733","721.86","2944.675604","17474.35064","22284067.76","9776.744784","6106.288691","2725.553426","2467.820267","3746.450368","4875.72764","4034.482632","116757.3588","2784.953916","1921.141532","1575.073751","3369.434102","56711.32011","5329.596282","2625.282354","54897.41446","5092683.873","216312.2826","288337.7774","1176426.622","3668014.204","202622.3295","13333.87509","51181.13268","4293.706241","15293.24262","2091127.97","26911.26654","527412.7052","978088.554","217374.6488","227405.4685","35559.76142","34311.28972","1980854.354","14566.28589","30493.32912","7545.537342","182074.9608","4005.983569","1344.004676","1353.696557","5312.088144","5763.690687","6764.126799","1838.573864","5614.149582","1804.797035","1591.948594","4037.038572","5128.832066","887.7423822","1770.539804","5772.402464","1595.040597","5617.95223"
"M536.2752T589.9","536.27524","589.92","4397455.189","837142.3233","1472015.831","2958506.725","6964320.949","7690849.74","4408537.154","3940555.401","1338069.957","984923.3664","21859398.43","106961.4633","1418441.635","100686.1285","3573185.196","21698607.07","14843.22221","699215.8199","2055678.768","279213.269","645939.334","569639.9568","2818703.556","5099213.547","1311617.489","12553936.67","342650.4219","9100314.388","4109927.605","4305576.102","2482678.581","1794219.802","341657.3494","915124.9974","3175267.026","184869.0891","1927520.349","1997412.984","468542.1536","213046.1051","2174008.851","7649398.503","239338.0991","1710496.853","1359.449041","309381.5008","298214.5815","1568.984475","618599.061","591.68562","1571589.945","790.2890412","2264613.815","9630.487566","1070859.99","923.3968685","471995.4844","339.0969288","2432397.654"
