"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M259.1153T319.3","259.1153","319.28191","13888.76","2933.062","3591.097","9749.078","2822.539","1430.584","1719.638","1736.45","1381.212","565862.3","344809.3","278075","195616.9","156891.2979","30640.37469","37593.66472","7252.664","115581.41662","24577.39"
"M260.1188T369.8","260.1188","369.81014","1460.725","1070.288","754.8628","1878.603","674.8347","227.468","175.744","170.754","161.4392","133228.6","109809.2","93788.82","64403.44","40464.5584","3694.89044","3622.5624","560.3317","18436.32663","2057.682"
"M261.1319T293.7","261.1319","293.70648","117982","28641.07","25778.45","70729.63","24623.29","5168.808","3605.422","3836.251","7675.459","242233","247898.5","211051.2","156484.3","148953.5041","42594.53484","39059.68222","15408.99","67651.71358","37096.18"
"M261.1314T277.3","261.1314","277.25985","33379.39","13810.19","9258.269","24266.79","11560.84","1605.557","1445.134","1107.218","1748.102","865784.6","838630.1","698575","536600.2","679019.4622","92087.9448","96976.06801","27136.37","196033.33582","77948.74"
"M261.1228T169.2","261.1228","169.21676","364523.4","419959.6","359426.8","361449.8","432168","6305.818","6382.353","8162.772","6957.633","33234.94","30663.97","31937.19","30498.92","31830.3946","3752.92529","3373.85632","2804.738","5115.16239","3723.996"
"M261.1669T482.6","261.1669","482.60997","488.929","375.6034","326.5142","405.0259","292.1027","108.0475","161.0824","86.39618","55.70719","25542.48","11598.01","21541.11","48653.01","36619.9901","7879.11923","6024.67844","4042.482","6798.59208","6192.758"
"M262.0727T200.8","262.0727","200.83843","3609.068","2972.06","2780.325","3219.99","3334.099","598.0372","514.6522","482.6758","475.209","27609.97","24496.87","28237.52","34017.79","21565.9761","11835.4608","11817.81458","9391.503","13632.8976","14159.23"
"M263.0975T22","263.0975","22.01047","51042.18","37273.18","36388.65","31727.43","29339.64","5720.661","987.0905","1113.929","1206.172","1817.098","1367.878","1193.999","1414.821","1128.4037","24786.96109","3446.73984","431.8843","592.34824","2003.818"
"M263.1376T193.6","263.1376","193.55941","59654.4","74602.94","62598.25","61382.99","73751.38","12389.94","10686.88","11135.88","12313.83","27100.92","28346.71","24420.65","25205.78","26956.5849","8375.32636","8933.01436","4145.419","10599.06133","10257.35"
"M263.137T175","263.137","174.95945","38892.44","51756.05","42707.27","44279.08","55602.13","7380.836","7550.099","7706.389","6832.877","49642.97","47011.84","46935.27","36438.46","39688.6508","8036.57823","8407.11042","3222.997","12647.47787","7407.518"
"M263.1469T347.2","263.1469","347.18608","153678.9","11869.75","35880.72","85764.03","17145.89","7125.02","3476.886","12494.93","8571.917","11227.33","9764.684","5938.766","69355.37","8290.3472","4218.0384","2055.77365","2945.688","1570.59106","3950.317"
"M263.8921T26.9","263.8921","26.88449","451.8519","374.744","415.1277","528.4877","425.2363","87.05021","123.72","88.03797","153.4429","14066.79","55251.82","61371.56","48503.67","42808.7695","503.2127","3525.02685","1109.22","8652.34994","3680.158"
"M264.0798T278.3","264.0798","278.31801","5953.184","8885.357","10167.64","7067.069","8874.62","3754.493","3279.327","3211.017","2553.847","3714.336","3112.456","2674.676","3883.58","3168.7154","1651.50562","1487.66486","1443.325","1033.81125","1853.015"
"M264.0841T235.9","264.0841","235.9146","3895.383","2350.238","2626.241","3303.501","2516.84","551.7271","471.2557","519.5262","460.5832","12679.38","25397.33","15609.08","24712.04","9330.5956","10200.18921","8338.65042","2249.384","6108.256","10057.88"
"M264.1559T428.3","264.1559","428.33135","7254.826","8989.812","8789.168","6952.714","8808.696","1767.06","677.9273","943.4208","3050.511","323.2469","332.0029","417.206","1419.219","574.3577","794.87944","712.96426","955.6893","535.2675","1912.043"
"M264.1394T175.3","264.1394","175.2667","5286.946","7129.25","7343.93","7215.015","2877.446","1304.563","858.546","728.9873","1272.017","6343.641","7089.132","7827.649","5429.407","7175.931","801.70395","721.87286","645.1099","1991.96036","946.9011"
"M264.1402T193.7","264.1402","193.67423","9208.608","11988.29","7582.611","6728.931","10151.15","1136.909","1654.11","1731.666","1402.946","3623.252","2708.862","2043.871","2429.583","3156.3908","756.80226","1457.1648","1066.705","1403.7888","1366.408"
"M264.1502T347.4","264.1502","347.38218","21065.95","2331.366","4782.851","8708.191","2257.226","452.4626","494.9734","1424.045","795.7436","2362.707","2163.203","1473.539","7497.842","1878.7798","570.72544","441.53745","307.653","304.01892","401.3659"
"M264.8476T427.1","264.8476","427.08855","3800.357","2871.14","2740.388","2827.243","2092.659","343.608","541.4869","598.966","544.0472","3095.574","2601.977","2380.198","4289.01","4534.1119","1500.73143","759.22108","397.188","530.932","1744.941"
"M265.104T281.4","265.104","281.41551","7224.642","2307.471","2276.589","6042.502","2388.488","917.9289","943.9363","810.7521","812.5654","1955.274","7870.568","5471.688","10989.88","15183.5637","2812.23296","2610.38277","690.7303","1770.50571","2308.993"
"M265.1152T64","265.1152","63.99486","13070.96","13182.17","12452.87","15849.24","18207.09","626.0546","1097.347","951.9998","853.5289","18996","15654.62","13013.5","12248.31","12965.132","1591.9325","2125.90534","1142.246","2505.7528","2096.922"
"M265.1408T430.1","265.1408","430.10076","2792.045","1292.395","794.6056","5407.598","1062.772","445.8628","359.158","227.4879","323.592","7573.513","6158.725","5607.653","9434.206","7689.8258","4143.32157","3469.99496","1403.669","3775.6848","3584.945"
"M265.1764T588.4","265.1764","588.42275","8429.719","2715.821","3512.808","5553.677","3138.818","572.3051","527.088","498.332","502.9683","30313.89","23537.96","28602.4","29748.46","20609.0727","4399.66253","4452.51522","808.201","9470.8683","3304.982"
"M266.103T590.4","266.103","590.44373","3230.819","3800.839","2287.259","3425.315","3503.102","2180.822","377.5975","634.9339","775.8929","2845.153","2191.622","3958.912","2513.948","3595.5654","714.10238","667.79212","706.2471","535.22526","832.5868"
"M266.087T50","266.087","50.04754","41651.71","47824.66","45716.62","40962.8","47925.4","2177.871","1094.644","2405.389","789.8356","2479.72","2235.744","2374.844","2770.465","2688.5917","807.66667","554.64376","578.0805","649.43267","791.8609"
"M266.8454T427.1","266.8454","427.13293","7750.754","3553.443","4168.43","6755.265","5268.309","786.2068","1130.006","1352.966","682.4871","6861.657","5879.168","7143.526","9247.304","8674.717","3531.15531","1661.69628","1364.887","1180.83221","3450.489"
"M266.9191T436.1","266.9191","436.05526","891.8134","1244.917","1472.571","882.796","720.6635","127.0896","229.4733","170.136","185.464","3770.919","2566.191","2674.305","4627.322","5152.8109","2344.01555","569.93251","443.2285","234.83217","2463.069"
"M267.0838T187.7","267.0838","187.7475","11029.85","4074.632","5018.806","9537.577","3778.748","1246.911","1235.569","1184.116","1090.979","56969.11","41820.41","41671.97","65867.32","58693.9585","16171.59139","8995.79175","4581.003","12080.78842","15517.42"
"M267.1928T514.1","267.1928","514.07416","12379.37","8376.643","9369.835","10357.11","8515.99","2315.018","2892.372","2797.484","1956.817","8252.793","10034.5","10185.75","7074.641","8236.3404","2018.75972","1724.52953","1293.235","2129.26045","1906.034"
"M267.1946T589.4","267.1946","589.44296","24391.16","10537.87","10837.13","15329.46","8824.369","1788.804","1418.325","2246.061","2205.898","11697.57","7549.591","11003.21","17063.92","9345.2395","2236.90645","2095.49474","1951.589","2019.57686","2298.128"
"M268.8435T427.1","268.8435","427.1079","2391.314","1514.304","2148.457","2684.818","1325.561","407.3256","605.3206","380.8991","235.4745","3111.646","3078.88","3131.65","4175.181","3679.871","1550.26293","898.1155","688.5504","335.22162","1658.801"
"M268.9823T251.5","268.9823","251.51849","3281.134","5920.694","7863.377","4607.801","7895.885","4216.325","5542.131","3749.538","4833.14","622.765","562.5117","464.8976","841.7084","547.0051","912.15353","606.8184","2471.097","434.6808","1085.408"
"M269.0998T432.3","269.0998","432.33253","765.0999","951.2846","1111.292","1222.921","1135.16","659.1024","424.4546","278.2679","453.5794","40341.82","67812.24","43875.75","45280.03","38368.5303","6186.46248","6561.2448","912.4951","17441.4536","4398.198"
"M270.011T281.5","270.011","281.52615","1394.429","740.5062","673.0888","756.3402","763.3288","138.0731","100.3865","115.4256","188.7327","26709.06","20148.52","8843.511","56028.72","14993.3722","579.1296","761.47182","114.7149","634.01066","194.4888"
"M271.0589T401.9","271.0589","401.94193","11222.81","8280.09","15697.29","11294.91","9730.352","455.247","554.6343","334.4676","438.9612","7192.815","13039.92","4701.728","12991.05","7034.3738","8847.4056","4536","1843.255","3340.35417","5662.597"
"M271.0407T216.8","271.0407","216.80975","0","6035.657","5445.18","65.37315","7546.556","2792.479","2517.73","1660.607","1559.58","27643.19","28735.83","23092.01","27253.43","21359.0111","6948.2208","6036.74046","2405.134","5952.4248","7109.4"
"M271.1173T371.1","271.1173","371.07583","7786.866","1203.001","1150.979","3060.414","863.189","637.9616","281.8603","368.9201","458.8788","144234.1","152444.7","120682.5","83285.95","62564.5963","13366.68142","8798.426","1866.949","32853.3093","7669.29"
"M271.1161T326.1","271.1161","326.14461","35340.29","3457.828","2457.661","14794.46","4052.88","534.0063","629.5032","478.3042","687.1036","232180.5","147663.8","145452.4","150747.3","57422.4251","23210.88058","16554.35152","3419.522","42392.18751","13295.82"
"M272.1184T325.2","272.1184","325.15619","4834.601","1094.239","1031.629","4125.747","1026.839","247.1729","194.4888","220.11","261.1566","28041.9","19470.7","16691.12","18634.5","7344.0065","3301.65","1997.49386","521.9735","5052.5343","1965.643"
"M272.9592T21.5","272.9592","21.53635","3421.203","7550.714","6946.967","8831.07","9253.783","19099.26","29046.73","26196.03","28397.75","28004.58","34516.12","36162.19","30667.17","38798.9119","1386.35119","13443.80908","19286.08","20656.97218","10684.28"
"M273.1285T295.3","273.1285","295.3111","32246.8","6388.818","5088.595","22516.75","5037.041","956.6143","772.8643","875.6016","895.2818","1208986","1215081","945061.8","799513.7","612830.3814","147804.67032","94021.21317","17939.22","250186.26302","85550.83"
"M273.1282T305.4","273.1282","305.42234","32091.85","2601.25","4140.551","21805.14","3248.476","790.0043","798.8729","812.9832","805.4441","598424.2","552182.6","460758.6","377901.7","278539.3807","56168.08711","34684.0925","11684.94","92110.43271","34655.81"
"M273.1672T411.1","273.1672","411.14544","35156.58","1459.874","3643.324","22321.18","1528.957","821.4863","420.5823","503.3328","526.3116","453912.2","423660.3","473520.5","469242.3","433891.6037","117795.45742","106236.79511","22448.72","147923.25763","93626.16"
"M273.9605T21.2","273.9605","21.24952","1336.026","1884.44","2051.656","2538.311","2469.551","5516.423","8813.685","8073.121","8941.19","8739.473","11306.99","11549.57","9878.818","11927.0697","400.35927","3946.03916","6033.214","6679.58127","3546.772"
"M274.0694T341.6","274.0694","341.56236","6815.467","3628.965","1664.536","1966.032","3431.072","578.796","1405.67","1184.162","679.5432","1139.509","3624.098","2365.712","3187.979","2898.709","3017.79351","3825.75332","3288.469","3603.95864","4593.17"
"M274.1309T295.3","274.1309","295.3111","6109.843","2191.656","2286.795","4396.328","2143.259","607.1783","555.3816","457.3142","519.0233","173366.9","172282.4","144449.6","113812.6","91955.5549","23781.59175","14815.41293","3122.461","38372.55852","13158.43"
"M274.1705T410.9","274.1705","410.89362","5463.028","608.1262","734.079","2593.848","467.7005","226.0994","75.7163","119.0866","86.72352","71007.99","64270.26","72743.49","69071.52","66432.7251","18145.34346","16515.82728","3458.431","22459.80969","14236.11"
"M274.9574T21.4","274.9574","21.39294","1492.828","2628.113","2510.146","2669.086","3228.479","6324.146","9426.044","8561.844","8774.12","10210.43","11036.4","11450.51","10205.86","12446.8099","537.19234","4129.13857","6172.908","6580.58822","3647.751"
"M275.1015T244.3","275.1015","244.3446","105150.6","93817.7","96384.7","108446.5","104658.3","7880.605","6421.491","7413.776","7578.132","100327","95376.06","101374.5","103465.6","110122.8106","15431.43981","14975.19027","12085.72","18443.32248","15983.8"
"M275.1015T202.6","275.1015","202.57498","30783.89","29384.74","31524.17","31282.87","33943.65","2367.8","2164.268","2208.702","1938.519","15823.25","16011","14736.41","19053.33","14996.4248","1736.55237","1861.29287","989.7058","1815.94648","1866.139"
"M275.1371T222.6","275.1371","222.63484","24041.48","23410.75","36326.98","35396.46","31812.53","3424.151","2738.856","2816.056","3185.308","21537.66","23124.31","18542.52","17008.33","18879.9191","2256.4704","2425.84875","1630.486","2698.00506","2246.453"
"M275.1461T255.6","275.1461","255.63208","13366.65","8628.63","6301.664","9853.615","6843.453","1780.831","1592.967","1511.723","1602.433","2185918","1947702","1996959","1517083","1364590.6254","254390.68794","195835.77857","39758.7","327133.49625","145145.7"
"M275.1798T398.1","275.1798","398.06615","895.9168","579.3245","651.8289","987.6808","336.8824","155.4247","146.7374","132.7447","131.7441","32213.83","32762.95","33523.37","24980.46","28647.9546","5905.7112","4302.34287","1897.327","9089.78073","4857.969"
"M276.1033T243.8","276.1033","243.79609","16524.84","16395.8","16008.71","11819.25","15873.71","1342.498","1118.894","1102.795","1407.651","17092.63","14785.73","13373.17","18139.33","18880.574","2267.133","2898.27468","1928.341","2598.5346","2768.213"
"M276.1489T255.6","276.1489","255.63208","3750.131","2343.3","2431.574","3441.669","2398.892","727.9969","621.7444","577.6753","527.2392","325113.5","285904.2","291753.7","219876.8","201151.93","38722.82028","30163.52963","5062.28","47085.09867","20858.66"
"M276.848T488.6","276.848","488.63525","4219.017","3622.194","3382.031","4443.465","5137.883","1520.492","778.1768","1238.46","640.3348","4067.245","2911.097","2888.421","4582.656","3985.147","1107.76106","963.49306","681.4006","1169.7426","1341.529"
"M277.0697T326.7","277.0697","326.65869","5372.526","1801.939","1797.221","3986.574","1383.73","425.34","369.0501","380.2128","494.3952","4741.744","6319.989","3639.067","4813.404","4760.7013","2119.12256","2340.204","1232.69","2678.32578","3457.199"
"M277.0658T307.3","277.0658","307.31628","3637.126","9845.294","8010.827","5241.216","7141.356","2165.848","1279.027","1544.259","2286.601","7325.854","6460.069","5663.923","6910.955","3742.0892","1122.2275","1198.2912","1276.219","1773.5319","1236.532"
"M277.1164T488.9","277.1164","488.92747","6225.842","1055.18","1172.232","5861.785","1467.007","309.5515","208.4803","302.1272","202.8096","14117.24","18665.76","16290.24","16427.72","22462.2223","7163.66592","5106.0618","910.8142","8188.77626","3924.595"
"M277.1364T231.7","277.1364","231.74636","13873.2","4684.672","6283.221","14248.52","3278.258","1398.03","2786.225","1745.395","1904.877","68986","51102.01","31210.24","56728.02","41120.1527","12188.694","14424.12365","6104.546","15241.1832","14788.18"
"M277.153T247.9","277.153","247.86835","166458.3","197102.2","168137.2","167135.1","192429.7","11340.45","10113.29","10668.46","10285.89","94529.42","80378.85","82017.04","84431.66","85761.8618","23868.31402","24105.26845","13958.97","24215.23588","23467.43"
"M277.1513T303.2","277.1513","303.19306","10074.41","10277.05","8080.923","8161.252","9833.77","394.1576","549.4392","420.7384","488.5147","8033.45","6847.829","6858.353","6058.596","4500.3247","579.702","511.24156","423.8669","817.72091","684.4353"
"M277.1784T628.3","277.1784","628.28835","10241.8","17234.38","12832.57","8620.687","13457.81","6776.845","4964.62","5587.352","5266.016","7365.844","7968.767","7418.266","7688.834","5964.0564","5462.4537","10441.81565","3575.505","6165.59495","5910.648"
"M278.0641T181.8","278.0641","181.75447","4647.843","3522.092","3426.279","4307.534","3170.496","709.6644","784.9608","882.869","831.0642","71312.03","59420.78","51427.91","85955.74","49263.354","25724.5632","18964.75086","5019.145","20776.36314","25641.81"
"M278.0632T198.8","278.0632","198.75681","1289.025","2149.096","2186.338","2699.78","2010.759","597.671","528.9655","495.0237","557.0249","21041.64","15847.11","16491.92","25684.69","17463.003","7453.06622","5486.19464","2171.558","6154.10512","8632.941"
"M278.1056T218.4","278.1056","218.42395","1329.644","678.1248","886.047","1430.477","822.1025","191.7165","202.4224","254.1201","301.2408","14733.65","10616.21","10742.24","14354.27","4342.0395","2472.6432","1385.39625","628.9639","2691.51708","2159.208"
"M278.155T246.2","278.155","246.24737","24073.72","33157.68","27982.59","26622.93","33083.06","1729.484","1753.071","1398.675","1738.64","14410.43","12867.56","2895.841","2002.454","14915.9669","4009.63755","4231.50487","1752.251","3803.34804","4185.121"
"M278.8454T488.6","278.8454","488.64918","8950.213","8746.373","7933.81","9472.782","9170.483","1958.259","1863.641","1470.45","1264.109","6675.316","8270.109","7921.151","9826.428","9524.2287","2248.95532","2125.92512","1459.928","1837.28049","2393.206"
"M278.891T23.1","278.891","23.11407","956.743","1987.015","1710.407","1183.114","1653.058","852.5183","1598.263","1072.698","1371.466","1816.775","6306.644","5891.434","4894.939","5132.6923","335.90067","646.54016","1154.13","675.0135","887.9367"
"M279.0952T67.3","279.0952","67.28489","7856.508","5316.051","6830.313","9821.547","4883.779","1406.259","1577.997","1409.793","1407.992","83101.7","71066.68","62689.3","61575.06","60371.7379","9066.72528","8030.46109","746.2587","10839.6821","5763.517"
"M279.1321T97.4","279.1321","97.3532","114702.6","125201","46932.35","126029.2","54677.24","18135.01","16146.44","17394.84","11919.07","35390.36","35230.18","49867.24","34366.07","41823.6287","5296.9805","8706.11824","3870.761","6269.5068","731.9268"
"M279.1381T223.2","279.1381","223.24862","8278.664","1827.009","2394.011","6975.147","2465.155","1354.493","1046.936","946.7568","943.0636","277019.5","43257.67","16350.03","20067.02","26892.6601","2813.2488","1869.26464","1150.369","5296.9008","3641.911"
"M280.8438T488.6","280.8438","488.64975","3057.276","3361.912","3970.533","3818.768","3852.186","572.364","725.0018","667.2726","573.792","3337.304","3885.318","3483.209","4194.478","3840.841","1006.56861","658.75227","663.1968","715.34817","1350.979"
"M281.1T172.7","281.1","172.69949","22859.68","17831.4","32671.14","18494.05","26630.39","9372.775","9393.487","11630.17","8865.225","3044.795","11134.19","15137.37","23150.22","6563.339","7223.00326","2845.51505","9594.853","1802.4408","2680.139"
"M281.1679T485.1","281.1679","485.07555","13548.59","805.1014","1759.825","9627.436","3034.008","105.3821","139.4605","1421.902","153.7723","27203.66","22476.62","29209.26","31795.17","27299.1514","2807.75954","3678.70061","574.0611","5148.4488","1484.853"
"M282.2035T580.3","282.2035","580.33742","1045.831","460.9872","415.0413","717.6306","378.7288","212.4227","104.0364","114.0912","142.1136","16806.71","12884.04","17321.45","19153.98","20065.4271","3555.23331","3338.0015","747.9059","4076.00544","2847.699"
"M282.9087T40.7","282.9087","40.69642","26206.3","26868.12","29347.64","25103.65","27161.19","1829.159","971.8856","1523.194","1497.415","383.1206","369.6423","363.284","247.6275","437.0902","83.05796","134.09357","183.4126","252.84309","56.03165"
"M283.0601T527.8","283.0601","527.75142","4161.304","4027.15","6628.57","3989.911","5755.257","23157.14","17826.71","16372.81","16326.03","795.7597","919.7917","1509.707","968.85","1279.467","6631.8111","4628.72672","4075.91","3884.83153","19796.39"
"M283.0808T413.3","283.0808","413.2753","8491.735","2723.095","7094.09","4969.739","3931.96","568.7149","813.6504","1319.546","560.5575","8746.115","8951.28","6044.27","10317.96","8573.0943","3273.92538","3747.033","3824.39","1803.46833","4392.178"
"M283.079T202.9","283.079","202.9199","19148.84","2705.178","8030.227","14891.17","6252.63","1236.477","1172.435","1323.963","1106.646","17308.06","23774.08","18547.04","22952.94","20640.913","5651.19235","4429.61778","3530.686","3267.80894","5162.128"
"M283.1153T249.5","283.1153","249.49427","69709.01","152514.8","34692.86","69353.97","50378.52","7352.511","6944.258","7077.537","7538.562","30953.37","30076.47","37425.32","31922.98","27786.5136","3918.79714","3313.44329","4240.574","3251.2656","2667.84"
"M283.1526T126.3","283.1526","126.33922","9222.706","2983.034","3171.105","6729.415","3606.837","991.5468","910.5586","990.3355","1034.635","26703.85","24497.68","21160.22","26887.16","25279.4369","9787.22427","9496.79085","12665.51","10732.9719","10319.33"
"M283.1504T430.4","283.1504","430.43204","26767.77","3238.966","4426.393","19688.57","3361.468","999.9829","810.2398","956.6271","857.2286","54213.86","57609.77","47448.08","59011.74","44006.5518","21373.884","18375.14783","6674.562","21124.09223","15061.37"
"M283.1886T609.2","283.1886","609.20215","6987.412","1612.74","1111.733","3973.192","1171.461","342.5616","263.4086","233.4","313.4229","107681.5","117007.7","116387.2","85916.47","104458.7728","12362.236","17905.61121","2245.47","36130.2144","9679.782"
"M283.1878T574.4","283.1878","574.35181","15838.06","1569.772","1993.281","8463.65","1192.779","507.6039","416.9444","332.5762","401.4877","164894.3","172852.6","175401.4","134630","157182.6056","23655.87257","30149.49844","3325.941","61502.1624","15655.6"
"M283.1845T484.6","283.1845","484.55261","18591.44","699.1807","1276.384","7823.411","592.7327","1059.587","207.4653","352.9488","327.9288","101528.8","94563.44","112773.4","109597.8","105450.7504","14126.67491","13628.06905","1589.223","23417.052","9114.619"
"M283.2652T996.6","283.2652","996.638","8210.639","6050.791","6045.106","5043.762","3797.865","10962.81","3485.75","4459.556","4185.216","20467.74","28165.26","23024","27131.35","35917.5773","3967.8384","2865.489","4258.971","4356.33333","4496.333"
"M284.0044T254.5","284.0044","254.53373","288.7989","654.0257","204.8674","433.0299","405.6488","355.5424","414.3312","282.7731","296.5704","4433.465","2588.335","4604.313","4660.955","5036.3579","2247.123","1918.46118","1404.369","2667.132","2120.028"
"M284.0765T316.4","284.0765","316.44115","6919.416","2908.235","4974.957","7183.21","4619.14","1819.546","2496.792","1238.73","1344.217","3752.726","4188.377","4069.777","5994.659","1328.8124","1475.649","1238.93065","2307.783","562.82743","1962.02"
"M284.1193T249.2","284.1193","249.15469","11415.62","24267.49","4559.27","10717.61","7188.565","1163.178","987.6909","1001.934","852.7595","5886.055","5445.969","6101.657","5695.581","4577.7569","1074.01636","828.3288","915.1432","799.842","377.2168"
"M284.1544T430.1","284.1544","430.14083","3430.406","589.6187","953.427","2624.93","726.9763","189.4564","137.0406","183.4536","139.0912","5449.627","7191.416","7646.211","3725.298","4144.8807","3653.0396","3256.30918","755.711","2748.98262","2507.004"
"M284.1525T126.7","284.1525","126.67817","2438.172","2380.501","2782.777","2335.688","2513.965","569.2357","428.7891","396.5485","369.3426","3877.859","3512.519","2742.366","3321.03","3024.9641","1555.64421","1112.14238","1991.36","561.2805","1462.377"
"M284.1911T609.2","284.1911","609.19655","1544.962","576.8755","443.7763","893.6179","317.9796","102.0082","91.76538","132.7177","102.7062","14778.21","19009.83","20144.39","13824.02","18702.4082","2211.4344","2852.73554","471.8481","6512.2545","1930.398"
"M284.1894T574.4","284.1894","574.39127","3250.527","502.6892","422.6381","1594.832","419.2758","88.39128","141.7494","123.4142","110.0484","28997.66","32068.45","32063.01","24638.76","28403.708","4228.15022","5092.39267","822.1533","10374.403","2888.543"
"M285.0601T151.4","285.0601","151.44443","10507.32","12345.59","13362.23","14857.58","10922.04","2142.25","3828.785","3138.724","2195.931","86100.78","92806.57","81030.7","125844.4","70940.2507","34331.10344","26822.59839","13278.75","28068.8996","38414.71"
"M285.0595T175.2","285.0595","175.17754","15039.87","6523.336","3628.098","13121.9","5835.653","1259.571","1633.86","1526.342","1268.927","103213.9","135016.5","116677.5","150295.6","120572.4008","44692.01352","37652.76248","13110.4","41706.45244","54132.87"
"M286.0623T175.3","286.0623","175.2667","3726.043","2442.176","2698.545","2879.71","1949.53","667.377","534.0101","602.3403","526.7132","13345.42","19671.08","16020.64","20233.11","16288.7197","6167.78165","5215.464","2148.883","5275.09117","7176.371"
"M286.0879T93.1","286.0879","93.10437","6358.718","5903.991","8324.683","7112.101","7022.467","2191.522","2252.787","2028.434","1702.098","23765.52","26955.79","35782.12","24410.75","39416.7771","15445.45968","15887.51082","11800.26","13322.59704","13396.77"
"M286.1753T110.5","286.1753","110.5265","2088.851","1578.31","2101.195","2186.49","2574.006","348.4552","340.8472","403.6214","410.4506","2598.253","3933.929","5633.88","5675.005","3963.456","1498.70815","1877.5008","522.2386","1339.7376","1280.023"
"M286.1733T199.9","286.1733","199.8888","7509.64","7552.562","7695.551","7172.714","8466.679","1309.202","1269.519","1172.27","1366.866","31013.97","30509.92","31073.14","19969.61","23512.8671","2457.9648","3033.28393","552.108","4356.69948","2317.474"
"M286.9473T453.5","286.9473","453.52476","43415.75","63804.77","66428.63","52959.67","65842.95","22359.96","19388.68","18509.72","18126.75","21158.49","25385.47","26019.89","25460.56","33506.4392","15664.08754","14342.07114","17582.35","9427.63498","15617.99"
"M287.0543T315.9","287.0543","315.89116","24536.24","17143.4","29725.21","36835.11","28837.76","4126.729","5475.921","5633.001","3918.466","71096.61","61737.03","63036.23","19915.35","39681.0835","20635.72929","16713.6936","12082.71","10632.6176","19871.33"
"M287.1098T327.8","287.1098","327.80513","14461.62","4564.492","9271.586","7940.056","4199.043","829.4992","511.5452","2038.892","956.2401","12621.85","53663.36","47935.51","44645.36","36677.6794","3304.36839","4450.3194","1053.707","10466.67883","4504.179"
"M287.1444T368.1","287.1444","368.10639","1702.22","2414.711","2453.988","573.8684","2067.416","671.7924","548.0412","590.0014","574.0257","210169.8","202722.6","193546.2","166718","117081.8279","18992.82039","18553.3287","2736.88","63098.46999","24590.62"
"M287.1999T673","287.1999","673.02247","1531.351","1052.25","594.7581","851.3718","186.385","113.7754","53.6935","134.4005","149.52","60874.51","55764.52","62962.72","39444.84","28831.65","7700.4888","5617.82618","864.432","20240.11457","4463.468"
"M288.9368T21.3","288.9368","21.34601","17869.5","31586.9","28382.14","32218.58","31784.63","27861.37","32240.02","31696.78","34248.08","56023.46","50764.55","57103.23","49382.05","63769.3728","4679.34107","21445.73381","22341","24916.34472","17191.61"
"M288.9447T454.1","288.9447","454.10115","28999.54","44273.46","44646.53","32781.46","43452.98","14627.51","11406.19","12348.93","12617.92","14110.92","14821.2","16603.55","16776.01","20064.9864","10178.85222","9394.52294","11810.84","6224.48022","11053.17"
"M289.1048T469.9","289.1048","469.93651","2264.151","5907.514","3567.692","5170.725","5079.077","4217.684","2092.717","1939.217","1909.235","722.3779","307.9658","884.4","657.9936","962.4009","1820.94474","1635.83429","2415.621","678.64343","1727.426"
"M289.9383T21.3","289.9383","21.34601","3544.306","5852.689","4855.04","6057.542","6420.725","5179.903","6145.805","5742.59","6261.313","10666.6","10095.83","10961.75","9801.308","12088.864","1023.28264","3141.9488","4533.55","4583.78004","3182.494"
"M290.0645T391.3","290.0645","391.31264","1503.585","461.2161","662.6823","1185.973","484.5303","196.7355","134.7623","111.4124","151.7334","10907.31","18797.74","16656.37","31929.06","22053.9736","9827.58327","8042.4288","989.6132","6795.50543","6156.41"
"M290.9357T21.4","290.9357","21.44869","2783.302","6121.352","4640.37","6181.569","6443.75","4898.74","5813.572","5415.329","5546.537","8950.964","9032.904","9369.442","8930.057","11364.2239","587.4696","3322.1818","3523.021","4387.56055","2834.682"
"M291.0968T159.4","291.0968","159.41397","72619.24","79333.93","78768.28","82446.04","84773.71","4917.668","4416.874","5066.074","4760.356","50495.18","46391.37","49552.14","51842.45","50708.0375","5575.6218","5610.1512","4818.13","6539.53779","5952.945"
