"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M806.4153T464.9","806.4153","464.85779","8441.33","6530.801","6457.327","3730.65","5477.529","1063.134","1348.985","1674.504","1552.654","17873.51","13711.86","12996.74","10243.45","10093.5991","1188.6831","1406.036","886.7233","2301.00035","1228.522"
"M807.1936T227.1","807.1936","227.12118","2040.677","1531.937","3391.694","3724.566","2774.985","1172.612","1829.022","1425.96","976.7849","375.4049","505.5","531.3748","1159.886","942.8931","2357.77437","2370.8952","1837.371","1401.52744","1990.08"
"M807.2602T35.7","807.2602","35.72912","110735","91706.62","105570.3","93621.55","102725.5","20472.08","10419.85","10278.63","9946.867","1640.85","1736.403","1838.005","1689.901","851.8538","686.24945","327.87518","752.1158","501.31882","468.2978"
"M807.3289T173.6","807.3289","173.64619","23546.91","23495.57","24980.4","22913.57","25909.48","2840.9","2586.903","2974.331","2984.573","9752.106","7725.725","7932.98","8445.894","11741.7897","1027.88124","1089.85466","1190.476","869.86114","593.2767"
"M807.3568T147.3","807.3568","147.28633","2505.201","1685.405","1585.897","1907.975","1797.057","300.2192","281.2053","329.8425","383.9224","22755.47","22462","22010.49","21076.11","17553.319","3564.02048","3483.79958","863.2418","6769.10732","3424.353"
"M808.3857T109.7","808.3857","109.69789","464.3368","508.8808","422.944","388.6187","293.2335","105.3914","70.38087","126.093","76.69945","23098.51","23332.47","23241.07","22314.27","19016.91","1342.57382","1899.60793","231.1106","4000.87773","1744.519"
"M809.372T160.5","809.372","160.46571","6053.613","6600.45","4145.532","5099.131","5563.347","603.7255","522.928","612.2407","606.1818","1632.954","3268.096","3493.005","2008.037","3276.314","34.3505","159.4608","143.1001","294.87293","305.8501"
"M810.3918T205.7","810.3918","205.73772","22069.2","20352.64","19774.13","18304.39","21941.62","1848.746","1944.086","2276.975","1915.072","10237.15","8134.774","9607.618","9587.768","10217.918","918.41663","824.60215","1002.201","2009.80096","1677.225"
"M810.4944T210.5","810.4944","210.50327","45.1446","74.451","0","0","147.9378","10.66987","36.018","50.38367","32.683","29211.59","30438.34","32844.42","26013.83","23403.976","355.02133","1521.5496","187.798","4568.9679","1745.564"
"M811.4449T312.2","811.4449","312.23989","4759.049","2200.852","3090.308","2497.777","2911.801","930.6836","967.1064","833.6664","1340.071","10125.93","10680.75","10213.94","8640.988","8522.7057","1606.284","1038.45672","617.012","1894.42414","1106.6"
"M811.4397T292.4","811.4397","292.38544","1720.913","577.3731","896.42","688.7112","1303.632","268.7717","223.1975","218.1557","221.1389","26018.09","22025.65","25140.2","29678.92","21836.3817","5834.4566","6759.9455","1448.231","8790.53872","7563.313"
"M812.2646T38.9","812.2646","38.91037","22038","13917.77","17349.92","12136.58","13348.24","2035.355","726.0295","678.67","890.1115","3928.461","3416.437","3599.454","2930.878","3663.8556","399.48692","552.34224","1519.346","489.02377","424.5964"
