"","mz","rt","apple_control_pos_102","apple_control_pos_202","apple_control_pos_302","apple_control_pos_402","apple_control_pos_502","apple_control_pos_602","apple_control_pos_702","apple_control_pos_802","apple_control_pos_902","apple_control_pos_1002","apple_group1_pos_102","apple_group1_pos_202","apple_group1_pos_302","apple_group1_pos_402","apple_group1_pos_502","apple_group1_pos_602","apple_group1_pos_702","apple_group1_pos_802","apple_group1_pos_902","apple_group1_pos_1002","apple_group2_pos_102","apple_group2_pos_202","apple_group2_pos_302","apple_group2_pos_402","apple_group2_pos_502","apple_group2_pos_602","apple_group2_pos_702","apple_group2_pos_802","apple_group2_pos_902","apple_group2_pos_1002","apple_group3_pos_102","apple_group3_pos_202","apple_group3_pos_302","apple_group3_pos_402","apple_group3_pos_502","apple_group3_pos_602","apple_group3_pos_702","apple_group3_pos_802","apple_group3_pos_902","apple_group3_pos_1002"
"group","mz","rt","control","control","control","control","control","control","control","control","control","control","group1","group1","group1","group1","group1","group1","group1","group1","group1","group1","group2","group2","group2","group2","group2","group2","group2","group2","group2","group2","group3","group3","group3","group3","group3","group3","group3","group3","group3","group3"
"M85.0289T16.1","85.0288783763447","16.0991095100491","168.129070442974","146.76681832072","173.033863606059","144.245983711235","165.111558683133","141.915480634547","154.864170392211","149.436131263342","155.975620239795","159.771853053819","153.851930160796","145.211207778337","132.761290008133","182.208408811832","174.543769579164","149.387305372735","180.856629068071","141.398444302774","148.783834327974","160.46035234897","149.93097516824","168.903911641119","138.003982066837","213.792594468421","166.095715539178","162.167359149603","173.696181787887","152.006564999892","158.008617539045","165.807706272579","145.399482719134","156.19902444415","146.856469486567","170.928625344511","173.547370865691","143.9426083467","187.767907122255","157.42040184168","157.243738884257","147.660298415154"
"M85.1012T605.2","85.1012020865734","605.209828827024","26.0474064414801","26.5063214911595","36.2950942617317","39.3036455692239","61.3889653202524","23.0975367980747","25.7646455844186","27.0529365719958","33.0008081214","34.4871920045487","69.8619827059536","27.1449442634027","37.3076158479502","33.0065823779608","25.0603750636783","52.5765833973622","30.524734245095","34.3865510517803","26.2286735386077","31.1293759955333","26.0091874169508","24.3874855254335","34.6340917753709","26.5426068529994","26.308949446232","22.5347979319065","32.2969559680104","29.1162948813489","38.8951546453172","31.9032896694989","36.5019137741848","18.2360696174138","70.8022613023538","62.9957966305571","21.0017962652238","27.9753944508894","25.4464586216858","18.2857660646444","39.044180187102","41.2212627097267"
"M86.0927T23.7","86.0926742782424","23.6721127943228","66.5193747631815","151.135917219986","69.9083069097192","60.4637343105336","74.7047477208046","94.3730290237611","62.629134720906","46.7629247649014","39.195158248838","35.8086786287157","85.6045187209484","61.0487460506767","113.140538964935","85.6659619597088","31.21336486973","41.1028230096235","34.8280650505387","50.8562985540494","58.5747538881066","31.6772127989727","80.3423449183849","60.4481572855984","108.803329089852","94.5407692740744","34.2084892126628","42.0627539989016","28.2131078443513","47.5324282290301","52.2438970840489","36.1811149945334","82.1325321550594","50.418904492504","113.874373966077","79.3043752802142","31.5855606453052","34.3913690189316","35.153751357974","40.2581393654949","58.7701178960511","29.9552193403413"
"M86.9556T729.1","86.9556305560018","729.115079297243","28.5456889707172","27.471712556031","29.7842135764437","27.9790261418498","28.5916717536275","31.9692212742197","28.7966490841299","23.0961127128066","36.0487683730621","29.02921800878","26.2296557793525","26.8909494455329","35.122356929794","33.5309637374514","28.8507588668025","32.2244708668372","28.0383821872165","37.6882910943234","20.8195921737884","31.9797159125238","25.7533866972846","26.3327328702003","26.7753928664062","28.072649959633","32.0692627646713","29.7857148575931","31.7605755379418","32.2957781244213","33.5032835264446","34.4784782380873","27.79897180367","31.2707347960486","36.3210031102724","28.021781573203","27.3003246409975","25.680536057203","34.3925468519162","20.3943615371992","29.6137265819473","31.0611320481685"
"M87.002T9.8","87.0019934074244","9.848015584435","24.2569313052802","17.0676026394193","31.3711788539225","34.0545085898836","32.6954611501877","24.149692962158","35.111829048922","25.9114885137471","22.5129638669341","22.2592338067294","26.6569802895868","25.6707483966414","23.310378753778","20.942574758646","16.5961940293146","16.8326622520217","19.8691245397659","24.2964685934884","28.5962698983388","18.5051428215871","23.109689735281","18.3934965849135","18.0313177761761","17.2321398149944","20.6022067122766","25.7894312418412","22.6451181188336","28.020947600276","19.2349895945186","19.2671750957836","24.6379002958216","19.8571627293152","25.7488522494226","19.9408554756488","17.2036293541209","27.4514415453737","23.1980776101199","19.3560171706832","0","20.4397003389733"
"M89.0593T546.4","89.059346618923","546.355664497532","46.5787214976344","55.189528541601","50.70378190929","55.6007912566936","54.5676453727569","40.265173047065","50.0142280786913","32.9478535502078","46.7883706876364","44.7546966848269","38.0351838708709","47.3997924972631","48.5646167420782","48.6504188227038","50.1264340924458","45.9484634040489","42.6461302456456","48.0623871449747","56.0647842314223","53.9971242791517","42.5655722482913","45.5014669413403","47.4590624312284","36.9050973355823","41.1857600381013","42.8790972505223","44.6093931133623","47.0121317267707","45.7712813554482","38.8813910101914","41.4554563637694","57.0272028400221","44.6924968846737","44.8223236569174","51.9772133224671","43.0234686139102","36.5387331283728","48.4298969818438","49.1388056489606","55.8920253595339"
"M89.0599T587.4","89.0598929600529","587.435129305142","274.430022306035","245.267197623665","255.577475003187","273.494519788017","242.701683715858","261.886639806267","255.74212416885","280.675861701882","241.616881675305","240.821611852138","248.061257325363","285.773278168043","265.220536459552","264.783608192738","268.676919626143","235.308187963374","250.193889231505","266.866332608263","243.123907114859","265.94498006691","270.755415198568","235.403675992837","260.653617637689","273.521903162171","269.526727701671","277.020319998432","254.903373108113","268.268325823066","275.166619806582","256.594052021117","271.060099859721","250.123562955601","255.548361378541","261.618360265186","244.931428070775","250.307506243358","233.265722523488","247.361320176657","236.462696127465","276.931559480686"
"M88.9662T728.5","88.9662447134968","728.506929645276","61.2064893092781","39.4535153129266","53.9064328107076","54.6398438092067","54.4914146281053","52.0603452344803","60.2289986171428","48.3978905532467","47.6890541009602","53.428467537711","57.3765739680787","60.9684854706528","49.9550227627262","50.9026953021248","50.1293184237511","46.5604372650805","51.1356174612683","53.6223237433813","40.2057049901265","44.8689696713336","53.3727464452492","47.2584563052195","43.4425088030583","44.5205789156828","57.2156891810594","57.4178554533207","45.5625538683605","46.8012538606021","54.9322581983771","57.0617473766018","46.8616831503823","57.8921822791275","51.5523462304338","43.3316112655208","48.0509711365911","42.5094361105465","55.4887425700168","34.9551709603147","53.2966726528633","56.5786527649152"
"M91.0532T578.3","91.0531584102486","578.32107017037","28.2522383628149","35.649159541883","33.1412435381208","30.9005892217974","36.2320821329395","31.5560639702042","26.010786129591","30.2301449998043","34.3762336395484","32.2397543989673","39.8536072996067","36.1291754035628","42.9383847055842","37.5860524999071","32.8654272479391","31.961408461955","35.4508916773502","36.7000713626584","22.2174828316673","35.0028741052593","28.1182997480901","32.067570864372","33.7033277740284","39.8477295071643","35.5817274279454","28.8996984732356","27.264700248292","33.759542095734","37.2253230638144","36.0055680287047","40.3917422823761","33.5753176793078","32.5855025653291","23.3289861833123","34.2302722346067","30.3789955510157","38.8861180241794","35.3736686966119","45.0899456804987","28.8771666627094"
"M90.9524T729.1","90.9524031911137","729.075712210028","29.1200311341163","17.9156863074706","25.2957401768617","29.4423040117416","18.6059864171948","22.4657976606819","27.8080991310761","27.8288752398711","18.662460315281","23.500779977737","22.0424382826186","19.7595829377221","15.9301351917649","22.4913816521958","25.7074024310361","20.2744125107798","20.3026719784809","18.0962698169304","21.4911062694662","21.3895671716717","21.9308959558289","20.2984745669468","18.0781779714128","17.5747207439906","22.0002474789283","23.5901305357868","20.7908039950383","25.0253103097566","18.0912979271617","24.1303350132895","20.7953622655707","29.3012502634171","19.1677670983291","17.5480530143039","24.4376894883251","16.9955486214903","21.9418074559813","19.7079888077517","18.6373948832997","16.4403876381396"
"M93.0336T492.6","93.0335560934498","492.595576053979","189.974585460941","210.210474382515","197.871775524383","185.373802898763","207.495999867278","177.618243492192","196.362389249258","201.383777290654","196.666111081571","187.754853415363","180.228812186966","198.240924788786","197.702016415129","191.13096188844","213.596588095847","186.373793446583","191.599231663437","189.748830396042","185.077445670133","185.230909538608","210.343852780759","189.149645080712","198.588853779347","196.444633738192","203.535742077842","210.873572309525","199.433250684082","198.610228716962","184.818537414292","190.519448033241","207.421076156006","198.375912064245","195.618851170245","196.507927202238","191.535491892504","206.984740446795","174.384394449718","183.479907746907","179.289664631702","182.292860006462"
"M94.0403T493","94.0402581687993","493.017878386302","14.0680721664412","11.5805918274917","13.7478509344243","14.4619729683325","13.2055898088071","15.7825782875819","15.5888368919315","14.8870500277106","17.1849261111875","17.0849887681044","14.9111419461376","16.3676152210144","13.2398921269164","20.1483044741279","18.1005476811134","14.2927566032127","21.0592442087691","16.6106110192294","11.5467625583041","17.0335380257875","13.8212177963443","12.6713839900489","15.9414337748294","10.4734948133346","15.8989532563634","13.2305141469208","13.6635512074504","14.8262064407535","12.6740197068933","16.5297230530331","11.0114991559572","21.1088873884141","11.0294058038035","13.2272431214322","12.12921300187","16.4520951407256","18.3036211504077","10.4790187372153","17.5959263342957","15.9433952749168"
"M97.0292T16.1","97.029171579479","16.0991095100491","106.671065008104","82.520580298524","84.6908112451734","89.0366229065216","82.9132286619768","73.5437907981237","86.2112732113698","81.4934846893378","86.6855705581826","104.904713368701","75.5393098548571","78.234141330593","67.9351597546211","98.672617626979","97.3645906351465","76.6519539435627","95.9243808996856","81.9657117417035","97.3199058365045","82.5504721191821","75.3376331915878","89.6819241847447","81.2465689639247","103.094255292035","91.9768958151845","94.872806822345","106.770229968886","85.7971949093825","82.8567212691087","81.5107071039346","74.9344408437952","84.301300333906","83.963445760178","77.8614584449632","86.4588035074619","101.534814171147","93.017264635776","79.8406687571922","94.7440242813614","78.7392538803408"
"M98.9754T727.5","98.975429616581","727.505844524856","61.6527061949691","67.5251137267096","61.3467292112091","45.2275554655905","60.6839091485134","59.8698182247081","63.73583542696","67.4776996668734","75.1965856556378","66.3207073828539","70.4239408257126","60.9212867110017","60.4218557304369","68.9205789932578","62.8015558482824","59.4600020192939","65.225964227262","62.4938628974505","72.3514702955727","55.0254345661684","59.9816452043811","59.7215988838179","66.3584001993258","59.7384382006785","73.5784146517078","68.52312137261","70.1799259085601","64.2716928978427","65.6489741473624","50.7780736636759","75.0724754609237","59.8853470551257","55.4968925288103","74.003235902666","70.4592299839715","64.7589556321509","59.8896761264956","69.3419279258815","72.494377130115","65.3704733418999"
"M99.0287T16.1","99.0286782316286","16.1210780243176","50.0560284513677","61.8573274052366","55.3576495269311","52.48293257117","46.159741163862","44.2985984247253","50.7879924502446","54.0733963577285","53.3449037417066","54.2538359831394","49.9683859783305","52.0284138323831","47.2008732490084","48.2019449184167","56.7506654824542","46.9951628248306","46.8990146611217","47.0713919232737","49.534191052623","59.5659652463936","46.5031418460441","37.5214459617137","48.7497825530935","59.3544982550933","55.1245841263441","49.2008053222573","64.741841323485","62.6251475396696","41.7721139680219","49.3736606645825","51.739714893643","51.3045442678935","44.8375894836417","52.2026940061896","56.8595602064844","51.5974665428823","56.1639724682687","50.1965433962467","46.5892268577178","52.7353740114988"
"M101.0116T9.7","101.011612745895","9.66148472176472","42.1679360889323","30.8044270236836","25.5610134395769","34.158519327506","39.5525656320228","28.6921438949904","35.2551358094833","32.6879804973088","26.1242486018009","34.0077675160651","30.7570105446777","29.6427842677121","21.709780914083","26.8553880091222","28.3524436690371","29.7929821070044","39.3614197107462","19.9831842978939","21.9739982585495","42.5548351819021","26.72808065832","34.5710548102546","23.3069481953275","30.8766260851775","24.4999104690815","31.1403550518753","32.8033767484799","23.1856963736078","31.609961627756","32.3115785413257","28.0363073635446","27.3452607709383","30.421117735027","27.4300592598664","20.9971140634386","28.1548245805901","37.8021753342575","20.9416293305829","25.4887255942628","31.9735554476013"
"M100.9945T727.4","100.994458805554","727.39299888274","31.8828706557761","32.8451102702118","36.0501442707573","38.5783004260203","44.4453595774918","24.7164320937747","35.6122677905415","29.5298331211507","30.0151382921549","33.7367668595107","40.9844988076438","41.2405921751142","41.5102785799513","37.829227496959","35.9665433386951","36.7509111259807","29.2563271075284","32.8949100108853","36.0852888840697","37.5904953871006","37.2294963553113","31.9314679779709","41.4591448763713","34.0293401077126","29.6968797657828","35.7097651537057","41.0887662654462","38.4741629189962","37.2714030522982","37.0919556016293","37.3503423309849","35.7924839443939","45.2550098058049","30.4079022834149","38.2617525628009","36.9206161382146","30.9438665744955","28.7664699938937","32.739027332467","42.6449525947965"
"M101.9458T735","101.945752293399","735.030822500938","52.58040818144","43.5733543279974","45.6192621326376","54.0163430732404","38.0293814963079","43.4713460860136","36.3902139621632","37.9190953803924","39.3822168134202","44.8401531378989","40.605238072706","38.3060199514051","47.7242023500945","46.7909209870347","47.9625957187035","37.9388636304066","34.9697169316749","44.0460866728057","40.2787889599676","38.5062640504827","40.7036955351776","38.534815705254","40.2988144082125","37.1555916868982","51.6112304158633","41.7588874832264","36.9899258550961","34.5928261202227","44.8635337455016","48.2738776770224","41.6077064941237","44.5694414535169","53.0928362689519","31.3358682665623","44.7296809255022","37.5168748507166","42.2778973344128","35.38396164494","39.8645945714325","38.0355132185546"
"M104.9573T728.9","104.957275956256","728.900779844484","50.5768199105114","46.4579010943212","44.7183291090636","44.7085446149953","41.1772304558065","45.1347590217407","37.1011076923453","42.6220632084137","41.4047564255961","42.9135724317206","44.4046942531162","41.9283766123408","40.4452780535079","49.7844243632496","40.5665111652111","44.1479570500633","45.3338409106271","40.0065004677592","38.7634627682064","51.1821326294417","44.1555959970106","48.0539803072878","52.6156600944017","33.5563439441208","44.7585236026794","45.3287395012012","39.1768773635704","36.1180786364912","48.2472817671408","42.5616275860966","37.6808694614605","39.8315580953997","49.7490784998502","43.9944820147326","43.3941066207803","43.74832003341","39.4602565503277","38.7087652263375","35.0999035548504","49.6195843811902"
"M106.0858T556.5","106.085812723915","556.520117005054","79.0387733133433","85.0576054898707","79.1677837489034","77.3068901779074","74.4719161175008","65.4252565448154","85.3234375487302","74.0783470533831","73.7074764950915","69.6001903261854","71.3455548867117","78.1338348888469","82.3071760274139","73.7273888981306","88.554682953538","81.2351709804603","79.445487980206","81.6593148191272","78.0839561737656","79.5918583881498","71.2377027148191","76.5063190180815","73.1338257667663","73.241187525658","89.490270056584","77.434244000251","98.1884256044655","69.7658984754852","76.0541349829314","84.6996448958602","83.6615516219887","77.79031168163","73.4599571951862","65.4346412631388","70.6185211207437","70.6443194449613","78.9766226791471","65.5791877546303","78.3412606305449","80.4698934859987"
"M107.0518T433.3","107.051834076394","433.335705520612","106.148536431327","109.003190838376","107.197112821745","92.5525962300344","147.798807483155","105.46241172325","102.942301263633","110.965733027779","136.525172902214","131.578437365994","199.624613888834","184.789075945781","142.201269056301","180.824885859715","225.9376905269","180.73578351694","184.762206760633","193.860583626456","158.549309589196","213.008623212512","167.555891698892","163.747705389566","128.188822338275","147.827777464879","197.713951251387","168.009541706686","163.290711661589","147.005441288648","122.262336904887","191.055881060854","159.607673666334","143.575856584976","118.721100770033","137.872099231871","178.464109017213","143.579002859213","139.791199845303","138.96128844474","133.954497026453","178.624967842318"
